setpoint [rad], position [rad], velocity [rad/s], acceleration [rad/s^2], current [mA], delta_t [ms]
0.00, 3.21, 0.00, nan, 0.00, 0.00
3.18, 3.21, 0.00, nan, -416.95, 1.19
3.18, 3.20, 0.00, nan, 1425.70, 2.58
3.18, 3.21, 0.00, nan, -102.22, 2.48
3.18, 3.21, 0.00, nan, -1339.62, 2.50
3.18, 3.21, 0.02, nan, -936.12, 2.51
3.18, 3.20, 0.02, nan, -371.22, 2.46
3.18, 3.20, 0.00, nan, 5.38, 2.53
3.18, 3.19, -0.02, nan, 247.48, 2.50
3.18, 3.18, -0.10, nan, 392.74, 2.50
3.18, 3.18, -0.14, nan, 387.36, 2.51
3.18, 3.18, -0.24, nan, 349.70, 2.48
3.18, 3.18, -0.31, nan, 252.86, 2.52
3.18, 3.18, -0.38, nan, 139.88, 2.77
3.18, 3.18, -0.48, nan, 67.25, 3.71
3.18, 3.18, -0.48, nan, 53.80, 1.01
3.18, 3.18, -0.55, nan, -67.25, 2.56
3.18, 3.18, -0.58, nan, -75.32, 2.83
2.56, 3.18, -0.60, nan, -56.49, 2.15
2.56, 3.18, -0.62, nan, -1678.56, 3.62
2.56, 3.17, -0.62, nan, -1336.93, 1.79
2.56, 3.16, -0.62, nan, -960.33, 2.09
2.56, 3.14, -0.67, nan, -564.90, 3.15
2.56, 3.13, -0.74, nan, -411.57, 1.81
2.56, 3.11, -0.84, nan, -266.31, 2.49
2.56, 3.09, -1.03, nan, -177.54, 2.49
2.56, 3.08, -1.20, nan, -134.50, 2.51
2.56, 3.04, -1.75, nan, -96.84, 4.40
2.56, 3.04, -1.89, nan, -75.32, 0.97
2.56, 3.01, -2.49, nan, -61.87, 4.08
2.56, 2.99, -2.83, nan, -56.49, 2.24
2.56, 2.92, -4.39, nan, -43.04, 9.35
2.56, 2.90, -4.87, nan, -53.80, 2.60
2.56, 2.88, -5.16, nan, -48.42, 2.49
2.56, 2.86, -5.54, nan, -43.04, 2.53
3.45, 2.84, -5.76, nan, -43.04, 2.46
3.45, 2.82, -6.04, nan, 2983.21, 2.50
3.45, 2.82, -6.26, nan, 2404.86, 3.36
3.45, 2.83, -6.33, nan, 1850.72, 1.62
3.45, 2.84, -6.31, nan, 1145.94, 2.50
3.45, 2.85, -6.16, nan, 710.16, 2.52
3.45, 2.88, -5.68, nan, 338.94, 3.86
3.45, 2.88, -5.52, nan, 298.59, 1.15
3.45, 2.90, -5.16, nan, 204.44, 2.54
3.45, 2.92, -4.48, nan, 134.50, 2.48
3.45, 2.94, -3.96, nan, 94.15, 2.49
3.45, 2.96, -3.09, nan, 80.70, 2.47
3.45, 2.98, -2.47, nan, 67.25, 2.50
3.45, 3.00, -1.49, nan, 43.04, 2.48
3.45, 3.02, -0.41, nan, 53.80, 2.54
3.45, 3.03, 0.26, nan, 48.42, 2.47
3.45, 3.05, 0.96, nan, 37.66, 2.49
3.45, 3.07, 1.92, nan, 34.97, 2.50
3.45, 3.09, 2.52, nan, 40.35, 2.50
3.07, 3.11, 3.31, nan, 37.66, 2.49
3.07, 3.12, 3.76, nan, -3010.11, 2.50
3.07, 3.13, 4.34, nan, -2805.67, 2.54
3.07, 3.12, 4.63, nan, -1810.37, 2.47
3.07, 3.11, 4.89, nan, -1022.20, 2.55
3.07, 3.10, 4.94, nan, -180.23, 2.45
3.07, 3.09, 4.84, nan, 376.60, 2.53
3.07, 3.08, 4.70, nan, 683.26, 2.45
3.07, 3.07, 4.34, nan, 839.28, 2.52
3.07, 3.06, 4.05, nan, 745.13, 2.48
3.07, 3.06, 3.55, nan, 575.66, 2.51
3.07, 3.06, 3.19, nan, 357.77, 2.48
3.07, 3.06, 2.59, nan, 225.96, 2.52
3.07, 3.06, 2.21, nan, 83.39, 2.48
3.07, 3.07, 1.61, nan, -53.80, 2.50
3.07, 3.07, 1.06, nan, -121.05, 3.34
3.07, 3.07, 0.74, nan, -110.29, 1.75
3.07, 3.07, 0.48, nan, -69.94, 2.46
3.07, 3.07, 0.19, nan, -40.35, 2.47
3.07, 3.07, 0.07, nan, -24.21, 2.47
3.44, 3.07, -0.02, nan, -26.90, 2.50
3.44, 3.07, -0.05, nan, 1517.16, 2.50
3.44, 3.08, -0.02, nan, 1401.49, 2.52
3.44, 3.09, 0.00, nan, 911.91, 2.48
3.44, 3.11, 0.14, nan, 581.04, 2.49
3.44, 3.12, 0.26, nan, 376.60, 2.50
3.44, 3.14, 0.50, nan, 239.41, 2.50
3.44, 3.16, 0.70, nan, 158.71, 2.50
3.44, 3.18, 1.03, nan, 118.36, 2.52
3.44, 3.20, 1.29, nan, 94.15, 2.55
3.44, 3.21, 1.70, nan, 69.94, 2.50
3.44, 3.23, 2.01, nan, 51.11, 2.45
3.44, 3.25, 2.49, nan, 51.11, 2.49
3.44, 3.27, 2.83, nan, 51.11, 2.49
3.44, 3.29, 3.36, nan, 34.97, 2.50
3.44, 3.31, 3.72, nan, 37.66, 2.54
3.44, 3.33, 4.24, nan, 43.04, 2.47
3.44, 3.35, 4.58, nan, 34.97, 2.50
3.44, 3.37, 5.04, nan, 29.59, 2.50
3.44, 3.39, 5.30, nan, 37.66, 2.50
3.45, 3.40, 5.64, nan, -384.67, 2.51
3.45, 3.42, 5.85, nan, -193.68, 2.50
3.45, 3.44, 6.12, nan, -723.61, 2.51
3.45, 3.45, 6.24, nan, -1019.51, 2.50
3.45, 3.46, 6.38, nan, -1043.72, 2.54
3.45, 3.46, 6.43, nan, -901.15, 2.44
3.45, 3.46, 6.43, nan, -702.09, 2.54
3.45, 3.46, 6.35, nan, -427.71, 2.46
3.45, 3.46, 6.19, nan, -217.89, 2.53
3.45, 3.46, 6.00, nan, -18.83, 2.49
3.45, 3.46, 5.66, nan, 61.87, 2.51
3.45, 3.46, 5.40, nan, 112.98, 2.47
3.45, 3.45, 4.96, nan, 139.88, 2.50
3.45, 3.45, 4.63, nan, 104.91, 2.50
3.45, 3.45, 4.10, nan, 88.77, 2.58
3.45, 3.45, 3.76, nan, 53.80, 2.45
3.45, 3.45, 3.21, nan, 29.59, 2.49
3.45, 3.45, 2.88, nan, -8.07, 2.49
3.45, 3.45, 2.37, nan, -24.21, 2.53
3.45, 3.45, 2.09, nan, -18.83, 2.45
2.91, 3.45, 1.70, nan, -10.76, 2.54
2.91, 3.45, 1.46, nan, -1557.51, 2.46
2.91, 3.44, 1.18, nan, -1404.18, 2.52
2.91, 3.43, 0.98, nan, -917.29, 2.49
2.91, 3.42, 0.70, nan, -583.73, 2.46
2.91, 3.40, 0.50, nan, -384.67, 2.53
2.91, 3.38, 0.14, nan, -260.93, 2.50
2.91, 3.37, -0.07, nan, -185.61, 2.50
2.91, 3.35, -0.48, nan, -126.43, 2.50
2.91, 3.33, -0.79, nan, -94.15, 2.54
2.91, 3.31, -1.27, nan, -86.08, 2.48
2.91, 3.29, -1.61, nan, -72.63, 2.49
2.91, 3.27, -2.16, nan, -56.49, 2.49
2.91, 3.25, -2.54, nan, -51.11, 2.50
2.91, 3.23, -3.12, nan, -59.18, 2.50
2.91, 3.21, -3.69, nan, -45.73, 2.54
2.91, 3.20, -4.05, nan, -45.73, 2.50
2.91, 3.18, -4.41, nan, -53.80, 2.46
2.91, 3.16, -4.87, nan, -48.42, 2.50
2.91, 3.14, -5.16, nan, -40.35, 2.52
3.16, 3.12, -5.54, nan, -45.73, 2.53
3.16, 3.10, -5.76, nan, 3004.73, 2.47
3.16, 3.10, -6.02, nan, 2821.81, 2.50
3.16, 3.11, -6.12, nan, 1853.41, 2.49
3.16, 3.12, -6.14, nan, 957.64, 2.50
3.16, 3.13, -6.04, nan, 131.81, 2.49
3.16, 3.14, -5.78, nan, -373.91, 2.50
3.16, 3.15, -5.52, nan, -677.88, 2.50
3.16, 3.16, -5.04, nan, -777.41, 2.54
3.16, 3.16, -4.68, nan, -691.33, 2.47
3.16, 3.16, -4.08, nan, -559.52, 2.49
3.16, 3.16, -3.67, nan, -357.77, 2.50
3.16, 3.16, -3.05, nan, -193.68, 2.50
3.16, 3.16, -2.61, nan, -80.70, 2.51
3.16, 3.16, -1.97, nan, 59.18, 2.49
3.16, 3.16, -1.56, nan, 67.25, 2.52
3.16, 3.16, -1.03, nan, 107.60, 2.49
3.16, 3.16, -0.74, nan, 72.63, 2.50
3.16, 3.16, -0.41, nan, 40.35, 2.53
3.16, 3.16, -0.26, nan, 69.94, 2.44
3.78, 3.16, -0.14, nan, 8.07, 2.55
3.78, 3.16, -0.10, nan, 1511.78, 2.44
3.78, 3.16, -0.07, nan, 1393.42, 2.52
3.78, 3.18, -0.05, nan, 901.15, 2.49
3.78, 3.19, 0.02, nan, 572.97, 2.50
3.78, 3.21, 0.12, nan, 373.91, 2.50
3.78, 3.22, 0.34, nan, 250.17, 2.50
3.78, 3.24, 0.53, nan, 164.09, 2.51
3.78, 3.26, 0.84, nan, 112.98, 2.50
3.78, 3.28, 1.10, nan, 91.46, 2.49
3.78, 3.30, 1.53, nan, 78.01, 2.50
3.78, 3.32, 1.85, nan, 51.11, 2.50
3.78, 3.34, 2.37, nan, 48.42, 2.49
3.78, 3.36, 2.73, nan, 48.42, 2.50
3.78, 3.38, 3.29, nan, 40.35, 2.50
3.78, 3.40, 3.84, nan, 40.35, 2.75
3.78, 3.41, 4.20, nan, 37.66, 2.25
