setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
0.00,3.96,0.00,nan,0.00,0.00
3.55,3.96,0.00,nan,0.00,0.71
3.55,3.96,0.00,nan,-459.99,2.58
3.55,3.95,0.00,nan,-1673.18,2.52
3.55,3.94,-0.02,nan,-1229.33,2.50
3.55,3.93,-0.05,nan,-793.55,2.49
3.55,3.91,-0.17,nan,-470.75,2.72
3.55,3.90,-0.29,nan,-338.94,2.27
4.89,3.88,-0.53,nan,-220.58,2.55
4.89,3.87,-0.72,nan,2862.16,2.45
4.89,3.86,-1.06,nan,2741.11,2.52
4.89,3.87,-1.25,nan,1759.26,2.51
4.89,3.88,-1.46,nan,1102.90,2.54
4.89,3.89,-1.56,nan,694.02,2.46
4.89,3.92,-1.63,nan,373.91,3.31
4.89,3.93,-1.61,nan,279.76,1.73
4.89,3.94,-1.51,nan,190.99,2.44
4.89,3.96,-1.27,nan,129.12,2.60
4.89,3.98,-1.06,nan,99.53,2.44
4.89,4.00,-0.77,nan,67.25,2.46
4.89,4.02,-0.19,nan,61.87,2.51
4.89,4.04,0.22,nan,59.18,2.51
4.89,4.06,0.96,nan,43.04,2.50
4.89,4.08,1.49,nan,34.97,2.47
4.89,4.10,2.30,nan,40.35,2.49
4.89,4.12,3.05,nan,32.28,3.46
4.89,4.13,3.50,nan,26.90,1.55
4.89,4.16,4.12,nan,37.66,3.05
3.71,4.17,4.48,nan,34.97,1.94
3.71,4.19,4.82,nan,-2999.35,2.49
3.71,4.19,5.23,nan,-2819.12,2.51
3.71,4.18,5.42,nan,-1826.51,2.51
3.71,4.17,5.54,nan,-1151.32,2.50
3.71,4.16,5.52,nan,-737.06,2.49
3.71,4.14,5.35,nan,-465.37,2.59
3.71,4.13,5.11,nan,-298.59,2.39
3.71,4.11,4.63,nan,-204.44,2.60
3.71,4.09,4.24,nan,-158.71,2.39
3.71,4.07,3.53,nan,-118.36,2.46
3.71,4.05,2.97,nan,-86.08,2.54
3.71,4.02,1.46,nan,-67.25,4.70
3.71,4.01,1.13,nan,-56.49,1.13
3.71,4.00,0.43,nan,-51.11,1.66
