setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
0.00,3.58,0.00,0.00,2.64,nan
0.00,3.58,0.00,-906.53,1.36,nan
0.00,3.57,0.00,-1603.24,2.56,nan
0.00,3.56,-0.02,-1108.28,2.52,nan
0.00,3.55,-0.10,-718.23,2.48,nan
0.00,3.53,-0.17,-470.75,2.57,nan
0.00,3.52,-0.36,-322.80,2.45,nan
0.00,3.50,-0.53,-217.89,2.55,nan
0.00,3.48,-0.84,-139.88,2.95,nan
0.00,3.45,-1.46,-96.84,4.26,nan
0.00,3.44,-1.46,-94.15,0.88,nan
0.00,3.40,-2.23,-64.56,4.85,nan
0.00,3.38,-2.73,-64.56,2.59,nan
0.00,3.36,-3.29,-51.11,2.69,nan
0.00,3.33,-3.84,-48.42,3.83,nan
0.00,3.32,-4.17,-53.80,1.42,nan
0.00,3.30,-4.68,-43.04,2.55,nan
0.00,3.29,-4.82,-37.66,2.00,nan
0.00,3.26,-5.35,-45.73,3.45,nan
0.00,3.24,-5.59,-45.73,2.00,nan
0.00,3.22,-6.00,-37.66,2.06,nan
0.00,3.19,-6.24,-51.11,4.74,nan
0.00,3.18,-6.31,-40.35,0.98,nan
0.00,3.16,-6.45,-43.04,1.76,nan
0.00,3.15,-6.57,-40.35,2.61,nan
0.00,3.12,-6.76,-43.04,3.62,nan
0.00,3.10,-6.86,-51.11,2.41,nan
0.00,3.09,-6.93,-40.35,1.89,nan
0.00,3.07,-7.00,-51.11,2.18,nan
0.00,3.05,-7.10,-40.35,2.48,nan
0.00,3.04,-7.15,-40.35,2.32,nan
0.00,3.02,-7.19,-43.04,2.49,nan
0.00,2.99,-7.29,-43.04,3.70,nan
0.00,2.98,-7.29,-45.73,1.37,nan
0.00,2.96,-7.34,-40.35,2.41,nan
0.00,2.94,-7.36,-48.42,2.51,nan
0.00,2.92,-7.41,-45.73,2.63,nan
0.00,2.90,-7.43,-37.66,2.37,nan
0.00,2.88,-7.46,-45.73,2.49,nan
0.00,2.86,-7.48,-51.11,2.50,nan
0.00,2.85,-7.48,-37.66,2.50,nan
0.00,2.83,-7.51,-43.04,2.51,nan
0.00,2.81,-7.51,-51.11,2.48,nan
0.00,2.79,-7.53,-40.35,2.50,nan
0.00,2.77,-7.53,-43.04,2.50,nan
0.00,2.75,-7.55,-48.42,2.54,nan
0.00,2.73,-7.55,-45.73,2.49,nan
0.00,2.71,-7.55,-40.35,2.48,nan
0.00,2.69,-7.58,-48.42,2.47,nan
0.00,2.67,-7.58,-48.42,2.51,nan
0.00,2.65,-7.58,-40.35,2.50,nan
0.00,2.63,-7.58,-40.35,2.50,nan
0.00,2.62,-7.60,-51.11,2.50,nan
0.00,2.59,-7.60,-40.35,2.50,nan
0.00,2.57,-7.60,-40.35,2.50,nan
0.00,2.56,-7.60,-48.42,2.51,nan
0.00,2.54,-7.60,-45.73,2.49,nan
0.00,2.52,-7.63,-37.66,2.51,nan
0.00,2.50,-7.63,-48.42,2.50,nan
0.00,2.48,-7.63,-48.42,2.52,nan
0.00,2.46,-7.63,-37.66,2.53,nan
0.00,2.44,-7.63,-43.04,2.44,nan
0.00,2.42,-7.65,-48.42,2.53,nan
0.00,2.40,-7.65,-34.97,2.47,nan
