time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000059,-1.63676,00.042,00000.00,nan,nan
  0.000667,-1.59841,00.042,-0083.39,nan,nan
  0.003232,-1.59841,00.041,-0061.87,nan,nan
  0.005717,-1.59841,00.042,00005.38,nan,nan
  0.008245,-1.59841,00.041,00000.00,nan,nan
  0.010724,-1.59841,00.041,00013.45,nan,nan
  0.013296,-1.59841,00.041,00016.14,nan,nan
  0.015716,-1.59841,00.041,00032.28,nan,nan
  0.018226,-1.59841,00.041,00040.35,nan,nan
  0.020723,-1.59841,00.041,00034.97,nan,nan
  0.023220,-1.59841,00.041,00029.59,nan,nan
  0.025717,-1.59841,00.041,00029.59,nan,nan
  0.028227,-1.59841,00.039,00024.21,nan,nan
  0.030717,-1.59841,00.039,00013.45,nan,nan
  0.033217,-1.59841,00.038,00008.07,nan,nan
  0.035724,-1.59841,00.038,00008.07,nan,nan
  0.038222,-1.59841,00.038,00005.38,nan,nan
  0.040724,-1.59841,00.038,00000.00,nan,nan
  0.043217,-1.59841,00.038,00000.00,nan,nan
  0.045718,-1.59841,00.036,00000.00,nan,nan
  0.048217,-1.59841,00.036,00000.00,nan,nan
  0.050718,-1.59841,00.036,00000.00,nan,nan
  0.053228,-1.59841,00.036,00008.07,nan,nan
  0.055721,-1.59841,00.036,00000.00,nan,nan
  0.058217,-1.59841,00.036,00000.00,nan,nan
  0.060719,-1.59841,00.035,00005.38,nan,nan
  0.063216,-1.59841,00.035,00016.14,nan,nan
  0.065717,-1.59841,00.036,00005.38,nan,nan
  0.068225,-1.59841,00.036,00000.00,nan,nan
  0.070724,-1.59841,00.036,00000.00,nan,nan
  0.073218,-1.59841,00.036,00000.00,nan,nan
  0.075719,-1.59841,00.036,00000.00,nan,nan
  0.078219,-1.59841,00.036,00002.69,nan,nan
  0.080749,-1.59841,00.036,00000.00,nan,nan
  0.083219,-1.59841,00.036,00013.45,nan,nan
  0.085729,-1.59841,00.036,00000.00,nan,nan
  0.088240,-1.59841,00.036,00000.00,nan,nan
  0.090776,-1.59841,00.036,00000.00,nan,nan
  0.093262,-1.59841,00.036,00000.00,nan,nan
  0.095723,-1.59841,00.036,00000.00,nan,nan
  0.098226,-1.59841,00.036,00000.00,nan,nan
  0.100760,-1.59841,00.036,00000.00,nan,nan
  0.103240,-1.59841,00.036,00000.00,nan,nan
  0.105879,-1.59841,00.036,00000.00,nan,nan
  0.108247,-1.59841,00.036,00005.38,nan,nan
  0.110734,-1.59841,00.036,00000.00,nan,nan
  0.113228,-1.59841,00.035,00000.00,nan,nan
  0.115725,-1.59841,00.036,00000.00,nan,nan
  0.118236,-1.59841,00.036,00000.00,nan,nan
  0.120754,-1.59841,00.036,00000.00,nan,nan
  0.123222,-1.59841,00.036,00000.00,nan,nan
  0.125721,-1.59841,00.036,00002.69,nan,nan
  0.128220,-1.59841,00.036,00000.00,nan,nan
  0.130732,-1.59841,00.036,00000.00,nan,nan
  0.133222,-1.59841,00.036,00000.00,nan,nan
  0.135723,-1.59841,00.036,00000.00,nan,nan
  0.138220,-1.59841,00.036,00000.00,nan,nan
  0.140718,-1.59841,00.036,00000.00,nan,nan
  0.143217,-1.59841,00.036,00000.00,nan,nan
  0.145720,-1.59841,00.036,00000.00,nan,nan
  0.148217,-1.59841,00.036,00000.00,nan,nan
  0.150717,-1.59841,00.036,00000.00,nan,nan
  0.153222,-1.59841,00.036,00000.00,nan,nan
  0.155723,-1.59841,00.036,00000.00,nan,nan
  0.158228,-1.59841,00.036,00000.00,nan,nan
  0.160725,-1.59841,00.036,00000.00,nan,nan
  0.163226,-1.59841,00.036,00000.00,nan,nan
  0.165730,-1.59841,00.036,00000.00,nan,nan
  0.168264,-1.59841,00.036,00000.00,nan,nan
  0.170727,-1.59841,00.036,00000.00,nan,nan
  0.173222,-1.59841,00.036,00000.00,nan,nan
  0.175725,-1.59841,00.036,00000.00,nan,nan
  0.178226,-1.59841,00.036,00000.00,nan,nan
  0.180718,-1.59841,00.036,00000.00,nan,nan
  0.183221,-1.59841,00.036,00000.00,nan,nan
  0.185723,-1.59841,00.036,00000.00,nan,nan
  0.188227,-1.59841,00.036,00000.00,nan,nan
  0.190725,-1.59841,00.036,00000.00,nan,nan
  0.193218,-1.59841,00.036,00000.00,nan,nan
  0.195717,-1.59841,00.036,00000.00,nan,nan
  0.198216,-1.59841,00.036,00000.00,nan,nan
  0.200716,-1.70885,00.036,00000.00,nan,nan
  0.203230,-1.70885,00.036,-0815.07,nan,nan
  0.205722,-1.70885,00.035,-0742.44,nan,nan
  0.208228,-1.70885,00.030,-0494.96,nan,nan
  0.210718,-1.70885,00.024,-0295.90,nan,nan
  0.213216,-1.70885,00.018,-0169.47,nan,nan
  0.215716,-1.70885,00.010,-0078.01,nan,nan
  0.218279,-1.70885,00.002,-0008.07,nan,nan
  0.220728,-1.70885,-0.007,00061.87,nan,nan
  0.223224,-1.70885,-0.016,00123.74,nan,nan
  0.225719,-1.70885,-0.024,00153.33,nan,nan
  0.228244,-1.70885,-0.031,00188.30,nan,nan
  0.230717,-1.70885,-0.036,00174.85,nan,nan
  0.233323,-1.70885,-0.041,00169.47,nan,nan
  0.235725,-1.70885,-0.045,00161.40,nan,nan
  0.238223,-1.70885,-0.050,00142.57,nan,nan
  0.240726,-1.70885,-0.053,00134.50,nan,nan
  0.243241,-1.70885,-0.056,00129.12,nan,nan
  0.245716,-1.70885,-0.059,00129.12,nan,nan
  0.248240,-1.70885,-0.061,00118.36,nan,nan
  0.250716,-1.70885,-0.062,00096.84,nan,nan
  0.253241,-1.70885,-0.062,00064.56,nan,nan
  0.255728,-1.70885,-0.062,00043.04,nan,nan
  0.258225,-1.70885,-0.062,00026.90,nan,nan
  0.260719,-1.70885,-0.062,00013.45,nan,nan
  0.263263,-1.70885,-0.062,00000.00,nan,nan
  0.265720,-1.70885,-0.062,-0005.38,nan,nan
  0.268222,-1.70885,-0.064,00000.00,nan,nan
  0.270726,-1.70885,-0.065,00000.00,nan,nan
  0.273258,-1.70885,-0.068,00013.45,nan,nan
  0.275720,-1.70885,-0.070,00051.11,nan,nan
  0.278217,-1.70885,-0.071,00069.94,nan,nan
  0.280717,-1.70885,-0.073,00061.87,nan,nan
  0.283217,-1.70885,-0.074,00045.73,nan,nan
  0.285736,-1.70885,-0.074,00032.28,nan,nan
  0.288224,-1.70885,-0.074,00034.97,nan,nan
  0.290727,-1.70885,-0.076,00040.35,nan,nan
  0.293233,-1.70885,-0.074,00008.07,nan,nan
  0.295718,-1.70885,-0.074,00000.00,nan,nan
  0.298217,-1.70885,-0.073,00000.00,nan,nan
  0.300718,-1.70885,-0.073,00000.00,nan,nan
  0.303230,-1.70885,-0.071,00000.00,nan,nan
  0.305726,-1.70885,-0.070,00000.00,nan,nan
  0.308237,-1.70885,-0.070,00000.00,nan,nan
  0.310729,-1.70885,-0.070,00000.00,nan,nan
  0.313231,-1.70885,-0.070,00000.00,nan,nan
  0.315727,-1.70885,-0.070,00002.69,nan,nan
  0.318234,-1.70885,-0.070,00008.07,nan,nan
  0.320728,-1.70885,-0.071,00016.14,nan,nan
  0.323219,-1.70885,-0.073,00016.14,nan,nan
  0.325717,-1.70885,-0.073,00013.45,nan,nan
  0.328264,-1.70885,-0.073,00008.07,nan,nan
  0.330717,-1.70885,-0.074,00002.69,nan,nan
  0.333220,-1.70885,-0.074,00000.00,nan,nan
  0.335725,-1.70885,-0.074,00000.00,nan,nan
  0.338257,-1.70885,-0.074,00000.00,nan,nan
  0.340719,-1.70885,-0.074,00000.00,nan,nan
  0.343272,-1.70885,-0.074,00000.00,nan,nan
  0.345718,-1.70885,-0.074,00000.00,nan,nan
  0.348249,-1.70885,-0.074,00000.00,nan,nan
  0.350717,-1.70885,-0.073,00000.00,nan,nan
  0.353225,-1.70885,-0.073,00000.00,nan,nan
  0.355721,-1.70885,-0.073,00000.00,nan,nan
  0.358242,-1.70885,-0.071,00000.00,nan,nan
  0.360722,-1.70885,-0.071,00000.00,nan,nan
  0.363243,-1.70885,-0.071,00000.00,nan,nan
  0.365718,-1.70885,-0.071,00000.00,nan,nan
  0.368221,-1.70885,-0.071,00000.00,nan,nan
