time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
0.000294,-0.00076,0.104,0.0,-0.611454,-235.39276
0.001301,-0.03757,0.104,-196.37,-1.2093674,-227.15717
0.003871,-0.03757,0.104,-1086.76,-1.6730281,-232.72498
0.006368,-0.03757,0.1,-879.63,-2.1578994,-224.48627
0.008912,-0.03757,0.093,-546.07,-2.7267501,-208.73239
0.011384,-0.03757,0.085,-336.25,-3.4062026,-190.69208
0.014346,-0.03757,0.073,-150.64,-3.881685,-144.91647
0.016363,-0.03757,0.065,-48.42,-4.2722106,-76.220436
0.01886,-0.03757,0.054,37.66,-4.344617,-5.5178375
0.021413,-0.03757,0.042,134.5,-4.1593456,62.99675
0.024135,-0.03757,0.028,231.34,-3.8624368,116.91696
0.026363,-0.03757,0.022,231.34,-3.589726,147.20982
0.028865,-0.03757,0.015,247.48,-3.0741415,158.49557
0.031542,-0.03757,0.007,215.2,-2.559461,158.99518
0.033867,-0.03757,-0.002,207.13,-2.236337,149.06496
0.036322,-0.03757,-0.004,196.37,-1.9230968,129.66139
0.038874,-0.03757,-0.008,174.85,-1.5908481,114.68378
0.041358,-0.03757,-0.011,185.61,-1.3260183,107.300865
0.044029,-0.03757,-0.016,166.78,-1.079106,94.50862
0.046703,-0.03757,-0.019,150.64,-0.8173027,84.259
0.049127,-0.03757,-0.021,121.05,-0.5781039,72.4624
0.05337,-0.03757,-0.021,69.94,-0.3223543,48.212643
0.054863,-0.03757,-0.021,51.11,-0.25395265,18.689308
0.056362,-0.03757,-0.021,29.59,-0.2925278,-11.645249
0.058862,-0.03757,-0.022,10.76,-0.47937658,-42.699486
0.061378,-0.03757,-0.024,0.0,-0.5406397,-50.655727
0.063869,-0.03757,-0.025,-5.38,-0.64288527,-49.366135
0.066363,-0.03757,-0.027,-10.76,-0.84324455,-37.51781
0.068869,-0.03757,-0.028,0.0,-0.9618708,-18.928349
0.07136,-0.03757,-0.031,34.97,-1.021795,12.145792
0.073863,-0.03757,-0.036,69.94,-0.92735004,48.076073
0.076644,-0.03757,-0.038,83.39,-0.74629265,72.80471
0.078862,-0.03757,-0.039,69.94,-0.43310338,79.87255
0.081362,-0.03757,-0.039,51.11,-0.15591897,75.798874
0.083864,-0.03757,-0.039,40.35,0.00033505927,62.402195
0.086866,-0.03757,-0.039,32.28,0.070197426,44.23936
0.08886,-0.03757,-0.039,18.83,0.17024697,33.28616
0.091363,-0.03757,-0.038,8.07,0.23032561,26.552992
0.094032,-0.03757,-0.038,0.0,0.29219696,16.03134
0.096365,-0.03757,-0.036,0.0,0.3714319,-1.034772
0.098869,-0.03757,-0.036,0.0,0.37261447,-16.462543
0.101368,-0.03757,-0.035,0.0,0.25815865,-32.496773
0.103868,-0.03757,-0.033,-37.66,0.09996566,-46.592495
0.10636,-0.03757,-0.033,-34.97,0.014254652,-50.522396
0.108863,-0.03757,-0.035,-29.59,-0.1286694,-42.72455
0.111369,-0.03757,-0.035,2.69,-0.3001027,-35.116955
0.113858,-0.03757,-0.035,-5.38,-0.35718393,-26.94395
0.116361,-0.03757,-0.036,13.45,-0.32868809,-12.656335
0.118865,-0.03757,-0.038,18.83,-0.41446644,3.2702205
0.121361,-0.03757,-0.039,16.14,-0.414293,13.675606
0.12386,-0.03757,-0.039,26.9,-0.3286551,24.708914
0.12636,-0.03757,-0.041,34.97,-0.21432039,40.225113
0.128861,-0.03757,-0.041,34.97,-0.14286938,49.601246
0.131359,-0.03757,-0.041,26.9,3.264373e-05,51.426357
0.133861,-0.03757,-0.041,21.52,0.18572038,46.536682
0.136359,-0.03757,-0.041,16.14,0.32861832,34.704163
0.138864,-0.03757,-0.039,-5.38,0.3999893,13.058628
0.141357,-0.03757,-0.038,-13.45,0.40001133,-9.39222
0.143857,-0.03757,-0.036,-10.76,0.3285775,-26.126766
0.146362,-0.03757,-0.036,-2.69,0.18570241,-32.045303
0.14886,-0.03757,-0.036,0.0,0.08572244,-29.18381
0.151359,-0.03757,-0.036,0.0,-7.71534e-16,-20.60941
0.15386,-0.03757,-0.036,0.0,-7.760465e-16,-10.407174
0.156358,-0.03757,-0.036,0.0,-8.0412596e-16,-3.6734335
0.158863,-0.03757,-0.036,0.0,-7.2831085e-16,-3.3531364e-16
0.161359,-0.03757,-0.036,0.0,-8.11723e-16,-5.8047364e-16
0.16386,-0.03757,-0.036,0.0,-7.7010044e-16,8.908056e-16
0.16636,-0.03757,-0.036,0.0,-7.808211e-16,-6.8739667e-16
0.168861,-0.03757,-0.036,0.0,-7.9122904e-16,6.176035e-16
0.171358,-0.03757,-0.036,0.0,-7.517202e-16,-1.6268733e-15
0.173861,-0.03757,-0.036,0.0,-7.7732023e-16,-1.0025175e-15
0.176359,-0.03757,-0.036,0.0,-8.021969e-16,-1.1738411e-15
0.178864,-0.03757,-0.036,0.0,-7.9844253e-16,-3.0912846e-15
0.181364,-0.03757,-0.036,0.0,-7.8257766e-16,-5.2309647e-16
0.183861,-0.03757,-0.036,0.0,-7.9100484e-16,1.1695385e-15
0.18636,-0.03757,-0.036,0.0,-8.2128124e-16,-3.426432e-16
0.18886,-0.03757,-0.036,0.0,-7.792872e-16,-1.1469421e-15
0.191359,-0.03757,-0.036,0.0,-7.7478755e-16,-1.7860856e-15
0.193862,-0.03757,-0.036,0.0,-8.155297e-16,5.508682
0.196361,-0.03757,-0.036,0.0,-8.0847977e-16,18.3657
0.198865,-0.03757,-0.036,0.0,-8.2912884e-16,41.028046
0.20136,0.03452,-0.036,0.0,0.12859714,69.2048
0.203861,0.03452,-0.036,527.24,0.3429257,97.77424
0.20636,0.03452,-0.036,486.89,0.68596905,124.11277
0.208861,0.03452,-0.033,341.63,1.0429767,136.10582
0.211359,0.03452,-0.03,209.82,1.3998601,134.83017
0.213857,0.03452,-0.025,107.6,1.8139919,116.06506
0.21636,0.03452,-0.021,72.63,2.0853505,87.95621
0.218866,0.03452,-0.016,21.52,2.299651,48.419888
0.22136,0.03452,-0.008,-34.97,2.3283255,0.46458766
0.223861,0.03452,-0.002,-59.18,2.3147075,-41.21142
0.226359,0.03452,0.004,-99.53,2.1147068,-72.486305
0.228861,0.03452,0.008,-126.43,1.7999877,-90.85604
0.231359,0.03452,0.013,-123.74,1.5282016,-97.37984
0.233861,0.03452,0.016,-104.91,1.3138629,-89.17727
0.23636,0.03452,0.019,-102.22,1.0710821,-73.62739
0.238865,0.03452,0.021,-91.46,0.89981747,-60.350925
0.241363,0.03452,0.024,-86.08,0.78574765,-51.796688
0.243864,0.03452,0.024,-69.94,0.714471,-48.358765
0.246361,0.03452,0.027,-61.87,0.61448246,-56.347557
