time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
  0.000000,0.00000,0.00000,nan,nan,nan
  0.000000,-0.03777,0.00000,nan,nan,nan
  0.002500,-0.03777,0.00000,nan,nan,nan
  0.005000,-0.03777,0.00000,nan,nan,nan
  0.007500,-0.03777,-0.00116,nan,nan,nan
  0.010000,-0.03777,-0.00310,nan,nan,nan
  0.012500,-0.03777,-0.00555,nan,nan,nan
  0.015000,-0.03777,-0.00829,nan,nan,nan
  0.017500,-0.03777,-0.01114,nan,nan,nan
  0.020000,-0.03777,-0.01400,nan,nan,nan
  0.022500,-0.03777,-0.01670,nan,nan,nan
  0.025000,-0.03777,-0.01928,nan,nan,nan
  0.027500,-0.03777,-0.02168,nan,nan,nan
  0.030000,-0.03777,-0.02390,nan,nan,nan
  0.032500,-0.03777,-0.02591,nan,nan,nan
  0.035000,-0.03777,-0.02770,nan,nan,nan
  0.037500,-0.03777,-0.02930,nan,nan,nan
  0.040000,-0.03777,-0.03069,nan,nan,nan
  0.042500,-0.03777,-0.03191,nan,nan,nan
  0.045000,-0.03777,-0.03295,nan,nan,nan
  0.047500,-0.03777,-0.03384,nan,nan,nan
  0.050000,-0.03777,-0.03460,nan,nan,nan
  0.052500,-0.03777,-0.03524,nan,nan,nan
  0.055000,-0.03777,-0.03524,nan,nan,nan
  0.057500,-0.03777,-0.03621,nan,nan,nan
  0.060000,-0.03777,-0.03671,nan,nan,nan
  0.062500,-0.03777,-0.03708,nan,nan,nan
  0.065000,-0.03777,-0.03735,nan,nan,nan
  0.067500,-0.03777,-0.03756,nan,nan,nan
  0.070000,-0.03777,-0.03772,nan,nan,nan
  0.072500,-0.03777,-0.03783,nan,nan,nan
  0.075000,-0.03777,-0.03790,nan,nan,nan
  0.077500,-0.03777,-0.03795,nan,nan,nan
  0.080000,-0.03777,-0.03798,nan,nan,nan
  0.082500,-0.03777,-0.03799,nan,nan,nan
  0.085000,-0.03777,-0.03799,nan,nan,nan
  0.087500,-0.03777,-0.03798,nan,nan,nan
  0.090000,-0.03777,-0.03797,nan,nan,nan
  0.092500,-0.03777,-0.03795,nan,nan,nan
  0.095000,-0.03777,-0.03793,nan,nan,nan
  0.097500,-0.03777,-0.03791,nan,nan,nan
