time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,0.0029090908,-9.45404
0.0,-0.03777,1e-05,,0.004352941,-13.553287
0.0025,-0.03777,1e-05,,-0.0122,-19.498245
0.005,-0.03777,2e-05,,-0.0452,-26.15854
0.0075,-0.03777,4e-05,,-0.104428574,-34.93921
0.01,-0.03777,-0.00019,,-0.21071428,-46.6
0.0125,-0.03777,-0.00078,,-0.35657144,-55.23633
0.015,-0.03777,-0.00183,,-0.52614284,-58.053062
0.0175,-0.03777,-0.0034,,-0.6948571,-53.471428
0.02,-0.03777,-0.00546,,-0.8352857,-42.39388
0.0225,-0.03777,-0.00785,,-0.92985713,-27.177551
0.025,-0.03777,-0.01048,,-0.97314286,-10.869388
0.0275,-0.03777,-0.01302,,-0.9694286,3.5632653
0.03,-0.03777,-0.01544,,-0.93128574,14.546939
0.0325,-0.03777,-0.01773,,-0.87128574,21.744898
0.035,-0.03777,-0.01984,,-0.8051429,25.616327
0.0375,-0.03777,-0.02177,,-0.7351429,27.106123
0.04,-0.03777,-0.02351,,-0.664,27.110205
0.0425,-0.03777,-0.02508,,-0.5952857,26.355103
0.045,-0.03777,-0.02647,,-0.52985716,24.765306
0.0475,-0.03777,-0.0277,,-0.46885714,22.546938
0.05,-0.03777,-0.02879,,-0.41242856,19.989796
0.0525,-0.03777,-0.02974,,-0.36714286,17.353062
0.055,-0.03777,-0.03057,,-0.32914287,14.942857
0.0575,-0.03777,-0.03129,,-0.29657143,13.057143
0.06,-0.03777,-0.03205,,-0.26757142,11.993877
0.0625,-0.03777,-0.03269,,-0.24028571,11.32653
0.065,-0.03777,-0.03325,,-0.21285714,10.828571
0.0675,-0.03777,-0.03373,,-0.18357143,10.295918
0.07,-0.03777,-0.03415,,-0.15842856,9.626531
0.0725,-0.03777,-0.03451,,-0.13557144,8.773469
0.075,-0.03777,-0.03482,,-0.11528572,7.8408165
0.0775,-0.03777,-0.03508,,-0.09671429,7.022449
0.08,-0.03777,-0.03529,,-0.08042857,6.2387757
0.0825,-0.03777,-0.03547,,-0.06557143,5.5142856
0.085,-0.03777,-0.03561,,-0.052857142,4.822449
0.0875,-0.03777,-0.03573,,-0.042,4.189796
0.09,-0.03777,-0.03581,,-0.032285713,3.5897958
0.0925,-0.03777,-0.03588,,-0.024142858,3.0755103
0.095,-0.03777,-0.03593,,-0.017142856,2.632653
0.0975,-0.03777,-0.03596,,-0.011571429,2.2367346
0.1,-0.03777,-0.03598,,-0.0064285714,1.9142857
0.1025,-0.03777,-0.03599,,-0.002,1.6244898
0.105,-0.03777,-0.03599,,0.0015714286,1.6183673
0.1075,-0.03777,-0.03598,,0.004857143,1.8959184
0.11,-0.03777,-0.03596,,0.007142857,2.4020407
0.1125,-0.03777,-0.03594,,0.014857143,3.012245
0.115,-0.03777,-0.03591,,0.024714286,3.487755
0.1175,-0.03777,-0.03589,,0.035285715,3.5775511
0.12,-0.03777,-0.03572,,0.045714285,2.9571428
0.1225,-0.03777,-0.03558,,0.053714287,2.0040817
0.125,-0.03777,-0.03544,,0.057714287,0.94693875
0.1275,-0.03777,-0.03529,,0.055714287,-0.04489796
0.13,-0.03777,-0.03515,,0.053857144,-0.78775513
0.1325,-0.03777,-0.03502,,0.051285714,-1.2081633
0.135,-0.03777,-0.03489,,0.047571428,-1.3653061
0.1375,-0.03777,-0.03478,,0.043571427,-1.4714285
