time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,0.04,-21.788235
0.0025,-0.03777,0.0002,,0.02,-24.017113
0.005,-0.03777,0.0002,,-0.024470588,-31.067406
0.0075,-0.03777,0.00019,,-0.0912,-41.373177
0.01,-0.03777,-0.00016,,-0.2156,-59.738354
0.0125,-0.03777,-0.00076,,-0.4016,-75.888
0.015,-0.03777,-0.00202,,-0.616,-82.256
0.0175,-0.03777,-0.0039,,-0.8396,-75.584
0.02,-0.03777,-0.00629,,-1.0248,-57.504
0.0225,-0.03777,-0.00912,,-1.142,-31.728
0.025,-0.03777,-0.01222,,-1.1836,-6.544
0.0275,-0.03777,-0.01521,,-1.1568,12.08
0.03,-0.03777,-0.01804,,-1.0992,22.96
0.0325,-0.03777,-0.02067,,-1.0332,28.224
0.035,-0.03777,-0.02323,,-0.9584,31.792
0.0375,-0.03777,-0.02553,,-0.8744,34.192
0.04,-0.03777,-0.02759,,-0.7812,34.848
0.0425,-0.03777,-0.02942,,-0.6944,33.712
0.045,-0.03777,-0.03105,,-0.6128,31.344
0.0475,-0.03777,-0.03248,,-0.5372,28.896
0.05,-0.03777,-0.03372,,-0.468,26.32
0.0525,-0.03777,-0.0348,,-0.4056,23.712
0.055,-0.03777,-0.03574,,-0.3496,21.216
0.0575,-0.03777,-0.03654,,-0.3,18.864
0.06,-0.03777,-0.03722,,-0.2556,16.64
0.0625,-0.03777,-0.03781,,-0.2168,14.608
0.065,-0.03777,-0.0383,,-0.1832,12.672
0.0675,-0.03777,-0.03871,,-0.1536,10.912
0.07,-0.03777,-0.03906,,-0.1288,9.392
0.0725,-0.03777,-0.03935,,-0.1076,8.064
0.075,-0.03777,-0.03959,,-0.0888,6.928
0.0775,-0.03777,-0.03979,,-0.0728,5.936
0.08,-0.03777,-0.03995,,-0.0596,5.056
0.0825,-0.03777,-0.04008,,-0.048,4.896
0.085,-0.03777,-0.04019,,-0.038,5.792
0.0875,-0.03777,-0.04027,,-0.0224,6.928
0.09,-0.03777,-0.04033,,3.8304217e-16,7.376
0.0925,-0.03777,-0.04029,,0.0196,5.968
0.095,-0.03777,-0.04018,,0.0332,3.36
0.0975,-0.03777,-0.0401,,0.0356,0.8467027
0.1,-0.03777,-0.04001,,0.034,0.20635135
0.1025,-0.03777,-0.03993,,0.029783783,0.51669425
0.105,-0.03777,-0.03984,,0.0386875,0.8390385
0.11,-0.03777,-0.03973,,0.040444445,0.6661844
0.11,-0.03777,-0.03953,,0.04018182,-1.0870637
0.1125,-0.03777,-0.03953,,0.03635294,-1.5542414
0.115,-0.03777,-0.03944,,0.0268,-1.1806631
0.1175,-0.03777,-0.03936,,0.0312,-0.8762353
0.12,-0.03777,-0.03928,,0.028,-0.704
0.1225,-0.03777,-0.03922,,0.0248,-1.264
0.125,-0.03777,-0.03916,,0.0212,-1.2
0.1275,-0.03777,-0.03911,,0.0188,-1.072
0.13,-0.03777,-0.03907,,0.016,-0.928
0.1325,-0.03777,-0.03903,,0.014,-0.864
0.135,-0.03777,-0.039,,0.012,-0.736
0.1375,-0.03777,-0.03897,,0.01,-0.672
0.14,-0.03777,-0.03895,,0.0088,-0.528
0.1425,-0.03777,-0.03893,,0.0072,-0.4
0.145,-0.03777,-0.03891,,0.0068,-0.4
0.1475,-0.03777,-0.0389,,0.006,-0.384
0.15,-0.03777,-0.03888,,0.0044,-0.416
0.1525,-0.03777,-0.03887,,0.0036,-0.352
0.155,-0.03777,-0.03887,,0.0028,-0.176
0.1575,-0.03777,-0.03886,,0.0024,-0.128
0.16,-0.03777,-0.03885,,0.0028,-0.144
0.1625,-0.03777,-0.03885,,0.002,-0.192
0.165,-0.03777,-0.03884,,0.0012,-0.208
0.1675,-0.03777,-0.03884,,0.0008,-0.144
0.17,-0.03777,-0.03884,,0.0008,-0.048
0.1725,-0.03777,-0.03884,,0.0004,-8.319149e-14
0.175,-0.03777,-0.03883,,0.0008,-0.016
0.1775,-0.03777,-0.03884,,0.0008,0.016
0.18,-0.03777,-0.03883,,0.0004,-0.064
0.1825,-0.03777,-0.03883,,0.0008,-0.08
0.185,-0.03777,-0.03883,,1.2667948e-15,-0.064
0.1875,-0.03777,-0.03883,,1.2216623e-15,-0.064
0.19,-0.03777,-0.03883,,1.2607692e-15,1.5709205e-15
0.1925,-0.03777,-0.03883,,1.219652e-15,0.064
0.195,-0.03777,-0.03883,,1.2874365e-15,0.064
0.1975,-0.03777,-0.03883,,0.0008,0.016
0.2,-0.03777,-0.03883,,0.0004,2.88
0.2025,0.03452,-0.03882,,1.0020848e-15,14.048
0.205,0.03452,-0.03883,,0.0364,38.24
0.2075,0.03452,-0.03883,,0.1584,74.576
0.21,0.03452,-0.03837,,0.3992,112.752
0.2125,0.03452,-0.03707,,0.7508,140.48
0.215,0.03452,-0.03472,,1.1496,149.328
0.2175,0.03452,-0.03127,,1.5392,135.312
0.22,0.03452,-0.0269,,1.8716,102.064
0.2225,0.03452,-0.02174,,2.0812,56.624
0.225,0.03452,-0.01609,,2.1544,9.872
0.2275,0.03452,-0.01066,,2.1056,-26.064
0.23,0.03452,-0.00551,,1.9828,-47.984
0.2325,0.03452,-0.00071,,1.8412,-58.08
0.235,0.03452,0.00372,,1.6868,-61.632
0.2375,0.03452,0.00774,,1.5276,-62.624
0.24,0.03452,0.01135,,1.3692,-61.44
0.2425,0.03452,0.01457,,1.2172,-58.688
0.245,0.03452,0.01742,,1.074,-54.96
0.2475,0.03452,0.01992,,0.9416,-50.736
0.25,0.03452,0.0221,,0.82,-46.256
0.2525,0.03452,0.024,,0.71,-41.744
0.255,0.03452,0.02563,,0.6116,-37.264
0.2575,0.03452,0.02703,,0.524,-33.04
0.26,0.03452,0.02823,,0.4472,-29.184
0.2625,0.03452,0.02925,,0.3792,-25.728
0.265,0.03452,0.03011,,0.3192,-22.592
0.2675,0.03452,0.03083,,0.2664,-19.664
0.27,0.03452,0.03143,,0.2212,-16.928
0.2725,0.03452,0.03192,,0.1824,-14.448
0.275,0.03452,0.03233,,0.1496,-12.256
0.2775,0.03452,0.03266,,0.1216,-10.4
0.28,0.03452,0.03293,,0.0984,-8.848
0.2825,0.03452,0.03314,,0.078,-7.584
0.285,0.03452,0.03332,,0.0608,-6.544
0.2875,0.03452,0.03344,,0.0456,-5.216
0.29,0.03452,0.03354,,0.0328,-3.696
