time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.218,9.837433
0.0025,-0.03777,-0.00109,,-0.14436364,5.109188
0.005,-0.03777,-0.00109,,-0.15658824,-25.459175
0.0075,-0.03777,-0.00123,,-0.158,-40.60338
0.01,-0.03777,-0.00178,,-0.4292,-49.104942
0.0125,-0.03777,-0.00272,,-0.5156,-46.048
0.015,-0.03777,-0.00571,,-0.5916,-26.496
0.0175,-0.03777,-0.00571,,-0.6524,-35.248
0.02,-0.03777,-0.00768,,-0.692,-39.52
0.0225,-0.03777,-0.00989,,-0.906,-37.168
0.025,-0.03777,-0.01227,,-0.9588,-26.464
0.0275,-0.03777,-0.01474,,-0.9836,-5.552
0.03,-0.03777,-0.01724,,-0.984,3.712
0.0325,-0.03777,-0.0197,,-0.9628,11.696
0.035,-0.03777,-0.02209,,-0.9228,18.384
0.0375,-0.03777,-0.02435,,-0.868,23.6
0.04,-0.03777,-0.02645,,-0.8016,27.312
0.0425,-0.03777,-0.02837,,-0.7284,29.632
0.045,-0.03777,-0.0301,,-0.6512,30.768
0.0475,-0.03777,-0.03163,,-0.5728,30.896
0.05,-0.03777,-0.03296,,-0.4948,30.096
0.0525,-0.03777,-0.0341,,-0.4204,29.392
0.055,-0.03777,-0.03505,,-0.3512,28.896
0.0575,-0.03777,-0.03584,,-0.2772,28.304
0.06,-0.03777,-0.03648,,-0.2052,26.624
0.0625,-0.03777,-0.03685,,-0.1396,22.64
0.065,-0.03777,-0.03711,,-0.0872,17.632
0.0675,-0.03777,-0.03727,,-0.0532,12.64
0.07,-0.03777,-0.03736,,-0.028,8.592
0.0725,-0.03777,-0.03739,,-0.0112,5.696
0.075,-0.03777,-0.0374,,-0.0008,3.376
0.0775,-0.03777,-0.03739,,0.0044,1.6
0.08,-0.03777,-0.03737,,0.0064,0.256
0.0825,-0.03777,-0.03735,,0.0052,-0.688
0.085,-0.03777,-0.03734,,0.002,-1.28
0.0875,-0.03777,-0.03734,,-0.002,-1.536
0.09,-0.03777,-0.03735,,-0.006,-1.6
0.0925,-0.03777,-0.03737,,-0.01,-1.536
0.095,-0.03777,-0.0374,,-0.014,-1.344
0.0975,-0.03777,-0.03744,,-0.0172,-1.072
0.1,-0.03777,-0.03749,,-0.0192,-0.39913514
0.1025,-0.03777,-0.03754,,-0.0208,-0.22856757
0.105,-0.03777,-0.03759,,-0.01718919,-0.12144983
0.1075,-0.03777,-0.03765,,-0.0210625,-0.08959811
0.1125,-0.03777,-0.0377,,-0.020814816,-0.13536124
0.1125,-0.03777,-0.0378,,-0.02,0.64306915
0.115,-0.03777,-0.0378,,-0.018941177,0.75094193
0.1175,-0.03777,-0.03785,,-0.014,0.53364706
0.12,-0.03777,-0.03789,,-0.016,0.4272941
0.1225,-0.03777,-0.03793,,-0.0148,0.336
0.125,-0.03777,-0.03796,,-0.0132,0.656
