time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
6.8e-05,-0.00076,-0.13,0.0,0.44808215,109.07464
0.000875,-0.00229,-0.128,0.0,0.23636025,170.52084
0.003447,-0.00229,-0.128,992.61,0.7277443,238.6827
0.005944,0.00078,-0.128,801.62,1.3486544,299.063
0.008456,0.00078,-0.122,562.21,2.4006963,293.2239
0.010944,0.00231,-0.114,325.49,3.1624444,249.27388
0.013441,0.00231,-0.105,217.89,3.4838686,187.18314
0.015941,0.00538,-0.097,102.22,3.919881,137.26881
0.018444,0.00538,-0.087,32.28,4.359558,62.14433
0.020943,0.00691,-0.074,-43.04,4.440505,-69.08694
0.023441,0.00691,-0.062,-142.57,4.000134,-169.9416
0.025941,0.00998,-0.054,-177.54,3.2358127,-190.26236
0.028444,0.00998,-0.047,-193.68,2.8379185,-142.16663
0.030956,0.01305,-0.041,-182.92,2.6401339,-89.11799
0.033442,0.01305,-0.033,-174.85,2.5199196,-81.54914
0.035941,0.01458,-0.028,-153.33,2.281157,-88.170425
0.038451,0.01458,-0.022,-137.19,1.9982399,-99.07964
0.040944,0.01765,-0.018,-147.95,1.7996999,-79.987495
0.043452,0.01765,-0.013,-104.91,1.5210651,-74.756325
0.045944,0.01918,-0.01,-112.98,1.5198542,-89.34224
0.048443,0.01918,-0.007,-118.36,1.2044175,-117.14233
0.050951,0.02225,-0.002,-107.6,0.8412834,-134.7107
0.053411,0.02225,-0.002,-59.18,0.39992982,-85.26682
0.055942,0.02532,-0.002,-26.9,0.23995794,-14.45203
0.058442,0.02532,-0.002,2.69,0.4382669,51.001083
0.060944,0.02685,0.001,10.76,0.63987786,70.469025
0.06345,0.02685,0.002,18.83,0.84030324,78.666214
0.06594,0.02992,0.004,24.21,0.9198379,88.12301
0.068439,0.02992,0.007,43.04,1.2811892,81.37446
0.070953,0.03299,0.01,21.52,1.5211112,55.80384
0.07343,0.03299,0.015,0.0,1.5553237,-8.235903
0.075933,0.03452,0.019,-32.28,1.4791701,-68.51703
0.078482,0.03452,0.022,-48.42,1.2004783,-104.94965
0.080932,0.03759,0.025,-59.18,0.84176576,-108.95182
0.083429,0.03759,0.027,-45.73,0.5614588,-96.454346
0.085933,0.03913,0.027,-37.66,0.4393242,-75.19054
0.08843,0.03913,0.028,-26.9,0.20020612,-65.5394
0.090954,0.04219,0.03,-13.45,0.08062353,-59.13554
0.093435,0.04219,0.028,2.69,-0.079569824,-25.665115
0.09593,0.04526,0.028,13.45,-0.15988348,16.022808
0.09843,0.04526,0.028,29.59,3.732188e-17,51.184586
0.100941,0.0468,0.028,29.59,0.2399228,81.63301
0.103429,0.0468,0.028,26.9,0.36012432,75.24039
0.10593,0.04986,0.031,21.52,0.68037945,52.784348
0.10843,0.04986,0.031,40.35,0.71979463,46.374763
0.110939,0.0514,0.035,40.35,0.7200505,30.451406
0.113431,0.0514,0.035,34.97,0.920393,35.262665
0.115931,0.05447,0.038,18.83,0.9609029,24.005796
0.118431,0.05447,0.041,8.07,1.0401536,-3.2562993
0.120929,0.05753,0.044,-8.07,0.96009916,-22.513716
0.12343,0.05753,0.045,-5.38,0.8800928,-30.450724
0.12593,0.05907,0.048,-13.45,0.7595552,-33.6059
0.128429,0.05907,0.05,-16.14,0.7598428,-41.576714
0.130936,0.06214,0.051,-24.21,0.5999709,-51.151592
0.133429,0.06214,0.053,-8.07,0.44007978,-67.20197
0.13593,0.06367,0.054,-5.38,0.28001586,-62.42415
0.138429,0.06367,0.054,0.0,0.0799936,-46.401638
0.140931,0.06674,0.054,0.0,-1.2074762e-15,-12.798218
0.14343,0.06674,0.054,18.83,-1.2170322e-15,19.199453
0.14593,0.06981,0.054,13.45,0.16003814,28.765913
0.148429,0.06981,0.054,37.66,0.23999329,28.775862
0.15094,0.07134,0.056,32.28,0.23989095,15.989475
0.153431,0.07134,0.056,29.59,0.32000583,25.585997
0.155939,0.07441,0.056,24.21,0.3201213,36.836864
0.15843,0.07441,0.058,37.66,0.5199036,33.604
0.160935,0.07594,0.059,24.21,0.6002782,38.407284
0.163433,0.07594,0.061,18.83,0.6000766,19.207275
0.165931,0.07901,0.062,8.07,0.7599546,3.1809018
0.16843,0.07901,0.064,13.45,0.680105,-12.7768345
0.170939,0.08208,0.067,8.07,0.6001818,-38.360725
0.17343,0.08208,0.067,8.07,0.52027804,-31.999763
0.175931,0.08361,0.068,0.0,0.36033934,-11.212366
0.178431,0.08361,0.07,8.07,0.40011522,15.982991
0.180929,0.08668,0.07,0.0,0.5201536,41.541462
0.183428,0.08668,0.071,13.45,0.6401728,25.542618
0.18593,0.08821,0.074,5.38,0.75947195,-8.047707
0.188428,0.08821,0.076,2.69,0.59966385,-25.616508
0.190937,0.09128,0.077,0.0,0.43990374,-27.13671
0.193432,0.09128,0.077,8.07,0.47963804,-7.924227
0.195931,0.09435,0.079,8.07,0.48033193,0.0750135
0.198443,0.09435,0.081,18.83,0.48037675,-4.7188683
0.200928,0.09588,0.081,21.52,0.44044432,7.953594
0.203429,0.09588,0.082,18.83,0.44057283,15.9444
0.20593,0.09588,0.084,10.76,0.5995202,19.11624
0.20843,0.09588,0.085,0.0,0.59980124,6.3935385
0.210938,0.09435,0.087,-5.38,0.6000251,-25.523954
