time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.01,0.0,0.0,,-0.02,4.7016044
0.01,0.00515,-1e-04,,-0.0072727273,6.0948024
0.0125,0.00515,-1e-04,,-0.001882353,8.066538
0.015,0.00515,-8e-05,,0.017534247,4.388407
0.0175,0.00515,-6e-05,,0.05,5.9093266
0.0275,0.00761,0.00019,,0.065671235,11.621628
0.0275,0.00761,0.00097,,0.118384615,15.952161
0.03,0.00761,0.00097,,0.28211764,35.41585
0.0325,0.01007,0.00206,,0.2928,15.948524
0.035,0.01007,0.00263,,0.3584,-2.1054118
0.0375,0.015,0.0038,,0.2796,-13.248
0.04,0.01746,0.00458,,0.2624,-10.256
0.0425,0.01746,0.00458,,0.1752,19.136
0.045,0.01992,0.00552,,0.2824,42.08
0.0475,0.01992,0.00552,,0.5088,46.432
0.05,0.02238,0.00764,,0.6216,14.896
0.0525,0.02484,0.00988,,0.586,-19.792
0.055,0.02484,0.01111,,0.43,-25.376
0.0575,0.02484,0.01111,,0.3572,-5.12
0.06,0.02731,0.0124,,0.4188,15.168
0.0625,0.02731,0.0137,,0.5276,27.728
0.065,0.02977,0.01505,,0.5344,18.624
0.0675,0.02977,0.01638,,0.646,3.152
0.07,0.03223,0.01774,,0.5924,-0.128
0.0725,0.03223,0.02043,,0.538,-13.696
0.075,0.03469,0.02043,,0.5868,-7.408
0.0775,0.03469,0.02176,,0.4776,0.96
0.08,0.03716,0.02441,,0.53,2.912
0.0825,0.03716,0.02441,,0.5784,9.2
0.085,0.03962,0.02573,,0.5728,2.496
0.0875,0.03962,0.02833,,0.5712,-5.824
0.09,0.04208,0.02961,,0.5648,-11.616
0.0925,0.04208,0.02961,,0.5096,-13.408
0.095,0.04454,0.03215,,0.4584,-19.04
0.0975,0.047,0.03343,,0.4568,-4.688
0.1,0.047,0.03343,,0.3532,17.712
0.1025,0.047,0.03468,,0.5036,28.32
0.105,0.04947,0.03594,,0.6564,18.64
0.1075,0.05193,0.03847,,0.6592,-15.258811
0.11,0.05193,0.03974,,0.5084,-33.325405
0.1125,0.05193,0.04102,,0.38686487,-25.25016
0.115,0.05439,0.04102,,0.376,-19.2766
0.12,0.05439,0.04358,,0.32237038,-4.484769
0.12,0.05685,0.04358,,0.256,24.708504
0.1225,0.05685,0.04358,,0.39917648,74.44002
0.125,0.05931,0.04358,,0.6484,56.80094
0.1275,0.05931,0.04735,,0.8448,7.0258822
0.13,0.06178,0.0498,,0.7432,-33.2
0.1325,0.06178,0.05103,,0.4396,-45.12
0.135,0.06424,0.05103,,0.436,-20.944
0.1375,0.06424,0.05223,,0.4344,9.376
0.14,0.0667,0.05465,,0.484,3.904
0.1425,0.0667,0.05465,,0.5328,1.936
0.145,0.06916,0.05587,,0.4356,-5.904
0.1475,0.06916,0.05828,,0.4828,-3.76
0.15,0.07163,0.05828,,0.4352,8.096
0.1525,0.07163,0.05948,,0.486,4.256
0.155,0.07409,0.06071,,0.5352,7.872
0.1575,0.07409,0.06314,,0.486,3.872
0.16,0.07655,0.06314,,0.5336,2.064
0.1625,0.07655,0.06434,,0.5352,-3.6
0.165,0.07901,0.06678,,0.5364,-11.344
0.1675,0.07901,0.06801,,0.4396,-3.616
0.17,0.08147,0.06801,,0.4396,11.952
0.1725,0.08147,0.06922,,0.5384,11.904
0.175,0.08394,0.07167,,0.6364,-1.808
0.1775,0.08394,0.07291,,0.49,-11.968
0.18,0.0864,0.07412,,0.4412,-16.112
0.1825,0.0864,0.07412,,0.4864,-4.752
0.185,0.08886,0.07658,,0.4368,-10.88
0.1875,0.08886,0.07776,,0.4328,-4.768
0.19,0.09132,0.07776,,0.332,17.024
0.1925,0.09132,0.07894,,0.4792,19.776
0.195,0.09378,0.08014,,0.6264,10.656
0.1975,0.09378,0.08256,,0.5328,-18.368
0.2,0.09625,0.08378,,0.4384,-26.768
0.2025,0.09625,0.08378,,0.3436,-7.296
0.205,0.09533,0.08501,,0.3864,4.832
0.2075,0.09533,0.08624,,0.4676,10.592
0.21,0.09441,0.08738,,0.4368,2.336
0.2125,0.09441,0.08844,,0.4508,-9.152
0.215,0.09349,0.08937,,0.424,-19.232
0.2175,0.09257,0.09088,,0.3596,-33.392
0.22,0.09257,0.09146,,0.242,-35.936
0.2225,0.09166,0.09189,,0.1244,-28.288
0.225,0.09166,0.09189,,0.0924,-15.152
0.2275,0.09166,0.09222,,0.0808,-7.824
0.23,0.09074,0.09245,,0.0744,-9.264
0.2325,0.08982,0.09262,,0.0356,-13.632
0.235,0.08982,0.09262,,-0.0008,-16.528
0.2375,0.08982,0.09258,,-0.052,-13.648
0.24,0.0889,0.09246,,-0.0884,-8.768
0.2425,0.0889,0.09205,,-0.0912,-5.28
0.245,0.08798,0.09178,,-0.0908,-3.84
0.2475,0.08798,0.09178,,-0.1168,-5.376
0.25,0.08707,0.09146,,-0.1236,2.5393121
0.2525,0.08707,0.09075,,-0.142,3.6361535
0.255,0.08615,0.09075,,-0.0464586,-1.1257702
0.2575,0.08615,0.09036,,-0.10991878,-2.1719432
0.275,0.08523,0.09,,-0.14152941,-6.6914687
0.275,0.08431,0.08681,,-0.15321259,-2.501534
0.2775,0.08431,0.08681,,-0.29717648,4.790924
0.28,0.08156,0.08681,,-0.0816,2.9600668
0.2825,0.08156,0.08613,,-0.148,7.0221176
0.285,0.08064,0.08613,,-0.1908,-9.808
0.2875,0.08064,0.0853,,-0.1548,-1.008
0.29,0.07972,0.08484,,-0.2008,2.4
0.2925,0.07972,0.08484,,-0.1556,-0.592
0.295,0.0788,0.08385,,-0.1604,1.968
0.2975,0.0788,0.08385,,-0.1824,-3.84
0.3,0.07789,0.08333,,-0.1628,-0.832
0.3025,0.07789,0.08282,,-0.2024,0.112
0.305,0.07697,0.08233,,-0.1608,-5.68
0.3075,0.07697,0.08182,,-0.182,-6.624
0.31,0.07605,0.08182,,-0.244,-8.896
0.3125,0.07605,0.0808,,-0.2436,0.72
0.315,0.07513,0.07979,,-0.2412,10.416
0.3175,0.07513,0.07979,,-0.1744,8.32
0.32,0.07421,0.07931,,-0.1484,6.6676755
0.3225,0.07421,0.07886,,-0.186,-3.649162
0.325,0.0733,0.0784,,-0.15205406,-7.139938
0.3275,0.0733,0.07792,,-0.2181875,-5.198695
0.3325,0.07238,0.07744,,-0.23918518,-5.0621886
0.3325,0.07146,0.07599,,-0.20618182,8.340482
0.335,0.07146,0.07599,,-0.20929411,10.958778
0.3375,0.07146,0.07599,,-0.1212,0.6903102
0.34,0.07054,0.07498,,-0.1628,-4.616471
0.3425,0.07054,0.07498,,-0.2208,-9.728
0.345,0.06962,0.07446,,-0.2172,-0.656
0.3475,0.06962,0.07349,,-0.2156,5.84
