time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,-0.278,44.56257
0.0,-0.00224,-0.00139,,-0.15163636,40.999905
0.0025,-0.00224,-0.00139,,-0.103411764,28.880352
0.005,0.00022,-0.00139,,-0.0116,13.29138
0.0075,0.00022,-0.00144,,-0.02,5.376941
0.01,0.00022,-0.00151,,-0.0272,-1.264
0.0125,0.00268,-0.00158,,-0.0284,0.896
0.015,0.00268,-0.00166,,-0.0232,3.84
0.0175,0.00515,-0.00172,,-0.0108,7.264
0.02,0.00761,-0.00173,,0.012,10.928
0.0225,0.00761,-0.00168,,0.0448,14.304
0.025,0.01007,-0.00153,,0.0856,17.504
0.0275,0.01007,-0.00126,,0.1312,20.272
0.03,0.01007,-0.00087,,0.1876,22.112
0.0325,0.01253,-0.00037,,0.2472,22.288
0.035,0.015,0.00037,,0.304,19.856
0.0375,0.015,0.00121,,0.3516,16.304
0.04,0.015,0.00214,,0.3836,12.816
0.0425,0.01746,0.00314,,0.4112,10.192
0.045,0.01746,0.0042,,0.4344,1.5117838
0.0475,0.01992,0.00532,,0.4536,-1.9201081
0.05,0.01992,0.00648,,0.3812973,-5.582788
0.0525,0.02238,0.00767,,0.41375,-1.026215
0.0575,0.02238,0.00889,,0.37096298,16.036215
0.0575,0.02731,0.01014,,0.46536362,19.145882
0.06,0.02731,0.01014,,0.6107059,25.413347
0.0625,0.02731,0.01267,,0.5612,4.582674
0.065,0.02731,0.01395,,0.616,-8.648471
0.0675,0.02977,0.01525,,0.52,-6.592
0.07,0.02977,0.01655,,0.5232,-6.928
0.0725,0.03223,0.01787,,0.5252,0.72
0.075,0.03469,0.01918,,0.5268,0.464
0.0775,0.03469,0.0205,,0.5272,0.272
0.08,0.03716,0.02182,,0.528,0.128
0.0825,0.03716,0.02314,,0.528,0.128
0.085,0.03716,0.02446,,0.528,0.128
0.0875,0.03962,0.02578,,0.5288,0.144
0.09,0.03962,0.0271,,0.5292,-7.927784
0.0925,0.04208,0.02843,,0.5292,-4.128892
0.095,0.04454,0.02975,,0.4287027,0.34143683
0.0975,0.04454,0.03107,,0.5274375,3.529134
0.1025,0.047,0.03239,,0.527037,7.9373884
0.1025,0.047,0.03502,,0.5269091,-14.787284
0.105,0.047,0.03502,,0.5262353,-1.7279003
0.1075,0.04947,0.03634,,0.34713513,-4.1740932
0.11,0.04947,0.03765,,0.5905,-7.3395886
0.115,0.05193,0.03895,,0.44045284,-12.450181
0.115,0.05193,0.04276,,0.36927658,-37.07199
0.1225,0.05193,0.04276,,0.254,-21.642092
0.1225,0.05439,0.04276,,-1.6853613e-15,1.9062618
0.1225,0.05439,0.04276,,0.47364706,31.393023
0.125,0.05439,0.04276,,0.5092174,38.561752
0.13,0.05931,0.04642,,0.4608889,12.419449
0.13,0.05931,0.04642,,0.63518184,11.675052
0.1325,0.05931,0.04642,,0.6175294,9.49231
0.135,0.06178,0.04971,,0.6124,-14.459722
0.1375,0.06424,0.05079,,0.6168,-17.434353
0.14,0.0667,0.05189,,0.4548,-14.272
0.1425,0.0667,0.05304,,0.4784,-5.616
0.145,0.0667,0.05427,,0.5032,17.056
0.1475,0.06916,0.05558,,0.5224,15.312
0.15,0.07163,0.05691,,0.646,6.688
0.1525,0.07163,0.05825,,0.5984,-6.064
