time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.09,11.330482
0.0025,-0.00224,-0.00045,,-0.05818182,10.937482
0.005,-0.00224,-0.00045,,-0.045764707,7.1112423
0.0075,0.00022,-0.0005,,-0.0196,3.3672957
0.01,0.00022,-0.00056,,-0.028,0.26125756
0.0125,0.00268,-0.00064,,-0.024972973,-2.0605164
0.015,0.00268,-0.00073,,-0.0398125,-1.795746
0.02,0.00515,-0.0008,,-0.04503704,-0.21527721
0.02,0.00515,-0.0011,,-0.04218182,5.071261
0.0225,0.00515,-0.0011,,-0.021529412,11.22403
0.025,0.00761,-0.00113,,0.0132,12.187722
0.0275,0.01007,-0.00109,,0.0396,14.202353
0.03,0.01007,-0.00094,,0.0796,15.584
0.0325,0.01253,-0.0007,,0.1228,17.104
0.035,0.01253,-0.00033,,0.1664,17.216
0.0375,0.01253,0.00014,,0.21,16.8
0.04,0.015,0.00072,,0.2512,16.016
0.0425,0.015,0.0014,,0.2904,14.88
0.045,0.01746,0.00218,,0.3264,13.536
0.0475,0.01746,0.00304,,0.3584,11.936
0.05,0.01992,0.00398,,0.3864,10.272
0.0525,0.02238,0.00498,,0.4096,8.72
0.055,0.02238,0.00604,,0.4292,7.312
0.0575,0.02238,0.00713,,0.446,6.08
0.06,0.02484,0.00827,,0.4596,4.88
0.0625,0.02484,0.00944,,0.4704,3.712
0.065,0.02731,0.01063,,0.478,2.72
0.0675,0.02731,0.01183,,0.4832,1.872
0.07,0.02977,0.01305,,0.4872,2.032
0.0725,0.03223,0.01427,,0.4892,3.024
0.075,0.03223,0.0155,,0.5004,4.176
0.0775,0.03223,0.01672,,0.5144,4.608
0.08,0.03469,0.01808,,0.5268,3.008
0.0825,0.03469,0.01941,,0.5336,0.768
0.085,0.03716,0.02074,,0.5284,-1.28
0.0875,0.03716,0.02206,,0.5232,-2.672
0.09,0.03962,0.02336,,0.516,-3.136
0.0925,0.03962,0.02464,,0.5064,-3.488
0.095,0.04208,0.0259,,0.4976,-3.488
0.0975,0.04208,0.02712,,0.4888,-3.184
0.1,0.04454,0.02834,,0.4812,-2.864
0.1025,0.04454,0.02953,,0.4748,-2.416
0.105,0.047,0.03071,,0.4688,-1.936
0.1075,0.047,0.03187,,0.4648,-1.456
0.11,0.04947,0.03303,,0.462,-0.928
0.1125,0.05193,0.03418,,0.46,-0.544
0.115,0.05193,0.03533,,0.4596,-0.128
0.1175,0.05193,0.03647,,0.4592,0.208
0.12,0.05439,0.03763,,0.4608,0.4
0.1225,0.05685,0.03877,,0.462,0.608
0.125,0.05685,0.03994,,0.4632,0.72
0.1275,0.05685,0.04109,,0.4656,0.928
0.13,0.05931,0.04226,,0.468,1.024
0.1325,0.06178,0.04343,,0.4712,0.944
0.135,0.06178,0.04462,,0.4732,0.784
0.1375,0.06178,0.0458,,0.4748,0.656
0.14,0.06424,0.04699,,0.476,0.608
0.1425,0.0667,0.04818,,0.478,0.544
0.145,0.0667,0.04938,,0.4792,0.528
0.1475,0.06916,0.05058,,0.48,0.448
0.15,0.06916,0.05178,,0.4816,0.416
0.1525,0.07163,0.05298,,0.4824,0.352
0.155,0.07163,0.0542,,0.4832,0.24
0.1575,0.07409,0.0554,,0.4836,0.256
0.16,0.07409,0.05661,,0.484,0.224
0.1625,0.07655,0.05782,,0.4852,0.144
0.165,0.07655,0.05904,,0.4852,0.048
0.1675,0.07655,0.06025,,0.4848,-0.016
0.17,0.07901,0.06146,,0.4848,0.016
0.1725,0.07901,0.06267,,0.4852,0.016
0.175,0.08147,0.06389,,0.4852,-0.016
0.1775,0.08147,0.0651,,0.4848,-0.08
0.18,0.08394,0.06631,,0.4848,-0.048
0.1825,0.0864,0.06752,,0.4844,7.225131e-13
0.185,0.0864,0.06874,,0.4848,0.048
0.1875,0.0864,0.06994,,0.4848,0.144
0.19,0.08886,0.07116,,0.4852,0.08
0.1925,0.08886,0.07237,,0.486,-9.1726695e-14
0.195,0.09132,0.07359,,0.4852,-0.016
0.1975,0.09132,0.0748,,0.4848,-0.016
0.2,0.09378,0.07601,,0.4856,0.096
0.2025,0.09625,0.07722,,0.4856,0.08
0.205,0.09625,0.07845,,0.486,-0.224
0.2075,0.09625,0.07965,,0.4856,-0.96
0.21,0.09533,0.08087,,0.4828,-2.592
0.2125,0.09533,0.08208,,0.4752,-4.992
0.215,0.09441,0.08327,,0.4588,-7.904
0.2175,0.09349,0.08439,,0.4352,-10.8
0.22,0.09349,0.08545,,0.404,-13.328
0.2225,0.09349,0.08643,,0.3676,-15.056
0.225,0.09257,0.0873,,0.326,-15.744
0.2275,0.09257,0.08806,,0.286,-15.728
0.23,0.09166,0.08871,,0.248,-15.52
0.2325,0.09166,0.0893,,0.21,-16.048
0.235,0.09074,0.08978,,0.17,-16.768
0.2375,0.09074,0.09015,,0.1244,-17.056
0.24,0.08982,0.09041,,0.0812,-16.64
0.2425,0.08982,0.09054,,0.0412,-15.424
0.245,0.0889,0.0906,,0.0036,-14.256
0.2475,0.0889,0.09057,,-0.0296,-12.976
0.25,0.08798,0.09044,,-0.0616,-11.536
0.2525,0.08798,0.09025,,-0.0884,-10.112
0.255,0.08707,0.08999,,-0.1112,-8.592
0.2575,0.08707,0.08969,,-0.1312,-7.152
0.26,0.08615,0.08933,,-0.1476,-5.68
0.2625,0.08615,0.08894,,-0.1596,-4.304
0.265,0.08523,0.08852,,-0.168,-3.168
0.2675,0.08523,0.0881,,-0.1748,-2.288
0.27,0.08431,0.08765,,-0.1796,-1.552
0.2725,0.08431,0.08719,,-0.1824,-0.896
0.275,0.08339,0.08673,,-0.1836,-0.448
0.2775,0.08339,0.08628,,-0.184,-0.16
0.28,0.08248,0.08581,,-0.1844,0.128
0.2825,0.08248,0.08535,,-0.184,0.352
0.285,0.08156,0.08489,,-0.182,0.48
0.2875,0.08156,0.08444,,-0.1808,0.528
0.29,0.08064,0.08399,,-0.18,0.448
0.2925,0.08064,0.08354,,-0.1784,0.352
0.295,0.07972,0.08309,,-0.1776,0.224
0.2975,0.07972,0.08266,,-0.1776,0.096
0.3,0.0788,0.08221,,-0.1776,0.112
0.3025,0.0788,0.08176,,-0.1772,0.176
0.305,0.07789,0.08132,,-0.1764,0.08
0.3075,0.07697,0.08089,,-0.176,-0.032
0.31,0.07697,0.08044,,-0.1772,-0.144
0.3125,0.07605,0.08,,-0.1772,-0.176
0.315,0.07605,0.07955,,-0.1776,-0.128
0.3175,0.07513,0.07912,,-0.178,-0.224
0.32,0.07513,0.07866,,-0.1784,-0.192
0.3225,0.07513,0.07822,,-0.1796,-0.192
0.325,0.07421,0.07777,,-0.1792,-0.208
0.3275,0.0733,0.07732,,-0.18,-0.128
0.33,0.0733,0.07687,,-0.1808,-0.144
0.3325,0.07238,0.07642,,-0.1804,-0.128
0.335,0.07238,0.07596,,-0.1808,-0.112
0.3375,0.07146,0.07552,,-0.1816,-0.16
0.34,0.07146,0.07506,,-0.1816,-0.016
0.3425,0.07146,0.0746,,-0.182,0.16
0.345,0.07054,0.07415,,-0.1808,0.272
0.3475,0.06962,0.0737,,-0.18,0.384
0.35,0.06962,0.07325,,-0.1792,0.336
0.3525,0.0687,0.0728,,-0.178,0.224
0.355,0.0687,0.07236,,-0.1776,-9.285251e-14
0.3575,0.06779,0.07192,,-0.178,-0.224
0.36,0.06779,0.07147,,-0.1792,-0.336
0.3625,0.06687,0.07102,,-0.18,-0.32
0.365,0.06687,0.07057,,-0.1808,-0.272
0.3675,0.06687,0.07012,,-0.1812,-0.208
0.37,0.06595,0.06966,,-0.182,-0.192
0.3725,0.06595,0.06921,,-0.182,-0.256
0.375,0.06503,0.06875,,-0.1828,-0.272
0.3775,0.06411,0.0683,,-0.184,-0.224
0.38,0.06411,0.06783,,-0.1844,-0.064
0.3825,0.0632,0.06737,,-0.184,0.032
0.385,0.0632,0.06691,,-0.1836,1.3618489e-13
0.3875,0.0632,0.06646,,-0.184,-0.032
0.39,0.06228,0.06599,,-0.1844,0.064
0.3925,0.06228,0.06553,,-0.184,0.16
0.395,0.06136,0.06507,,-0.1828,0.144
0.3975,0.06136,0.06462,,-0.1828,0.048
0.4,0.06044,0.06416,,-0.1832,-0.016
0.4025,0.05952,0.0637,,-0.1832,0.08
0.405,0.05952,0.06324,,-0.1828,0.144
0.4075,0.05952,0.06279,,-0.182,0.192
0.41,0.05903,0.06233,,-0.182,0.32
0.4125,0.05903,0.06188,,-0.1812,0.592
0.415,0.05854,0.06142,,-0.1792,1.072
0.4175,0.05854,0.06098,,-0.176,1.472
0.42,0.05804,0.06054,,-0.1712,1.744
0.4225,0.05804,0.06012,,-0.1668,2.256
0.425,0.05755,0.05971,,-0.162,3.264
0.4275,0.05755,0.05931,,-0.1524,4.592
0.43,0.05706,0.05892,,-0.1376,5.584
0.4325,0.05706,0.05861,,-0.1216,5.264
0.435,0.05656,0.05834,,-0.1076,3.84
0.4375,0.05656,0.05808,,-0.1016,2.112
0.44,0.05607,0.05784,,-0.0996,0.64
0.4425,0.05607,0.05759,,-0.0992,-0.144
0.445,0.05557,0.05734,,-0.1008,-0.656
0.4475,0.05557,0.05709,,-0.1028,-1.008
0.45,0.05508,0.05683,,-0.106,-1.088
0.4525,0.05508,0.05656,,-0.1092,-1.008
0.455,0.05459,0.05628,,-0.1112,-0.784
0.4575,0.05459,0.056,,-0.1128,-0.592
0.46,0.05409,0.05572,,-0.114,-0.48
0.4625,0.0536,0.05543,,-0.1152,-0.336
0.465,0.0536,0.05514,,-0.116,-0.192
0.4675,0.0531,0.05485,,-0.116,1.7856363e-15
0.47,0.0531,0.05456,,-0.116,0.256
0.4725,0.0531,0.05427,,-0.1152,0.528
0.475,0.05261,0.05398,,-0.1132,0.752
0.4775,0.05212,0.0537,,-0.1108,0.816
0.48,0.05212,0.05343,,-0.1088,0.784
0.4825,0.05212,0.05316,,-0.1072,0.72
0.485,0.05162,0.05289,,-0.1052,0.624
0.4875,0.05162,0.05263,,-0.1036,0.48
0.49,0.05113,0.05238,,-0.1028,0.304
0.4925,0.05113,0.05212,,-0.1024,0.256
0.495,0.05064,0.05186,,-0.102,0.288
0.4975,0.05064,0.05161,,-0.1008,0.272
0.5,0.05014,0.05136,,-0.1,0.192
0.5025,0.05014,0.05111,,-0.1,0.064
0.505,0.04965,0.05086,,-0.1,-3.3594553e-14
0.5075,0.04965,0.05061,,-0.1,0.064
0.51,0.04915,0.05036,,-0.1,0.192
0.5125,0.04915,0.05011,,-0.0992,0.272
0.515,0.04866,0.04986,,-0.098,0.224
0.5175,0.04817,0.04962,,-0.0976,7.5985123e-14
0.52,0.04817,0.04938,,-0.098,-0.16
0.5225,0.04767,0.04913,,-0.0992,-0.144
0.525,0.04767,0.04888,,-0.0992,0.016
0.5275,0.04718,0.04863,,-0.0988,0.144
0.53,0.04718,0.04839,,-0.098,0.128
0.5325,0.04718,0.04814,,-0.098,0.128
0.535,0.04669,0.0479,,-0.098,0.064
0.5375,0.04669,0.04765,,-0.0972,0.08
0.54,0.04619,0.04741,,-0.0976,2.2037248e-13
0.5425,0.04619,0.04717,,-0.0972,-0.08
0.545,0.0457,0.04692,,-0.098,-0.064
0.5475,0.0452,0.04668,,-0.098,-0.064
0.55,0.0452,0.04643,,-0.098,0.064
0.5525,0.0452,0.04619,,-0.098,0.064
0.555,0.04471,0.04594,,-0.0972,0.08
