time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000246,-0.00076,-0.045,00000.00,nan,nan
  0.001430,0.02532,-0.045,00080.70,nan,nan
  0.004000,0.02532,-0.045,00556.83,nan,nan
  0.006497,0.02532,-0.044,00449.23,nan,nan
  0.012294,0.02532,-0.036,00158.71,nan,nan
  0.013439,0.02532,-0.035,00126.43,nan,nan
  0.014437,0.02532,-0.033,00096.84,nan,nan
  0.016496,0.02532,-0.028,00040.35,nan,nan
  0.018991,0.02532,-0.024,00000.00,nan,nan
  0.021502,0.02532,-0.018,-0021.52,nan,nan
  0.023994,0.02532,-0.011,-0078.01,nan,nan
  0.026496,0.02532,-0.005,-0104.91,nan,nan
  0.029187,0.02532,00.001,-0102.22,nan,nan
  0.031496,0.02532,00.002,-0110.29,nan,nan
  0.034168,0.02532,00.008,-0115.67,nan,nan
  0.036700,0.02532,00.010,-0110.29,nan,nan
  0.039146,0.02532,00.013,-0094.15,nan,nan
  0.041722,0.02532,00.015,-0080.70,nan,nan
  0.044005,0.02532,00.016,-0069.94,nan,nan
  0.046496,0.02532,00.018,-0067.25,nan,nan
  0.049009,0.02532,00.019,-0061.87,nan,nan
  0.051493,0.02532,00.019,-0048.42,nan,nan
  0.053996,0.02532,00.021,-0032.28,nan,nan
  0.056500,0.02532,00.021,-0016.14,nan,nan
  0.062232,0.02532,00.018,00002.69,nan,nan
  0.063428,0.02379,00.018,00010.76,nan,nan
  0.064412,0.02379,00.018,00008.07,nan,nan
  0.066493,0.02379,00.018,00000.00,nan,nan
  0.068994,0.02379,00.019,00000.00,nan,nan
  0.071496,0.02379,00.019,00005.38,nan,nan
  0.073999,0.02379,00.019,00010.76,nan,nan
  0.076495,0.02379,00.021,00000.00,nan,nan
  0.078991,0.02379,00.024,-0029.59,nan,nan
  0.082197,0.02379,00.025,-0024.21,nan,nan
  0.083993,0.02379,00.025,-0016.14,nan,nan
  0.088091,0.02379,00.025,-0002.69,nan,nan
  0.089465,0.02225,00.027,00000.00,nan,nan
