time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0175,0.0,0.0,,0.412,15.679145
0.0175,0.02499,0.00206,,0.84654546,-10.878756
0.02,0.02499,0.00206,,0.66847056,28.788902
0.0225,0.02498,0.00548,,0.5616,23.56954
0.025,0.02498,0.00548,,0.9356,53.45035
0.0275,0.02497,0.00737,,1.0076,34.928
0.03,0.02497,0.01281,,1.1136,-41.76
0.0325,0.02497,0.01441,,0.9092,-76.944
0.035,0.02494,0.01588,,0.4628,-78.32
0.0375,0.02494,0.0172,,0.3712,-40.0
0.04,0.0249,0.0172,,0.4036,-0.496
0.0425,0.0249,0.01839,,0.4388,-0.992
0.045,0.02485,0.02033,,0.4228,-15.84
0.0475,0.02485,0.02112,,0.3492,-25.488
0.05,0.02478,0.02112,,0.2504,-24.496
0.0525,0.02478,0.02236,,0.2064,-19.84
0.055,0.02468,0.02284,,0.188,-13.584
0.0575,0.02468,0.02284,,0.1324,-9.888
0.06,0.02456,0.02323,,0.1176,-7.68
0.0625,0.02456,0.02382,,0.118,-5.344
0.065,0.0244,0.02382,,0.0992,-5.44
0.0675,0.0244,0.02402,,0.0748,-6.368
0.07,0.02421,0.02437,,0.0712,-6.528
0.0725,0.02421,0.02448,,0.0524,-5.952
0.075,0.02397,0.02448,,0.0288,-5.904
0.0775,0.02397,0.02462,,0.0216,-5.408
0.08,0.02369,0.02466,,0.0128,-4.512
0.0825,0.02369,0.02466,,-0.0072,-4.272
0.085,0.02334,0.02462,,-0.0132,-4.272
0.0875,0.02334,0.02455,,-0.0188,-4.32
0.09,0.02294,0.02455,,-0.0348,-4.432
0.0925,0.02294,0.02446,,-0.0504,-3.152
0.095,0.02247,0.02423,,-0.0528,0.336
0.0975,0.02193,0.02408,,-0.0492,-0.096
0.1,0.02193,0.02408,,-0.0312,-2.512
0.1025,0.02193,0.02392,,-0.0624,-4.384
0.105,0.0213,0.02392,,-0.0776,-6.56
0.1075,0.0213,0.02338,,-0.0808,-2.4
0.11,0.02059,0.02338,,-0.104,-1.088
0.1125,0.02059,0.02318,,-0.0792,-0.224
0.115,0.01979,0.02272,,-0.092,-1.024
0.1175,0.01979,0.02272,,-0.0896,-4.33773
0.12,0.01889,0.02246,,-0.1116,-6.795865
0.1225,0.01889,0.02219,,-0.12362162,-5.9341474
0.125,0.01789,0.02159,,-0.1599375,-3.748898
0.13,0.01789,0.02126,,-0.15977778,0.8318389
0.13,0.01679,0.02054,,-0.14345455,5.4060225
0.1325,0.01679,0.02054,,-0.110470586,-0.5333585
0.135,0.01557,0.02015,,-0.114,-6.408813
0.1375,0.01557,0.02015,,-0.1688,-8.778353
0.14,0.01425,0.01931,,-0.1944,-6.048
0.1425,0.01425,0.01885,,-0.18,-3.424
0.145,0.01281,0.01837,,-0.184,-5.6
0.1475,0.01281,0.01837,,-0.2168,-6.0
0.15,0.01125,0.01725,,-0.246,-2.368
0.1525,0.00959,0.0167,,-0.224,-0.8
0.155,0.00959,0.01613,,-0.21,0.8
0.1575,0.00959,0.01613,,-0.2448,-5.68
0.16,0.00782,0.01491,,-0.2256,-6.976
0.1625,0.00782,0.01425,,-0.2872,-2.592
0.165,0.00595,0.01425,,-0.276,-6.208
0.1675,0.00595,0.01287,,-0.252,-3.552
0.17,0.00398,0.01215,,-0.3208,-2.96
0.1725,0.00398,0.01215,,-0.3092,-7.12
0.175,0.00193,0.0106,,-0.2844,-3.568
0.1775,0.00193,0.00978,,-0.3592,-8.224
0.18,-0.00019,0.00978,,-0.3404,-12.352
0.1825,-0.00019,0.00807,,-0.384,-4.24
0.185,-0.00237,0.0072,,-0.4264,-2.416
0.1875,-0.00237,0.00627,,-0.3692,1.776
0.19,-0.00458,0.00535,,-0.378,1.92
0.1925,-0.00682,0.00438,,-0.386,-3.136
0.195,-0.00682,0.00342,,-0.394,3.712
0.1975,-0.00906,0.00241,,-0.4004,3.936
0.2,-0.00906,0.00141,,-0.3244,-0.8
0.2025,-0.00906,0.00038,,-0.3716,-1.968
0.205,-0.01126,0.00038,,-0.4184,-11.52
0.2075,-0.01342,-0.00172,,-0.378,-6.128
0.21,-0.01342,-0.00277,,-0.4652,-5.488
0.2125,-0.01342,-0.00277,,-0.4248,-3.168
0.215,-0.01548,-0.00491,,-0.4636,7.744
