time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.012,14.575401
0.0025,0.025,-6e-05,,-0.013818182,15.453962
0.005,0.025,-6e-05,,0.023529412,20.900938
0.0075,0.025,-1e-04,,0.0648,29.332277
0.01,0.025,0.00022,,0.154,41.845646
0.0125,0.025,0.00061,,0.2876,53.84
0.015,0.025,0.00151,,0.4352,44.256
0.0175,0.025,0.00285,,0.5972,39.728
0.02,0.025,0.00454,,0.5524,37.808
0.0225,0.025,0.00656,,0.7256,36.736
0.025,0.025,0.00656,,0.8436,38.928
0.0275,0.02498,0.01091,,0.9108,2.608
0.03,0.02498,0.01291,,0.9464,-24.448
0.0325,0.02497,0.01477,,0.7068,-39.456
0.035,0.02497,0.01646,,0.64,-40.928
0.0375,0.02497,0.01797,,0.5708,-26.96
0.04,0.02494,0.01931,,0.5028,-27.184
0.0425,0.0249,0.02048,,0.4384,-27.376
0.045,0.0249,0.02149,,0.3664,-27.136
0.0475,0.02485,0.02236,,0.2968,-25.568
0.05,0.02485,0.02295,,0.2344,-21.728
0.0525,0.02478,0.02346,,0.1848,-17.584
0.055,0.02478,0.02387,,0.1508,-14.096
0.0575,0.02478,0.02421,,0.1188,-11.76
0.06,0.02468,0.02446,,0.0912,-10.208
0.0625,0.02456,0.02465,,0.0676,-8.576
0.065,0.02456,0.02479,,0.0488,-7.184
0.0675,0.0244,0.02489,,0.0328,-6.0
0.07,0.0244,0.02495,,0.0188,-5.072
0.0725,0.02421,0.02498,,0.0076,-4.32
0.075,0.02421,0.02498,,-0.002,-3.776
0.0775,0.02397,0.02497,,-0.0108,-3.408
0.08,0.02397,0.02493,,-0.0192,-3.088
0.0825,0.02397,0.02487,,-0.0264,-2.72
0.085,0.02369,0.02479,,-0.0328,-2.384
0.0875,0.02369,0.02471,,-0.038,-2.208
0.09,0.02334,0.0246,,-0.0432,-2.128
0.0925,0.02334,0.02449,,-0.0488,-2.128
0.095,0.02294,0.02436,,-0.054,-2.08
0.0975,0.02294,0.02422,,-0.0592,-2.0
0.1,0.02247,0.02406,,-0.064,-1.152
0.1025,0.02247,0.0239,,-0.0688,0.432
0.105,0.02193,0.02372,,-0.0636,2.224
0.1075,0.02193,0.02353,,-0.054,3.2
0.11,0.0213,0.02345,,-0.0436,2.048
0.1125,0.0213,0.02336,,-0.0388,-0.08
0.115,0.02059,0.02326,,-0.0456,-2.24
0.1175,0.01979,0.02314,,-0.054,-3.616
0.12,0.01979,0.02299,,-0.064,-4.064
0.1225,0.01979,0.02282,,-0.0748,-4.4
0.125,0.01889,0.02262,,-0.086,-4.608
