time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,-0.322,52.374332
0.0,0.025,-0.00161,,-0.17563637,53.05552
0.0025,0.025,-0.00161,,-0.117882356,45.140007
0.005,0.025,-0.00161,,0.0168,35.198204
0.0075,0.025,-0.00165,,0.074,38.438587
0.01,0.025,-0.00138,,0.1684,38.88
0.0125,0.025,-0.0008,,0.2868,42.688
0.015,0.025,7e-05,,0.3964,40.72
0.0175,0.025,0.00121,,0.4936,34.912
0.02,0.02499,0.00257,,0.574,27.84
0.0225,0.02499,0.00412,,0.6344,19.936
0.025,0.02498,0.00579,,0.674,11.84
0.0275,0.02498,0.00753,,0.6928,4.048
0.03,0.02497,0.00929,,0.6928,-3.024
0.0325,0.02497,0.01103,,0.6756,-9.056
0.035,0.02494,0.0127,,0.6448,-13.92
0.0375,0.02494,0.01427,,0.6036,-17.552
0.04,0.02494,0.01573,,0.5548,-19.328
0.0425,0.0249,0.01706,,0.5012,-19.472
0.045,0.02485,0.01824,,0.4544,-18.64
0.0475,0.02485,0.01928,,0.4104,-17.888
0.05,0.02485,0.0203,,0.3672,-18.48
0.0525,0.02478,0.02116,,0.3212,-19.296
0.055,0.02478,0.02189,,0.268,-19.68
0.0575,0.02468,0.0225,,0.2188,-19.152
0.06,0.02456,0.02298,,0.1724,-17.68
0.0625,0.02456,0.02335,,0.1296,-16.064
0.065,0.0244,0.02362,,0.0916,-14.208
0.0675,0.0244,0.0238,,0.0584,-12.272
0.07,0.0244,0.0239,,0.0304,-10.32
0.0725,0.02421,0.02394,,0.0068,-8.464
0.075,0.02421,0.02393,,-0.0116,-6.672
0.0775,0.02397,0.02387,,-0.0264,-5.056
0.08,0.02369,0.02379,,-0.0364,-3.712
0.0825,0.02369,0.02368,,-0.044,-2.592
0.085,0.02334,0.02357,,-0.0492,-1.808
0.0875,0.02334,0.02343,,-0.0524,-1.12
0.09,0.02334,0.0233,,-0.0548,-0.656
0.0925,0.02294,0.02316,,-0.0552,-0.336
0.095,0.02247,0.02302,,-0.056,-0.128
0.0975,0.02247,0.02288,,-0.056,-0.128
0.1,0.02193,0.02274,,-0.056,-0.192
0.1025,0.02193,0.0226,,-0.0568,-1.424
0.105,0.02193,0.02246,,-0.058,-1.632
0.1075,0.0213,0.02231,,-0.0728,-1.056
0.11,0.0213,0.02216,,-0.0684,-0.032
0.1125,0.02059,0.02184,,-0.0648,1.232
0.115,0.02059,0.02184,,-0.0624,-0.592
0.1175,0.01979,0.02166,,-0.0604,-2.128
0.12,0.01979,0.02147,,-0.078,-3.136
0.1225,0.01889,0.02127,,-0.0836,-3.424
0.125,0.01889,0.02106,,-0.09,-2.624
0.1275,0.01789,0.02082,,-0.0972,-2.736
0.13,0.01789,0.02057,,-0.104,-2.848
0.1325,0.01679,0.0203,,-0.1108,-3.056
0.135,0.01679,0.02002,,-0.1188,-3.344
0.1375,0.01557,0.01971,,-0.128,-3.552
0.14,0.01425,0.01938,,-0.1372,-3.6
0.1425,0.01425,0.01902,,-0.146,-3.584
0.145,0.01425,0.01865,,-0.1548,-3.664
0.1475,0.01281,0.01825,,-0.164,-3.808
0.15,0.01125,0.01783,,-0.174,-4.0
0.1525,0.01125,0.01738,,-0.184,-4.128
0.155,0.00959,0.01691,,-0.1948,-4.144
0.1575,0.00959,0.01641,,-0.2052,-4.144
