time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000054,-1.63676,-0.022,00000.00,nan,nan
  0.001204,-1.61682,-0.024,00102.22,nan,nan
  0.003770,-1.61682,-0.024,00328.18,nan,nan
  0.006255,-1.61835,-0.024,00255.55,nan,nan
  0.008758,-1.61835,-0.021,00150.64,nan,nan
  0.011261,-1.61835,-0.019,00088.77,nan,nan
  0.013735,-1.61835,-0.016,00051.11,nan,nan
  0.016254,-1.61988,-0.013,00021.52,nan,nan
  0.018754,-1.61988,-0.010,-0010.76,nan,nan
  0.021256,-1.61988,-0.007,-0024.21,nan,nan
  0.023754,-1.61988,-0.002,-0040.35,nan,nan
  0.026262,-1.62142,00.001,-0056.49,nan,nan
  0.028743,-1.62142,00.004,-0078.01,nan,nan
  0.031255,-1.62142,00.005,-0075.32,nan,nan
  0.033757,-1.62142,00.007,-0069.94,nan,nan
  0.036256,-1.62295,00.008,-0056.49,nan,nan
  0.038755,-1.62295,00.010,-0067.25,nan,nan
  0.041254,-1.62295,00.012,-0053.80,nan,nan
  0.043730,-1.62295,00.012,-0056.49,nan,nan
  0.046282,-1.62449,00.012,-0053.80,nan,nan
  0.048754,-1.62449,00.012,-0034.97,nan,nan
  0.051254,-1.62449,00.013,-0024.21,nan,nan
  0.053792,-1.62449,00.012,-0010.76,nan,nan
  0.056256,-1.62602,00.012,00000.00,nan,nan
  0.058735,-1.62602,00.012,00000.00,nan,nan
  0.061255,-1.62602,00.010,00000.00,nan,nan
  0.063757,-1.62602,00.008,00000.00,nan,nan
  0.066257,-1.62602,00.007,00013.45,nan,nan
  0.068758,-1.62602,00.007,00016.14,nan,nan
  0.071260,-1.62755,00.007,00029.59,nan,nan
  0.073764,-1.62755,00.007,00002.69,nan,nan
  0.076258,-1.62755,00.007,00000.00,nan,nan
  0.078764,-1.62755,00.008,00000.00,nan,nan
  0.081265,-1.62909,00.010,00000.00,nan,nan
  0.083813,-1.62909,00.010,-0008.07,nan,nan
  0.086270,-1.62909,00.012,-0032.28,nan,nan
  0.088940,-1.62909,00.012,-0032.28,nan,nan
  0.091251,-1.63062,00.012,-0021.52,nan,nan
  0.093791,-1.63062,00.010,-0010.76,nan,nan
  0.096293,-1.63062,00.010,-0008.07,nan,nan
  0.098898,-1.63062,00.010,-0005.38,nan,nan
  0.101279,-1.63216,00.008,00026.90,nan,nan
  0.103900,-1.63216,00.007,00021.52,nan,nan
  0.106279,-1.63216,00.007,00037.66,nan,nan
  0.108890,-1.63216,00.007,00037.66,nan,nan
  0.111286,-1.63369,00.005,00034.97,nan,nan
  0.113817,-1.63369,00.005,00018.83,nan,nan
  0.116291,-1.63369,00.005,00024.21,nan,nan
  0.118819,-1.63369,00.005,00024.21,nan,nan
  0.121270,-1.63522,00.004,00029.59,nan,nan
  0.123786,-1.63522,00.004,00010.76,nan,nan
  0.126295,-1.63522,00.004,00013.45,nan,nan
  0.129544,-1.63522,00.004,00024.21,nan,nan
  0.131746,-1.63676,00.004,00026.90,nan,nan
  0.133789,-1.63676,00.004,-0002.69,nan,nan
  0.137139,-1.63676,00.004,00013.45,nan,nan
  0.138776,-1.63676,00.002,00005.38,nan,nan
  0.141285,-1.63829,00.002,00032.28,nan,nan
  0.143775,-1.63829,00.002,-0002.69,nan,nan
  0.146561,-1.63829,00.002,-0013.45,nan,nan
  0.148802,-1.63829,00.001,-0002.69,nan,nan
  0.151270,-1.63983,00.002,00032.28,nan,nan
  0.159102,-1.63983,-0.001,00016.14,nan,nan
  0.160232,-1.64136,-0.001,00026.90,nan,nan
  0.162798,-1.64136,-0.002,00002.69,nan,nan
  0.165288,-1.64136,-0.002,00032.28,nan,nan
  0.167785,-1.64136,-0.002,00034.97,nan,nan
  0.170292,-1.64136,-0.004,00034.97,nan,nan
  0.172786,-1.64289,-0.004,00026.90,nan,nan
  0.175287,-1.64289,-0.005,00016.14,nan,nan
  0.177785,-1.64289,-0.005,00016.14,nan,nan
  0.180295,-1.64289,-0.005,00013.45,nan,nan
  0.182786,-1.64443,-0.005,00010.76,nan,nan
  0.185287,-1.64443,-0.005,00005.38,nan,nan
  0.187788,-1.64443,-0.005,00010.76,nan,nan
  0.190286,-1.64443,-0.005,00013.45,nan,nan
  0.192785,-1.64443,-0.005,00016.14,nan,nan
  0.195293,-1.64443,-0.005,00021.52,nan,nan
  0.197827,-1.64596,-0.005,00021.52,nan,nan
  0.200571,-1.64596,-0.007,-0002.69,nan,nan
  0.202798,-1.64596,-0.007,00013.45,nan,nan
  0.205289,-1.64750,-0.007,00024.21,nan,nan
  0.207790,-1.64750,-0.008,-0005.38,nan,nan
  0.210289,-1.64903,-0.008,00021.52,nan,nan
  0.212790,-1.64903,-0.008,00000.00,nan,nan
  0.215286,-1.65056,-0.008,-0008.07,nan,nan
  0.217786,-1.65056,-0.008,00000.00,nan,nan
  0.220291,-1.65056,-0.010,00000.00,nan,nan
  0.222790,-1.65056,-0.010,-0002.69,nan,nan
  0.225287,-1.65210,-0.011,-0005.38,nan,nan
  0.227790,-1.65210,-0.011,00000.00,nan,nan
