time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000052,-1.63676,-0.131,00000.00,nan,nan
  0.000690,-1.65977,-0.130,00000.00,nan,nan
  0.003276,-1.65977,-0.131,00860.80,nan,nan
  0.005742,-1.61528,-0.127,00664.43,nan,nan
  0.008266,-1.61528,-0.123,00758.58,nan,nan
  0.010787,-1.64596,-0.116,00559.52,nan,nan
  0.013306,-1.64596,-0.105,00069.94,nan,nan
  0.015749,-1.61068,-0.097,-0026.90,nan,nan
  0.018274,-1.61068,-0.087,00169.47,nan,nan
  0.020741,-1.62449,-0.076,00099.53,nan,nan
  0.023246,-1.62449,-0.065,-0134.50,nan,nan
  0.025781,-1.63829,-0.056,-0201.75,nan,nan
  0.028253,-1.63829,-0.048,-0317.42,nan,nan
  0.030744,-1.64136,-0.041,-0306.66,nan,nan
  0.033314,-1.64136,-0.035,-0303.97,nan,nan
  0.035742,-1.65517,-0.028,-0255.55,nan,nan
  0.038274,-1.65517,-0.024,-0322.80,nan,nan
  0.040743,-1.61375,-0.021,-0295.90,nan,nan
  0.043260,-1.61375,-0.019,00059.18,nan,nan
  0.045745,-1.62295,-0.016,00091.46,nan,nan
  0.048242,-1.62295,-0.013,-0026.90,nan,nan
  0.050743,-1.62295,-0.013,-0045.73,nan,nan
  0.053244,-1.63369,-0.011,-0040.35,nan,nan
  0.055743,-1.65517,-0.010,-0094.15,nan,nan
  0.058242,-1.65517,-0.008,-0255.55,nan,nan
  0.060742,-1.65517,-0.008,-0209.82,nan,nan
  0.063246,-1.63369,-0.008,-0126.43,nan,nan
  0.065744,-1.63676,-0.008,00102.22,nan,nan
  0.068244,-1.63676,-0.008,00094.15,nan,nan
  0.070744,-1.63369,-0.008,00059.18,nan,nan
  0.073246,-1.63369,-0.008,00061.87,nan,nan
  0.075746,-1.63829,-0.007,00037.66,nan,nan
  0.078249,-1.63829,-0.005,-0010.76,nan,nan
  0.080759,-1.63829,-0.004,-0048.42,nan,nan
  0.083252,-1.62909,-0.001,-0051.11,nan,nan
  0.085762,-1.62909,00.001,00021.52,nan,nan
  0.088255,-1.64136,00.001,00018.83,nan,nan
  0.090769,-1.64136,00.002,-0115.67,nan,nan
  0.093255,-1.62755,00.002,-0110.29,nan,nan
  0.095770,-1.62755,-0.001,00056.49,nan,nan
  0.098257,-1.64136,-0.002,00094.15,nan,nan
  0.100762,-1.63062,-0.004,-0008.07,nan,nan
  0.103257,-1.63062,-0.004,00067.25,nan,nan
  0.105756,-1.64903,-0.004,00075.32,nan,nan
  0.108295,-1.64903,-0.004,-0075.32,nan,nan
  0.110756,-1.65210,-0.002,-0083.39,nan,nan
  0.113263,-1.65210,-0.001,-0091.46,nan,nan
  0.115757,-1.63062,00.001,-0088.77,nan,nan
  0.118282,-1.63062,00.001,00099.53,nan,nan
  0.120756,-1.65363,00.001,00107.60,nan,nan
  0.123309,-1.65363,00.001,-0126.43,nan,nan
  0.125757,-1.61682,-0.001,-0137.19,nan,nan
  0.128285,-1.61682,-0.002,00199.06,nan,nan
  0.130756,-1.63522,-0.004,00228.65,nan,nan
  0.133301,-1.63522,-0.004,00032.28,nan,nan
  0.135772,-1.64136,-0.004,-0002.69,nan,nan
  0.138412,-1.64136,-0.005,-0048.42,nan,nan
  0.140787,-1.61221,-0.005,-0034.97,nan,nan
  0.143291,-1.61221,-0.005,00207.13,nan,nan
  0.145762,-1.61682,-0.004,00193.68,nan,nan
  0.148282,-1.61682,-0.002,00094.15,nan,nan
  0.150756,-1.64289,-0.001,00043.04,nan,nan
  0.153299,-1.64289,00.001,-0190.99,nan,nan
  0.155753,-1.61221,00.004,-0177.54,nan,nan
  0.158304,-1.61221,00.005,00112.98,nan,nan
  0.160757,-1.62602,00.007,00121.05,nan,nan
  0.163295,-1.62602,00.008,-0029.59,nan,nan
  0.165757,-1.62755,00.010,-0078.01,nan,nan
  0.168284,-1.62755,00.010,-0061.87,nan,nan
  0.170756,-1.65823,00.010,-0037.66,nan,nan
  0.173300,-1.65823,00.010,-0263.62,nan,nan
  0.175774,-1.65670,00.010,-0247.48,nan,nan
  0.178262,-1.65670,00.008,-0145.26,nan,nan
  0.180763,-1.66130,00.007,-0083.39,nan,nan
  0.183271,-1.66130,00.004,-0069.94,nan,nan
  0.185777,-1.65670,00.002,-0045.73,nan,nan
  0.188281,-1.65670,-0.001,00008.07,nan,nan
  0.190769,-1.63522,-0.004,00032.28,nan,nan
  0.193323,-1.63522,-0.005,00234.03,nan,nan
  0.195778,-1.65363,-0.008,00228.65,nan,nan
  0.198327,-1.65363,-0.010,00000.00,nan,nan
  0.200762,-1.61528,-0.011,00000.00,nan,nan
  0.203278,-1.61528,-0.013,00312.04,nan,nan
  0.205767,-1.63522,-0.013,00285.14,nan,nan
  0.208268,-1.63522,-0.011,00051.11,nan,nan
  0.210773,-1.64136,-0.010,00005.38,nan,nan
  0.213263,-1.64136,-0.008,-0037.66,nan,nan
  0.215763,-1.63216,-0.007,-0045.73,nan,nan
  0.218259,-1.63216,-0.005,00013.45,nan,nan
