time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000054,-1.63676,00.012,00000.00,nan,nan
  0.000890,-1.59841,00.012,00000.00,nan,nan
  0.003495,-1.59841,00.012,00212.51,nan,nan
  0.005941,-1.59841,00.013,00196.37,nan,nan
  0.008477,-1.59841,00.013,00126.43,nan,nan
  0.010945,-1.59841,00.015,00080.70,nan,nan
  0.013487,-1.59841,00.018,00037.66,nan,nan
  0.015943,-1.59841,00.018,00029.59,nan,nan
  0.018446,-1.59841,00.021,00002.69,nan,nan
  0.020945,-1.59841,00.022,-0005.38,nan,nan
  0.023448,-1.59841,00.025,-0013.45,nan,nan
  0.025979,-1.59841,00.027,-0018.83,nan,nan
  0.028449,-1.59841,00.027,-0021.52,nan,nan
  0.030950,-1.59841,00.028,-0021.52,nan,nan
  0.033441,-1.59841,00.030,-0018.83,nan,nan
  0.035944,-1.59841,00.031,-0010.76,nan,nan
  0.038447,-1.59841,00.031,-0016.14,nan,nan
  0.040940,-1.59841,00.033,-0013.45,nan,nan
  0.043439,-1.59841,00.035,-0008.07,nan,nan
  0.045940,-1.59841,00.035,-0018.83,nan,nan
  0.048439,-1.59841,00.035,-0010.76,nan,nan
  0.050940,-1.59841,00.035,00000.00,nan,nan
  0.053440,-1.59841,00.035,00000.00,nan,nan
  0.055942,-1.59841,00.035,00000.00,nan,nan
  0.058440,-1.59841,00.036,-0008.07,nan,nan
  0.060940,-1.59841,00.036,-0005.38,nan,nan
  0.063439,-1.59841,00.036,00000.00,nan,nan
  0.065940,-1.59841,00.036,00000.00,nan,nan
  0.068441,-1.59841,00.036,00000.00,nan,nan
  0.070940,-1.59841,00.036,00000.00,nan,nan
  0.073443,-1.59841,00.036,00000.00,nan,nan
  0.075940,-1.59841,00.036,00000.00,nan,nan
  0.078439,-1.59841,00.038,00000.00,nan,nan
  0.080940,-1.59841,00.038,00000.00,nan,nan
  0.083440,-1.59841,00.036,00000.00,nan,nan
  0.085940,-1.59841,00.036,00000.00,nan,nan
  0.088431,-1.59841,00.036,00000.00,nan,nan
  0.090941,-1.59841,00.036,00000.00,nan,nan
  0.093468,-1.59841,00.036,00000.00,nan,nan
  0.095942,-1.59841,00.036,00000.00,nan,nan
  0.098468,-1.59841,00.036,00000.00,nan,nan
  0.100943,-1.59841,00.036,00000.00,nan,nan
  0.103481,-1.59841,00.036,00000.00,nan,nan
  0.105946,-1.59841,00.036,00000.00,nan,nan
  0.108482,-1.59841,00.036,00000.00,nan,nan
  0.110947,-1.59841,00.036,00000.00,nan,nan
  0.113453,-1.59841,00.038,00000.00,nan,nan
  0.115951,-1.59841,00.036,00000.00,nan,nan
  0.118482,-1.59841,00.036,00000.00,nan,nan
  0.120955,-1.59841,00.036,00000.00,nan,nan
  0.123491,-1.59841,00.036,00000.00,nan,nan
  0.125959,-1.59841,00.036,00000.00,nan,nan
  0.128482,-1.59841,00.036,00000.00,nan,nan
  0.130959,-1.59841,00.036,00000.00,nan,nan
  0.133466,-1.59841,00.036,00000.00,nan,nan
  0.135958,-1.59841,00.036,00000.00,nan,nan
  0.138871,-1.59841,00.036,00000.00,nan,nan
  0.140964,-1.59841,00.036,00000.00,nan,nan
  0.143464,-1.59841,00.036,00000.00,nan,nan
  0.145976,-1.59841,00.036,00000.00,nan,nan
  0.148466,-1.59841,00.036,00000.00,nan,nan
  0.150961,-1.59841,00.036,00000.00,nan,nan
  0.153476,-1.59841,00.036,00000.00,nan,nan
  0.155978,-1.59841,00.036,00000.00,nan,nan
  0.158492,-1.59841,00.036,00005.38,nan,nan
  0.160966,-1.59841,00.036,00000.00,nan,nan
  0.163468,-1.59841,00.036,00000.00,nan,nan
  0.165999,-1.59841,00.036,00000.00,nan,nan
  0.168495,-1.59841,00.036,00000.00,nan,nan
  0.170960,-1.59841,00.036,00000.00,nan,nan
  0.173459,-1.59841,00.036,00000.00,nan,nan
  0.175953,-1.59841,00.036,00000.00,nan,nan
  0.178462,-1.59841,00.036,00000.00,nan,nan
  0.180954,-1.59841,00.036,00000.00,nan,nan
  0.183492,-1.59841,00.036,00000.00,nan,nan
  0.185953,-1.59841,00.036,00000.00,nan,nan
  0.188672,-1.59841,00.036,00005.38,nan,nan
  0.190948,-1.59841,00.036,00000.00,nan,nan
  0.193443,-1.59841,00.036,00000.00,nan,nan
  0.195945,-1.59841,00.036,00000.00,nan,nan
  0.198443,-1.59841,00.036,00000.00,nan,nan
  0.200942,-1.70885,00.036,00000.00,nan,nan
  0.203443,-1.70885,00.036,-0815.07,nan,nan
  0.205947,-1.70885,00.035,-0755.89,nan,nan
  0.208443,-1.70885,00.031,-0497.65,nan,nan
  0.210940,-1.70885,00.025,-0301.28,nan,nan
  0.213441,-1.70885,00.018,-0172.16,nan,nan
  0.215943,-1.70885,00.010,-0083.39,nan,nan
  0.218443,-1.70885,00.002,-0005.38,nan,nan
  0.220942,-1.70885,-0.007,00051.11,nan,nan
  0.223482,-1.70885,-0.016,00123.74,nan,nan
  0.225951,-1.70885,-0.024,00164.09,nan,nan
  0.228446,-1.70885,-0.030,00193.68,nan,nan
  0.230955,-1.70885,-0.036,00169.47,nan,nan
  0.233454,-1.70885,-0.041,00166.78,nan,nan
  0.235952,-1.70885,-0.047,00164.09,nan,nan
  0.238451,-1.70885,-0.050,00147.95,nan,nan
  0.240942,-1.70885,-0.053,00137.19,nan,nan
  0.243443,-1.70885,-0.056,00137.19,nan,nan
  0.245942,-1.70885,-0.059,00131.81,nan,nan
  0.248443,-1.70885,-0.062,00115.67,nan,nan
  0.250954,-1.70885,-0.062,00094.15,nan,nan
  0.253448,-1.70885,-0.062,00059.18,nan,nan
  0.255947,-1.70885,-0.061,00034.97,nan,nan
  0.258455,-1.70885,-0.062,00008.07,nan,nan
  0.260912,-1.70885,-0.062,00000.00,nan,nan
  0.263457,-1.70885,-0.062,-0008.07,nan,nan
  0.265940,-1.70885,-0.064,-0008.07,nan,nan
  0.268465,-1.70885,-0.064,-0002.69,nan,nan
  0.270939,-1.70885,-0.065,-0008.07,nan,nan
  0.273456,-1.70885,-0.068,00018.83,nan,nan
  0.275943,-1.70885,-0.070,00051.11,nan,nan
  0.278441,-1.70885,-0.073,00067.25,nan,nan
  0.280941,-1.70885,-0.074,00053.80,nan,nan
  0.283439,-1.70885,-0.074,00034.97,nan,nan
  0.285940,-1.70885,-0.074,00032.28,nan,nan
  0.288440,-1.70885,-0.076,00051.11,nan,nan
  0.290953,-1.70885,-0.076,00045.73,nan,nan
  0.293451,-1.70885,-0.074,00024.21,nan,nan
  0.295948,-1.70885,-0.074,00000.00,nan,nan
  0.298442,-1.70885,-0.073,00000.00,nan,nan
  0.300939,-1.70885,-0.071,00000.00,nan,nan
  0.303440,-1.70885,-0.070,00000.00,nan,nan
  0.305949,-1.70885,-0.070,00000.00,nan,nan
  0.308459,-1.70885,-0.070,-0026.90,nan,nan
  0.310951,-1.70885,-0.070,-0034.97,nan,nan
  0.313443,-1.70885,-0.068,-0005.38,nan,nan
  0.315940,-1.70885,-0.070,-0008.07,nan,nan
  0.318439,-1.70885,-0.071,00013.45,nan,nan
  0.320941,-1.70885,-0.071,00021.52,nan,nan
  0.323544,-1.70885,-0.073,00018.83,nan,nan
  0.325947,-1.70885,-0.073,00013.45,nan,nan
  0.328453,-1.70885,-0.073,00005.38,nan,nan
  0.330939,-1.70885,-0.073,00000.00,nan,nan
  0.333442,-1.70885,-0.073,00000.00,nan,nan
  0.335939,-1.70885,-0.073,00000.00,nan,nan
  0.338443,-1.70885,-0.073,00000.00,nan,nan
  0.340983,-1.70885,-0.073,00000.00,nan,nan
  0.343447,-1.70885,-0.073,00000.00,nan,nan
  0.345947,-1.70885,-0.073,00000.00,nan,nan
  0.348468,-1.70885,-0.073,00000.00,nan,nan
  0.350940,-1.70885,-0.073,00000.00,nan,nan
  0.353442,-1.70885,-0.073,00000.00,nan,nan
  0.355952,-1.70885,-0.073,00000.00,nan,nan
  0.358448,-1.70885,-0.071,00000.00,nan,nan
  0.360951,-1.70885,-0.071,00000.00,nan,nan
  0.363468,-1.70885,-0.071,00000.00,nan,nan
  0.365941,-1.70885,-0.071,00000.00,nan,nan
  0.368473,-1.70885,-0.071,00000.00,nan,nan
  0.370940,-1.70885,-0.071,00000.00,nan,nan
  0.373521,-1.70885,-0.071,00000.00,nan,nan
  0.375944,-1.70885,-0.071,00000.00,nan,nan
  0.378483,-1.70885,-0.071,00000.00,nan,nan
  0.380944,-1.70885,-0.071,00000.00,nan,nan
  0.383484,-1.70885,-0.071,00000.00,nan,nan
  0.385940,-1.70885,-0.071,00000.00,nan,nan
  0.388442,-1.70885,-0.071,00000.00,nan,nan
  0.390948,-1.70885,-0.071,00000.00,nan,nan
  0.393467,-1.70885,-0.071,00000.00,nan,nan
  0.395940,-1.70885,-0.071,00000.00,nan,nan
  0.398444,-1.70885,-0.071,00000.00,nan,nan
  0.400944,-1.63369,-0.071,00000.00,nan,nan
  0.403449,-1.63369,-0.071,00548.76,nan,nan
  0.405947,-1.63369,-0.071,00521.86,nan,nan
  0.408519,-1.63369,-0.070,00341.63,nan,nan
  0.410941,-1.63369,-0.067,00223.27,nan,nan
  0.413443,-1.63369,-0.062,00126.43,nan,nan
  0.415953,-1.63369,-0.054,00056.49,nan,nan
  0.418444,-1.63369,-0.051,00021.52,nan,nan
  0.420944,-1.63369,-0.045,-0018.83,nan,nan
  0.423451,-1.63369,-0.038,-0069.94,nan,nan
  0.425945,-1.63369,-0.030,-0096.84,nan,nan
  0.428447,-1.63369,-0.025,-0121.05,nan,nan
  0.430963,-1.63369,-0.021,-0137.19,nan,nan
  0.433555,-1.63369,-0.018,-0118.36,nan,nan
  0.435953,-1.63369,-0.015,-0102.22,nan,nan
  0.438458,-1.63369,-0.011,-0102.22,nan,nan
  0.440952,-1.63369,-0.010,-0088.77,nan,nan
  0.443453,-1.63369,-0.008,-0083.39,nan,nan
  0.445956,-1.63369,-0.007,-0069.94,nan,nan
  0.448454,-1.63369,-0.005,-0059.18,nan,nan
  0.450955,-1.63369,-0.004,-0048.42,nan,nan
  0.453455,-1.63369,-0.002,-0043.04,nan,nan
  0.455960,-1.63369,-0.002,-0026.90,nan,nan
  0.458461,-1.63369,-0.004,-0008.07,nan,nan
  0.460956,-1.63369,-0.004,00000.00,nan,nan
  0.463486,-1.63369,-0.004,00002.69,nan,nan
  0.465955,-1.63369,-0.005,00013.45,nan,nan
  0.468482,-1.63369,-0.005,00021.52,nan,nan
  0.470955,-1.63369,-0.005,00026.90,nan,nan
  0.473532,-1.63369,-0.005,00018.83,nan,nan
  0.475954,-1.63369,-0.004,00013.45,nan,nan
  0.478452,-1.63369,-0.001,00000.00,nan,nan
  0.480954,-1.63369,00.001,-0024.21,nan,nan
  0.483494,-1.63369,00.002,-0043.04,nan,nan
  0.485952,-1.63369,00.004,-0034.97,nan,nan
  0.488464,-1.63369,00.005,-0018.83,nan,nan
  0.490956,-1.63369,00.005,-0010.76,nan,nan
  0.493480,-1.63369,00.004,00000.00,nan,nan
  0.495952,-1.63369,00.005,00000.00,nan,nan
  0.498490,-1.63369,00.004,00005.38,nan,nan
  0.500956,-1.63369,00.002,00005.38,nan,nan
  0.503503,-1.63369,00.002,00005.38,nan,nan
  0.505958,-1.63369,00.001,00002.69,nan,nan
  0.508482,-1.63369,00.001,00000.00,nan,nan
  0.510966,-1.63369,00.001,00000.00,nan,nan
  0.513467,-1.63369,00.001,00000.00,nan,nan
  0.515960,-1.63369,00.001,00000.00,nan,nan
  0.518456,-1.63369,00.001,00000.00,nan,nan
  0.520957,-1.63369,00.001,00008.07,nan,nan
  0.523464,-1.63369,00.001,00000.00,nan,nan
  0.525957,-1.63369,00.001,00000.00,nan,nan
  0.528455,-1.63369,00.001,00008.07,nan,nan
  0.530960,-1.63369,00.001,00005.38,nan,nan
  0.533452,-1.63369,-0.001,00021.52,nan,nan
  0.535949,-1.63369,-0.001,00005.38,nan,nan
  0.538455,-1.63369,00.001,00013.45,nan,nan
  0.540945,-1.63369,00.001,00000.00,nan,nan
  0.543442,-1.63369,00.001,00000.00,nan,nan
  0.545944,-1.63369,-0.001,00002.69,nan,nan
  0.548442,-1.63369,00.001,00000.00,nan,nan
  0.550942,-1.63369,00.001,00000.00,nan,nan
  0.553478,-1.63369,00.001,00000.00,nan,nan
  0.555952,-1.63369,00.001,00000.00,nan,nan
  0.558444,-1.63369,00.001,00000.00,nan,nan
  0.560940,-1.63369,00.001,00002.69,nan,nan
  0.563441,-1.63369,00.001,00005.38,nan,nan
  0.565941,-1.63369,00.001,00024.21,nan,nan
  0.568439,-1.63369,00.001,00005.38,nan,nan
  0.570944,-1.63369,00.001,00000.00,nan,nan
  0.573441,-1.63369,00.001,00002.69,nan,nan
  0.575939,-1.63369,00.001,00002.69,nan,nan
  0.578445,-1.63369,00.001,00008.07,nan,nan
  0.580941,-1.63369,00.001,00000.00,nan,nan
  0.583439,-1.63369,00.001,00000.00,nan,nan
  0.585939,-1.63369,00.001,00000.00,nan,nan
  0.588441,-1.63369,00.001,00000.00,nan,nan
  0.590939,-1.63369,00.001,00000.00,nan,nan
  0.593439,-1.63369,00.001,00000.00,nan,nan
  0.595939,-1.63369,00.001,00008.07,nan,nan
  0.598471,-1.63369,00.001,00008.07,nan,nan
  0.600939,-1.52171,-0.001,00021.52,nan,nan
  0.603463,-1.52171,00.001,00836.59,nan,nan
  0.605941,-1.52171,00.004,00774.72,nan,nan
  0.608463,-1.52171,00.010,00519.17,nan,nan
  0.610940,-1.52171,00.018,00306.66,nan,nan
  0.613442,-1.52171,00.024,00193.68,nan,nan
  0.615941,-1.52171,00.033,00072.63,nan,nan
  0.618462,-1.52171,00.042,00000.00,nan,nan
  0.620942,-1.52171,00.053,-0099.53,nan,nan
  0.623483,-1.52171,00.061,-0137.19,nan,nan
  0.625943,-1.52171,00.068,-0185.61,nan,nan
  0.628495,-1.52171,00.074,-0169.47,nan,nan
  0.630945,-1.52171,00.079,-0174.85,nan,nan
  0.633482,-1.52171,00.085,-0158.71,nan,nan
  0.635949,-1.52171,00.088,-0142.57,nan,nan
  0.638455,-1.52171,00.093,-0131.81,nan,nan
  0.640958,-1.52171,00.096,-0134.50,nan,nan
  0.643470,-1.52171,00.100,-0123.74,nan,nan
  0.645929,-1.52171,00.102,-0102.22,nan,nan
  0.648453,-1.52171,00.104,-0086.08,nan,nan
  0.650963,-1.52171,00.105,-0064.56,nan,nan
  0.653456,-1.52171,00.105,-0045.73,nan,nan
  0.655968,-1.52171,00.104,-0018.83,nan,nan
  0.658453,-1.52171,00.104,-0002.69,nan,nan
  0.660954,-1.52171,00.105,00008.07,nan,nan
  0.663452,-1.52171,00.105,00016.14,nan,nan
  0.665953,-1.52171,00.107,00026.90,nan,nan
  0.668452,-1.52171,00.108,00021.52,nan,nan
  0.670966,-1.52171,00.111,-0002.69,nan,nan
  0.673460,-1.52171,00.114,-0024.21,nan,nan
  0.675952,-1.52171,00.114,-0059.18,nan,nan
  0.678454,-1.52171,00.114,-0051.11,nan,nan
  0.680955,-1.52171,00.116,-0043.04,nan,nan
  0.683452,-1.52171,00.116,-0026.90,nan,nan
  0.685954,-1.52171,00.116,-0013.45,nan,nan
  0.688456,-1.52171,00.114,00000.00,nan,nan
  0.690953,-1.52171,00.114,00000.00,nan,nan
  0.693453,-1.52171,00.114,00000.00,nan,nan
  0.695956,-1.52171,00.113,00024.21,nan,nan
  0.698456,-1.52171,00.111,00045.73,nan,nan
  0.700955,-1.52171,00.111,00045.73,nan,nan
  0.703466,-1.52171,00.111,00040.35,nan,nan
  0.705959,-1.52171,00.111,00037.66,nan,nan
  0.708454,-1.52171,00.111,00037.66,nan,nan
  0.710955,-1.52171,00.113,00037.66,nan,nan
  0.713465,-1.52171,00.113,00013.45,nan,nan
  0.715998,-1.52171,00.114,-0005.38,nan,nan
  0.718514,-1.52171,00.114,-0018.83,nan,nan
  0.720983,-1.52171,00.116,-0013.45,nan,nan
