time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000049,-1.63676,00.024,00000.00,nan,nan
  0.001107,-1.48643,00.024,-0048.42,nan,nan
  0.003660,-1.48643,00.024,00909.22,nan,nan
  0.006159,-1.48643,00.027,00901.15,nan,nan
  0.008673,-1.48643,00.035,00589.11,nan,nan
  0.011165,-1.48643,00.041,00368.53,nan,nan
  0.013702,-1.48643,00.050,00212.51,nan,nan
  0.016158,-1.48643,00.058,00088.77,nan,nan
  0.018690,-1.48643,00.068,00000.00,nan,nan
  0.021159,-1.48643,00.079,-0099.53,nan,nan
  0.023691,-1.48643,00.090,-0147.95,nan,nan
  0.026165,-1.48643,00.097,-0196.37,nan,nan
  0.028669,-1.48643,00.104,-0185.61,nan,nan
  0.031169,-1.48796,00.111,-0193.68,nan,nan
  0.033663,-1.48796,00.114,-0188.30,nan,nan
  0.036159,-1.48796,00.119,-0164.09,nan,nan
  0.038655,-1.48796,00.123,-0164.09,nan,nan
  0.041160,-1.48950,00.127,-0158.71,nan,nan
  0.043689,-1.48950,00.130,-0139.88,nan,nan
  0.046159,-1.48950,00.133,-0129.12,nan,nan
  0.048660,-1.48950,00.134,-0104.91,nan,nan
  0.051165,-1.48950,00.134,-0078.01,nan,nan
  0.053696,-1.48950,00.136,-0053.80,nan,nan
  0.056159,-1.49103,00.134,-0021.52,nan,nan
  0.058654,-1.49103,00.134,-0013.45,nan,nan
  0.061162,-1.49103,00.134,00002.69,nan,nan
  0.063664,-1.49103,00.136,00016.14,nan,nan
  0.066160,-1.48336,00.136,00018.83,nan,nan
  0.068665,-1.48336,00.137,00069.94,nan,nan
  0.071161,-1.48489,00.140,00043.04,nan,nan
  0.073672,-1.48489,00.145,00000.00,nan,nan
  0.076163,-1.48489,00.147,-0026.90,nan,nan
  0.078664,-1.48489,00.148,-0043.04,nan,nan
  0.081165,-1.48489,00.150,-0072.63,nan,nan
  0.083669,-1.48489,00.151,-0064.56,nan,nan
  0.086169,-1.48489,00.151,-0048.42,nan,nan
  0.088672,-1.48489,00.151,-0034.97,nan,nan
  0.091188,-1.48489,00.150,-0018.83,nan,nan
  0.093677,-1.48489,00.148,00005.38,nan,nan
  0.096185,-1.49870,00.147,00026.90,nan,nan
  0.098681,-1.49870,00.145,-0072.63,nan,nan
  0.101172,-1.50023,00.143,-0053.80,nan,nan
  0.103673,-1.50023,00.143,-0032.28,nan,nan
  0.106179,-1.50023,00.142,-0005.38,nan,nan
  0.108673,-1.50023,00.142,00024.21,nan,nan
  0.111174,-1.50023,00.142,00026.90,nan,nan
  0.113673,-1.50023,00.142,00021.52,nan,nan
  0.116183,-1.50023,00.142,00016.14,nan,nan
  0.118682,-1.50023,00.142,00010.76,nan,nan
  0.121177,-1.50023,00.142,00013.45,nan,nan
  0.123694,-1.50023,00.142,00010.76,nan,nan
  0.126173,-1.50637,00.140,00008.07,nan,nan
  0.128690,-1.50637,00.140,-0032.28,nan,nan
  0.131176,-1.50790,00.140,-0034.97,nan,nan
  0.133693,-1.50790,00.139,-0026.90,nan,nan
  0.136231,-1.50790,00.137,-0005.38,nan,nan
