time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000092,-0.00076,00.022,00000.00,nan,nan
  0.001476,0.14957,00.022,-0104.91,nan,nan
  0.004046,0.14957,00.022,00928.05,nan,nan
  0.006549,0.14957,00.025,00925.36,nan,nan
  0.012722,0.14957,00.042,00322.80,nan,nan
  0.013472,0.14957,00.045,00250.17,nan,nan
  0.014428,0.14957,00.050,00209.82,nan,nan
  0.016537,0.14957,00.058,00115.67,nan,nan
  0.019047,0.14957,00.067,00013.45,nan,nan
  0.021508,0.14957,00.077,-0083.39,nan,nan
  0.024039,0.14957,00.088,-0139.88,nan,nan
  0.026542,0.14957,00.097,-0190.99,nan,nan
  0.029042,0.14957,00.104,-0185.61,nan,nan
  0.031552,0.14957,00.110,-0185.61,nan,nan
  0.034043,0.14804,00.114,-0185.61,nan,nan
  0.036543,0.14804,00.119,-0177.54,nan,nan
  0.039046,0.14804,00.122,-0166.78,nan,nan
  0.041544,0.14650,00.127,-0164.09,nan,nan
  0.044051,0.14650,00.131,-0150.64,nan,nan
  0.046544,0.14650,00.133,-0129.12,nan,nan
  0.049043,0.14650,00.134,-0104.91,nan,nan
  0.051539,0.14650,00.134,-0075.32,nan,nan
  0.054041,0.14650,00.134,-0048.42,nan,nan
  0.056577,0.14497,00.134,-0021.52,nan,nan
  0.059041,0.14497,00.134,-0010.76,nan,nan
  0.061618,0.14497,00.134,00002.69,nan,nan
  0.064042,0.14497,00.134,00026.90,nan,nan
  0.066539,0.15264,00.136,00024.21,nan,nan
  0.069040,0.15264,00.139,00069.94,nan,nan
  0.071536,0.15111,00.142,00048.42,nan,nan
  0.074912,0.15111,00.145,-0018.83,nan,nan
  0.076537,0.15111,00.148,-0029.59,nan,nan
  0.079046,0.15111,00.150,-0053.80,nan,nan
  0.081535,0.15111,00.151,-0069.94,nan,nan
  0.084041,0.15111,00.151,-0059.18,nan,nan
  0.086537,0.15111,00.151,-0043.04,nan,nan
  0.089038,0.15111,00.151,-0026.90,nan,nan
  0.091537,0.15111,00.150,-0013.45,nan,nan
  0.094037,0.15111,00.148,00010.76,nan,nan
  0.096538,0.13730,00.147,00040.35,nan,nan
  0.099033,0.13730,00.145,-0072.63,nan,nan
  0.101535,0.13577,00.143,-0075.32,nan,nan
  0.104039,0.13577,00.143,-0037.66,nan,nan
  0.106538,0.13577,00.142,-0010.76,nan,nan
  0.109038,0.13577,00.142,00016.14,nan,nan
  0.111537,0.13577,00.142,00016.14,nan,nan
