time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.005,0.0,0.0,,-0.022,199.78824
0.005,0.14926,-0.00011,,-0.012,233.98074
0.0075,0.14926,-0.00011,,0.4824706,290.1874
0.01,0.14935,-0.00011,,1.17,337.26117
0.0125,0.14953,0.00452,,2.2516,365.64236
0.015,0.14953,0.0122,,3.3192,322.032
0.0175,0.14953,0.02188,,3.9784,216.576
0.02,0.14947,0.0327,,4.332,166.8
0.0225,0.14947,0.044,,4.4524,139.456
0.025,0.14771,0.05529,,5.1672,32.336
0.0275,0.14771,0.06624,,5.304,-129.504
0.03,0.14731,0.08617,,4.3104,-320.112
0.0325,0.14731,0.09486,,3.262,-328.72
0.035,0.147,0.09486,,2.1868,-176.176
0.0375,0.147,0.10267,,2.2568,-61.28
0.04,0.14668,0.1096,,2.6108,-15.616
0.0425,0.14629,0.1157,,2.284,-52.672
0.045,0.14629,0.12098,,1.978,-85.296
0.0475,0.14629,0.12553,,1.9148,-88.736
0.05,0.14536,0.12941,,1.7292,-102.192
0.0525,0.14459,0.13542,,1.2992,-127.904
0.055,0.14459,0.13765,,1.0084,-119.088
0.0575,0.14459,0.13765,,0.6764,-73.072
0.06,0.1521,0.1409,,0.552,-44.832
0.0625,0.1521,0.14225,,0.614,-24.0
0.065,0.15182,0.14225,,0.4792,-21.232
0.0675,0.15144,0.14465,,0.4128,-32.704
0.07,0.15144,0.14569,,0.3872,-21.12
0.0725,0.15144,0.14569,,0.2512,-9.248
0.075,0.15087,0.14657,,0.296,-6.672
0.0775,0.15087,0.14735,,0.3428,-5.936
0.08,0.15037,0.14856,,0.258,-19.664
0.0825,0.15037,0.14898,,0.196,-26.72
0.085,0.15041,0.14898,,0.1236,-22.208
0.0875,0.13656,0.14959,,0.076,-29.44
0.09,0.13656,0.1498,,0.0404,-39.648
0.0925,0.13611,0.14952,,-0.1304,-47.728
0.095,0.13611,0.14952,,-0.2688,-47.376
0.0975,0.1356,0.1481,,-0.366,-22.128
0.1,0.1356,0.14715,,-0.434,0.096
0.1025,0.13518,0.14613,,-0.3244,6.016
0.105,0.13518,0.14508,,-0.2884,-1.312
0.1075,0.13518,0.14508,,-0.3636,-19.36
0.11,0.13525,0.14407,,-0.4308,-16.688
0.1125,0.13532,0.14209,,-0.4952,2.288
0.115,0.13532,0.14119,,-0.4312,19.92
0.1175,0.13532,0.14033,,-0.3348,27.568
0.12,0.12969,0.13956,,-0.262,12.272
0.1225,0.12969,0.13872,,-0.2352,-8.672
0.125,0.12841,0.13872,,-0.3276,-18.944
0.1275,0.12841,0.13781,,-0.4104,-17.136
0.13,0.1274,0.13592,,-0.4112,-2.32
0.1325,0.1274,0.13499,,-0.4076,9.616
0.135,0.12692,0.13499,,-0.358,7.376
0.1375,0.12665,0.13318,,-0.3168,8.352
0.14,0.12665,0.13235,,-0.3644,4.64
0.1425,0.12665,0.13235,,-0.3,2.272
0.145,0.12621,0.13085,,-0.3084,13.168
0.1475,0.12621,0.13018,,-0.3164,16.288
0.15,0.12588,0.12958,,-0.1916,20.096
0.1525,0.12725,0.12903,,-0.1548,14.848
0.155,0.12725,0.12903,,-0.138,0.816
0.1575,0.12725,0.12852,,-0.1576,-1.296
0.16,0.12674,0.12811,,-0.18,1.936
0.1625,0.12674,0.12752,,-0.15,8.48
0.165,0.12609,0.12728,,-0.1176,14.639781
0.1675,0.12538,0.12706,,-0.0828,13.439891
0.17,0.12538,0.12687,,-0.03060274,4.9508953
0.1725,0.12538,0.12669,,-0.0255,2.0510418
0.1825,0.12474,0.12669,,-0.019315068,-4.018181
0.1825,0.12471,0.1265,,-0.03769231,-6.9472003
0.185,0.12471,0.1265,,-0.14129412,-10.1536665
0.1875,0.13522,0.12592,,-0.126,9.275149
0.19,0.13522,0.12555,,-0.0936,28.88753
0.1925,0.1355,0.1254,,0.0544,34.016
0.195,0.13542,0.12559,,0.1296,34.928
0.1975,0.13542,0.12658,,0.1876,21.968
0.2,0.13544,0.12658,,0.2764,19.232
0.2025,0.13544,0.12725,,0.2556,9.584
0.205,0.13456,0.12871,,0.336,-1.328
0.2075,0.13434,0.12871,,0.2776,-1.856
0.21,0.13434,0.13005,,0.2488,-11.968
0.2125,0.13434,0.13005,,0.276,-10.528
0.215,0.13457,0.13115,,0.1872,-12.416
0.2175,0.13486,0.13161,,0.1768,-13.088
0.22,0.13486,0.13161,,0.1432,-5.664
0.2225,0.13355,0.13203,,0.1344,-6.272
0.225,0.13355,0.13273,,0.1376,-6.96
0.2275,0.13355,0.13273,,0.1012,-6.944
0.23,0.13383,0.13298,,0.0728,-7.376
0.2325,0.13383,0.13317,,0.08,-5.856
0.235,0.13414,0.13342,,0.056,-5.872
0.2375,0.13414,0.13351,,0.0364,-6.064
0.24,0.13408,0.13351,,0.0212,-3.376
0.2425,0.13408,0.13358,,0.0216,-1.632
0.245,0.13391,0.13365,,0.0212,-1.28
0.2475,0.13391,0.13371,,0.016,-1.616
0.25,0.13359,0.13371,,0.008,-1.28
0.2525,0.13359,0.13375,,0.008,0.208
0.255,0.13687,0.13373,,0.0092,3.792
0.2575,0.13687,0.1338,,0.018,5.9117837
0.26,0.13649,0.1338,,0.0504,7.260892
0.2625,0.13649,0.13394,,0.061297297,3.9375222
0.265,0.13657,0.13429,,0.0783125,1.5020119
0.27,0.13665,0.13448,,0.06977778,0.12749504
0.27,0.13665,0.13466,,0.06809091,-0.8604306
0.2725,0.13665,0.13466,,0.06776471,0.1532138
0.275,0.137,0.13502,,0.0704,-1.7846718
0.2775,0.137,0.13502,,0.0696,-0.92758185
0.28,0.13723,0.13536,,0.044864863,-0.96534353
0.2825,0.13723,0.13536,,0.0689375,0.09489428
0.2875,0.13716,0.13554,,0.055894736,0.15512364
0.2875,0.13716,0.13599,,0.06842857,-2.572133
0.2925,0.13716,0.13599,,0.05211111,-1.3851383
0.2925,0.13592,0.13613,,0.037363637,-1.8545527
0.295,0.13592,0.13613,,0.059647057,-1.3281828
0.2975,0.13529,0.1364,,0.0444,-3.8869734
0.3,0.13529,0.13648,,0.034,-7.251765
0.3025,0.13487,0.13651,,0.0016,-7.888
0.305,0.13487,0.1365,,-0.0096,-8.112
0.3075,0.13487,0.13641,,-0.0324,-5.696
0.31,0.13452,0.13641,,-0.0504,-5.312
0.3125,0.13456,0.13615,,-0.0492,-2.512
0.315,0.13456,0.136,,-0.0676,-0.816
0.3175,0.13456,0.136,,-0.0552,-1.872
0.32,0.13422,0.13564,,-0.0576,-1.504
0.3225,0.13422,0.13564,,-0.0776,-2.24
0.325,0.13415,0.13546,,-0.0752,0.448
0.3275,0.13415,0.13512,,-0.0744,4.928
0.33,0.13605,0.13496,,-0.0536,6.672
0.3325,0.13605,0.13496,,-0.0268,6.96
0.335,0.13607,0.13487,,-0.0156,5.968
0.3375,0.13607,0.13483,,-0.0064,4.544
0.34,0.13607,0.13483,,0.0108,4.384
0.3425,0.13652,0.1349,,0.0168,3.264
0.345,0.13652,0.13497,,0.0276,1.904
0.3475,0.13711,0.13497,,0.026,3.232
0.35,0.13711,0.13514,,0.03,5.36
0.3525,0.13711,0.13514,,0.056,8.864
0.355,0.14003,0.13526,,0.0796,10.112
0.3575,0.14002,0.13561,,0.112,7.776
0.36,0.14002,0.1359,,0.1284,4.896
0.3625,0.14002,0.13622,,0.1288,1.76
0.365,0.14019,0.13656,,0.1324,0.256
0.3675,0.14042,0.13689,,0.132,-2.144
0.37,0.14042,0.13722,,0.13,-3.296
0.3725,0.14085,0.13754,,0.1032,-2.832
0.375,0.14085,0.13786,,0.1056,-2.688
0.3775,0.1416,0.13786,,0.1088,0.288
0.38,0.1416,0.13838,,0.0936,-0.352
