time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.052,53.82246
0.0025,0.14893,-0.00026,,0.066181816,68.62188
0.005,0.14893,-0.00026,,0.14164706,99.163086
0.0075,0.14931,0.00026,,0.3576,136.09557
0.01,0.14931,0.00102,,0.8028,206.94023
0.0125,0.14926,0.00357,,1.4368,257.456
0.015,0.14926,0.00812,,2.1888,269.712
0.0175,0.14935,0.01467,,2.8828,239.296
0.02,0.14935,0.02283,,3.4512,174.096
0.0225,0.14935,0.03225,,3.7968,93.312
0.025,0.14953,0.04247,,3.908,13.728
0.0275,0.14953,0.05231,,3.8208,-46.32
0.03,0.14947,0.06165,,3.6108,-82.944
0.0325,0.14947,0.07042,,3.3664,-100.72
0.035,0.14771,0.07855,,3.0984,-107.632
0.0375,0.14731,0.08594,,2.818,-109.776
0.04,0.14731,0.09262,,2.5396,-107.92
0.0425,0.147,0.09861,,2.2736,-103.344
0.045,0.147,0.10396,,2.0216,-97.36
0.0475,0.147,0.10869,,1.7852,-90.704
0.05,0.14668,0.11285,,1.5668,-83.536
0.0525,0.14629,0.11648,,1.3672,-75.984
0.055,0.14629,0.11965,,1.1864,-68.416
0.0575,0.14629,0.12238,,1.0256,-61.184
0.06,0.14536,0.12473,,0.8824,-54.592
0.0625,0.14459,0.12676,,0.7544,-48.976
0.065,0.14459,0.12849,,0.6396,-43.696
0.0675,0.1521,0.12993,,0.5348,-37.92
0.07,0.1521,0.13114,,0.446,-30.944
0.0725,0.15182,0.13212,,0.3772,-22.496
0.075,0.15182,0.13297,,0.3316,-13.824
0.0775,0.15144,0.13373,,0.3108,-6.288
0.08,0.15144,0.13448,,0.3064,-1.2
0.0825,0.15087,0.13525,,0.3112,0.56
0.085,0.15087,0.13604,,0.3164,-0.576
0.0875,0.15037,0.13684,,0.3128,-3.952
0.09,0.15037,0.13764,,0.2984,-8.176
0.0925,0.15041,0.13836,,0.2708,-10.848
0.095,0.15041,0.13901,,0.2352,-11.696
0.0975,0.13656,0.13954,,0.2088,-12.288
0.1,0.13656,0.13999,,0.1832,-15.52
0.1025,0.13611,0.14048,,0.1432,-23.344
0.105,0.13611,0.14083,,0.074,-32.784
0.1075,0.1356,0.14091,,-0.0284,-40.112
0.11,0.1356,0.1407,,-0.1408,-42.72
0.1125,0.13518,0.14019,,-0.2508,-39.648
0.115,0.13518,0.13943,,-0.3488,-32.08
0.1175,0.13525,0.13841,,-0.42,-21.36
0.12,0.13525,0.13723,,-0.4572,-9.808
0.1225,0.13532,0.13604,,-0.4636,-0.208
0.125,0.13532,0.1349,,-0.4496,6.096
0.1275,0.13532,0.13378,,-0.4264,9.136
0.13,0.12969,0.13274,,-0.3996,9.28
0.1325,0.12841,0.13179,,-0.3744,7.136
0.135,0.12841,0.1309,,-0.3596,3.632
0.1375,0.12841,0.13002,,-0.3572,-0.256
0.14,0.1274,0.12913,,-0.3628,-3.28
0.1425,0.1274,0.12821,,-0.376,-4.656
0.145,0.12692,0.12727,,-0.3912,-4.144
0.1475,0.12692,0.12625,,-0.4012,-1.584
0.15,0.12665,0.12522,,-0.402,1.872
0.1525,0.12665,0.12422,,-0.3904,5.12
0.155,0.12621,0.12326,,-0.3732,7.6
0.1575,0.12588,0.12235,,-0.3516,9.008
0.16,0.12588,0.12149,,-0.3264,9.856
0.1625,0.12588,0.12071,,-0.3012,10.272
0.165,0.12725,0.12,,-0.2752,10.608
0.1675,0.12725,0.11933,,-0.2488,11.072
0.17,0.12674,0.11874,,-0.22,11.328
0.1725,0.12674,0.11823,,-0.1904,11.216
0.175,0.12609,0.1178,,-0.1628,10.512
0.1775,0.12609,0.11742,,-0.1372,9.232
0.18,0.12538,0.11711,,-0.1152,7.328
0.1825,0.12538,0.11686,,-0.0988,4.928
0.185,0.12474,0.11664,,-0.0904,2.608
0.1875,0.12474,0.11642,,-0.088,0.832
0.19,0.12471,0.1162,,-0.088,0.32
0.1925,0.12471,0.11598,,-0.0896,1.76
0.195,0.13522,0.11576,,-0.0856,5.76
0.1975,0.13522,0.11552,,-0.0672,12.224
0.2,0.1355,0.11536,,-0.0272,19.248
0.2025,0.1355,0.11534,,0.034,24.816
0.205,0.13542,0.11551,,0.1044,27.36
0.2075,0.13542,0.11587,,0.1772,25.904
0.21,0.13544,0.1164,,0.2432,20.8
0.2125,0.13544,0.11711,,0.2884,12.864
0.215,0.13456,0.11793,,0.3088,4.16
0.2175,0.13434,0.11871,,0.3052,-2.928
0.22,0.13434,0.11946,,0.2868,-7.68
0.2225,0.13457,0.12016,,0.2628,-10.304
0.225,0.13457,0.12079,,0.234,-11.456
0.2275,0.13457,0.12133,,0.2028,-11.632
0.23,0.13486,0.1218,,0.1736,-10.944
0.2325,0.13486,0.12219,,0.1476,-9.6
0.235,0.13355,0.12253,,0.1248,-8.016
0.2375,0.13355,0.12281,,0.1072,-6.464
0.24,0.13383,0.12305,,0.0936,-5.216
0.2425,0.13414,0.12327,,0.0824,-4.704
0.245,0.13414,0.12347,,0.072,-4.48
0.2475,0.13408,0.12363,,0.0592,-3.984
0.25,0.13408,0.12377,,0.0492,-3.104
0.2525,0.13408,0.12386,,0.044,-1.936
0.255,0.13391,0.12397,,0.0408,-1.408
0.2575,0.13359,0.12408,,0.0392,-1.9455135
0.26,0.13359,0.12417,,0.034,-1.8787568
0.2625,0.13687,0.12425,,0.023081081,-1.1934112
0.265,0.13687,0.12431,,0.025375,-0.43152064
0.27,0.13649,0.12437,,0.024,1.3506621
0.27,0.13657,0.12449,,0.02809091,2.353866
0.2725,0.13657,0.12449,,0.042235292,5.2284617
0.275,0.13657,0.1246,,0.0468,5.2793155
0.2775,0.13657,0.12476,,0.068,5.1971765
0.28,0.13665,0.12494,,0.0812,4.56
0.2825,0.13665,0.12517,,0.09,2.224
0.285,0.137,0.12541,,0.0928,0.288
0.2875,0.137,0.12565,,0.09,-1.056
0.29,0.13723,0.12586,,0.0848,-1.68
0.2925,0.13723,0.12607,,0.0808,-1.84
0.295,0.13716,0.12626,,0.0764,-1.856
0.2975,0.13716,0.12646,,0.0712,-2.096
0.3,0.13592,0.12662,,0.0664,-2.512
0.3025,0.13592,0.12678,,0.0596,-3.344
0.305,0.13558,0.12693,,0.0508,-4.544
0.3075,0.13529,0.12705,,0.0372,-5.584
0.31,0.13529,0.12712,,0.0208,-6.288
0.3125,0.13529,0.12715,,0.0048,-6.384
0.315,0.13487,0.12714,,-0.0116,-6.016
0.3175,0.13487,0.1271,,-0.0264,-5.248
0.32,0.13452,0.127,,-0.0388,-4.192
0.3225,0.13452,0.12689,,-0.0472,-3.216
0.325,0.13456,0.12676,,-0.0536,-2.464
0.3275,0.13422,0.12663,,-0.0592,-1.84
0.33,0.13422,0.12646,,-0.0636,-1.136
0.3325,0.13422,0.1263,,-0.0652,-0.496
0.335,0.13415,0.12613,,-0.0648,0.016
0.3375,0.13415,0.12598,,-0.0648,0.304
0.34,0.13605,0.12581,,-0.0636,0.784
0.3425,0.13605,0.12565,,-0.062,1.792
0.345,0.13607,0.1255,,-0.0564,3.296
0.3475,0.13624,0.12536,,-0.046,4.944
0.35,0.13624,0.12525,,-0.0304,6.144
0.3525,0.13624,0.1252,,-0.0132,6.368
0.355,0.13652,0.1252,,0.004,5.792
0.3575,0.13652,0.12522,,0.0164,4.736
0.36,0.13711,0.12529,,0.0272,3.664
0.3625,0.13711,0.12536,,0.0344,3.296
0.365,0.14003,0.12547,,0.0408,3.664
0.3675,0.14002,0.12556,,0.0508,4.928
0.37,0.14002,0.1257,,0.0648,6.32
0.3725,0.14019,0.12588,,0.084,7.104
0.375,0.14019,0.12612,,0.1032,7.088
0.3775,0.14042,0.1264,,0.1204,6.016
0.38,0.14042,0.12673,,0.1352,4.176
0.3825,0.14042,0.12708,,0.1432,1.888
0.385,0.14085,0.12747,,0.144,-0.272
0.3875,0.14085,0.12782,,0.1396,-1.6
0.39,0.1416,0.12816,,0.1336,-2.112
0.3925,0.14137,0.12848,,0.1284,-2.112
0.395,0.14137,0.12881,,0.1232,-1.968
0.3975,0.14168,0.1291,,0.1184,-1.872
0.4,0.14168,0.12939,,0.114,-1.952
0.4025,0.14168,0.12967,,0.1096,-2.192
0.405,0.14199,0.12995,,0.1032,-2.448
0.4075,0.14199,0.13019,,0.0964,-2.48
0.41,0.14234,0.13042,,0.09,-2.304
0.4125,0.14289,0.13064,,0.0852,-2.0
0.415,0.14289,0.13085,,0.08,-1.568
0.4175,0.14347,0.13104,,0.0764,-1.008
0.42,0.14347,0.13122,,0.0748,-0.368
0.4225,0.14347,0.13141,,0.0752,0.144
0.425,0.14405,0.1316,,0.076,0.64
