time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.082,10.658824
0.0025,0.14893,-0.00041,,-0.052,32.859894
0.005,0.14893,-0.00041,,-0.04035294,58.742977
0.0075,0.14893,-0.00045,,0.1084,94.57412
0.01,0.14931,-0.0005,,0.4128,155.58023
0.0125,0.14931,0.00099,,0.9036,200.496
0.015,0.14926,0.00403,,1.5068,219.296
0.0175,0.14926,0.00858,,2.0676,210.384
0.02,0.14935,0.01454,,2.572,184.24
0.0225,0.14935,0.02158,,3.0008,152.992
0.025,0.14953,0.02968,,3.3432,117.248
0.0275,0.14953,0.03852,,3.5944,79.168
0.03,0.14947,0.04786,,3.7408,40.752
0.0325,0.14771,0.05742,,3.7916,3.952
0.035,0.14771,0.06699,,3.754,-29.312
0.0375,0.14771,0.07635,,3.6372,-58.368
0.04,0.14731,0.08532,,3.4516,-82.24
0.0425,0.147,0.09372,,3.2132,-100.352
0.045,0.147,0.10145,,2.938,-112.672
0.0475,0.14668,0.10845,,2.6396,-119.808
0.05,0.14668,0.11468,,2.33,-122.368
0.0525,0.14629,0.1201,,2.0196,-120.848
0.055,0.14629,0.12475,,1.7184,-115.936
0.0575,0.14629,0.12866,,1.4348,-108.464
0.06,0.14536,0.13188,,1.1732,-99.168
0.0625,0.14459,0.13447,,0.9364,-88.88
0.065,0.14459,0.13651,,0.728,-77.488
0.0675,0.1521,0.13805,,0.5464,-64.688
0.07,0.1521,0.13919,,0.3996,-50.688
0.0725,0.15182,0.13996,,0.292,-35.536
0.075,0.15182,0.14055,,0.2216,-21.376
0.0775,0.15144,0.14102,,0.1912,-10.064
0.08,0.15144,0.14143,,0.1828,-2.688
0.0825,0.15144,0.14191,,0.1856,0.352
0.085,0.15087,0.14239,,0.1908,0.816
0.0875,0.15037,0.14286,,0.1916,0.032
0.09,0.15037,0.14334,,0.19,-1.168
0.0925,0.15041,0.14383,,0.1864,-2.304
0.095,0.15041,0.14428,,0.1788,-4.432
0.0975,0.15041,0.14472,,0.1684,-8.672
0.1,0.13656,0.14513,,0.1436,-15.008
0.1025,0.13656,0.14551,,0.0956,-22.368
0.105,0.13611,0.14568,,0.0276,-27.936
0.1075,0.13611,0.14564,,-0.0532,-30.192
0.11,0.1356,0.14541,,-0.1312,-29.328
0.1125,0.1356,0.14498,,-0.2024,-26.192
0.115,0.13518,0.14437,,-0.2644,-21.936
0.1175,0.13518,0.14363,,-0.314,-16.88
0.12,0.13525,0.14278,,-0.3496,-11.488
0.1225,0.13525,0.14185,,-0.3708,-6.16
0.125,0.13532,0.14089,,-0.3796,-1.68
0.1275,0.13532,0.13994,,-0.376,1.392
0.13,0.12969,0.13899,,-0.368,2.688
0.1325,0.12969,0.1381,,-0.3592,2.368
0.135,0.12841,0.13721,,-0.3544,1.552
0.1375,0.12841,0.13634,,-0.3532,1.008
0.14,0.1274,0.13544,,-0.3516,1.264
0.1425,0.1274,0.13457,,-0.348,1.888
0.145,0.12692,0.1337,,-0.3412,2.672
0.1475,0.12692,0.13286,,-0.3348,3.504
0.15,0.12665,0.13203,,-0.3248,4.384
0.1525,0.12665,0.13122,,-0.3124,5.44
0.155,0.12621,0.13046,,-0.2976,6.208
0.1575,0.12621,0.12974,,-0.2804,6.848
0.16,0.12588,0.12905,,-0.2632,7.408
0.1625,0.12725,0.12842,,-0.244,7.936
0.165,0.12725,0.12783,,-0.2232,8.592
0.1675,0.12674,0.1273,,-0.2012,9.2
0.17,0.12674,0.12682,,-0.1772,9.488
0.1725,0.12674,0.12641,,-0.152,9.184
0.175,0.12609,0.12606,,-0.1292,8.224
0.1775,0.12538,0.12578,,-0.1104,6.832
0.18,0.12538,0.12552,,-0.0952,5.392
0.1825,0.12474,0.1253,,-0.0836,4.032
0.185,0.12474,0.12511,,-0.0752,2.72
0.1875,0.12471,0.12494,,-0.07,1.632
0.19,0.12471,0.12476,,-0.068,1.632
0.1925,0.12471,0.1246,,-0.0668,3.6
0.195,0.13522,0.12443,,-0.0564,7.808
0.1975,0.13522,0.12427,,-0.0308,13.216
0.2,0.1355,0.12422,,0.0116,17.504
0.2025,0.13542,0.12432,,0.0644,19.296
0.205,0.13542,0.12455,,0.1148,18.56
0.2075,0.13544,0.12491,,0.1588,16.192
0.21,0.13544,0.12536,,0.1964,13.152
0.2125,0.13544,0.1259,,0.226,9.584
0.215,0.13456,0.12651,,0.2456,5.472
0.2175,0.13456,0.12716,,0.254,1.36
0.22,0.13434,0.1278,,0.2508,-1.728
0.2225,0.13434,0.12843,,0.2404,-3.424
0.225,0.13457,0.12901,,0.2308,-4.128
0.2275,0.13486,0.12956,,0.2212,-4.816
0.23,0.13486,0.13012,,0.2088,-6.384
0.2325,0.13486,0.13064,,0.1912,-8.336
0.235,0.13355,0.13108,,0.166,-10.08
0.2375,0.13355,0.13147,,0.1384,-11.264
0.24,0.13383,0.13178,,0.1092,-11.504
0.2425,0.13414,0.13202,,0.0788,-11.656217
0.245,0.13414,0.13217,,0.052,-10.611108
0.2475,0.13408,0.13226,,0.021297297,-6.8149905
0.25,0.13408,0.13231,,0.0053125,-5.712723
0.255,0.13408,0.1323,,-0.005851852,-4.5338225
0.255,0.13391,0.13221,,-0.017363636,-3.6008418
0.2575,0.13391,0.13221,,-0.028117647,-3.0563462
0.26,0.13359,0.13213,,-0.0276,-1.5822031
0.2625,0.13359,0.13204,,-0.0352,-0.13458824
0.265,0.13687,0.13195,,-0.0336,1.392
0.2675,0.13649,0.13186,,-0.0268,3.808
0.27,0.13649,0.1318,,-0.0144,5.44
0.2725,0.13657,0.13178,,0.0028,6.256
0.275,0.13657,0.13181,,0.0196,6.16
0.2775,0.13657,0.13189,,0.0344,5.44
0.28,0.13665,0.13199,,0.0468,4.528
0.2825,0.13665,0.13212,,0.0572,3.632
0.285,0.137,0.13228,,0.0648,2.72
0.2875,0.13723,0.13246,,0.0708,1.904
0.29,0.13723,0.13263,,0.074,1.216
0.2925,0.13723,0.13283,,0.0764,0.48
0.295,0.13716,0.13302,,0.0772,-0.272
0.2975,0.13716,0.13322,,0.0752,-1.264
0.3,0.13592,0.1334,,0.0712,-2.384
0.3025,0.13592,0.13358,,0.0636,-3.536
0.305,0.13558,0.13373,,0.0532,-4.56
0.3075,0.13558,0.13385,,0.04,-5.152
0.31,0.13529,0.13393,,0.026,-5.408
0.3125,0.13529,0.13398,,0.0128,-5.328
0.315,0.13487,0.13399,,-0.0008,-5.264
0.3175,0.13487,0.13398,,-0.0132,-5.392
