time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000093,-0.00076,-0.085,00000.00,nan,nan
  0.001526,0.00078,-0.085,00373.91,nan,nan
  0.004465,0.00078,-0.084,00634.84,nan,nan
  0.006585,0.00078,-0.084,00457.30,nan,nan
  0.009088,0.00078,-0.081,00312.04,nan,nan
  0.011585,-0.00229,-0.074,00190.99,nan,nan
  0.015845,-0.01456,-0.064,00032.28,nan,nan
  0.016583,-0.01456,-0.062,00021.52,nan,nan
  0.019089,-0.00229,-0.056,-0115.67,nan,nan
  0.021589,-0.00229,-0.050,-0053.80,nan,nan
  0.024088,-0.00689,-0.042,-0061.87,nan,nan
  0.027802,-0.00689,-0.033,-0164.09,nan,nan
  0.029090,-0.00229,-0.031,-0158.71,nan,nan
  0.031642,-0.00229,-0.027,-0104.91,nan,nan
  0.034092,-0.01150,-0.024,-0094.15,nan,nan
  0.036586,-0.01150,-0.021,-0164.09,nan,nan
  0.039088,-0.01610,-0.019,-0156.02,nan,nan
  0.041583,-0.01610,-0.018,-0177.54,nan,nan
  0.044087,-0.00383,-0.016,-0142.57,nan,nan
  0.046586,-0.00383,-0.015,-0008.07,nan,nan
  0.049089,0.01765,-0.013,00002.69,nan,nan
  0.051583,0.01765,-0.013,00156.02,nan,nan
  0.054088,-0.01150,-0.015,00147.95,nan,nan
  0.056601,-0.01150,-0.015,-0088.77,nan,nan
  0.059084,0.00231,-0.015,-0104.91,nan,nan
  0.061591,0.00231,-0.015,00029.59,nan,nan
  0.064090,0.01305,-0.013,00053.80,nan,nan
  0.066587,0.01305,-0.011,00121.05,nan,nan
  0.069091,-0.00689,-0.010,00099.53,nan,nan
  0.071584,-0.00689,-0.008,-0099.53,nan,nan
  0.074265,0.00384,-0.004,-0110.29,nan,nan
  0.076581,0.00384,-0.002,-0016.14,nan,nan
  0.079093,-0.00229,-0.001,00002.69,nan,nan
  0.081947,0.00845,00.001,-0061.87,nan,nan
  0.084089,0.00845,00.002,00002.69,nan,nan
  0.086581,0.00845,00.002,00016.14,nan,nan
  0.089083,-0.00843,00.004,00000.00,nan,nan
  0.091583,-0.00843,00.004,-0142.57,nan,nan
  0.094085,-0.01917,00.004,-0134.50,nan,nan
  0.096580,-0.01917,00.002,-0172.16,nan,nan
  0.099086,-0.01917,00.002,-0126.43,nan,nan
  0.101580,-0.01917,00.001,-0083.39,nan,nan
  0.104084,-0.00229,-0.001,-0037.66,nan,nan
  0.106581,-0.00229,-0.002,00121.05,nan,nan
  0.109085,0.00538,-0.005,00118.36,nan,nan
  0.111581,0.00538,-0.005,00166.78,nan,nan
  0.114084,0.01151,-0.007,00142.57,nan,nan
  0.116579,0.01151,-0.008,00145.26,nan,nan
  0.119085,-0.00843,-0.008,00115.67,nan,nan
  0.121584,-0.00843,-0.007,-0069.94,nan,nan
  0.124194,0.00845,-0.007,-0083.39,nan,nan
  0.126584,0.00845,-0.005,00067.25,nan,nan
  0.129090,0.00691,-0.005,00072.63,nan,nan
  0.131901,0.00691,-0.004,00024.21,nan,nan
  0.134090,0.02379,-0.004,00010.76,nan,nan
  0.136581,0.02379,-0.004,00129.12,nan,nan
  0.139089,0.00691,-0.001,00112.98,nan,nan
  0.141583,0.00691,00.001,-0037.66,nan,nan
  0.144091,0.02225,00.002,-0064.56,nan,nan
  0.146580,0.02225,00.002,00059.18,nan,nan
  0.149082,0.00231,00.005,00056.49,nan,nan
  0.151582,0.00231,00.007,-0147.95,nan,nan
  0.154089,-0.02070,00.012,-0153.33,nan,nan
  0.156582,-0.02070,00.012,-0303.97,nan,nan
  0.159082,0.02072,00.012,-0250.17,nan,nan
  0.161668,0.02072,00.012,00145.26,nan,nan
  0.164081,-0.00076,00.010,00169.47,nan,nan
  0.166578,-0.00076,00.010,-0059.18,nan,nan
  0.169089,-0.00689,00.008,-0094.15,nan,nan
  0.171583,-0.00689,00.008,-0086.08,nan,nan
  0.174121,-0.02377,00.007,-0056.49,nan,nan
  0.176582,-0.02377,00.007,-0156.02,nan,nan
  0.179088,-0.00689,00.005,-0129.12,nan,nan
  0.181583,-0.00689,00.002,00037.66,nan,nan
  0.184089,-0.02223,00.002,00072.63,nan,nan
  0.186722,-0.02223,-0.001,-0051.11,nan,nan
  0.189088,0.01918,-0.002,-0051.11,nan,nan
  0.191584,0.01918,-0.004,00306.66,nan,nan
  0.194090,-0.00536,-0.005,00303.97,nan,nan
  0.196588,-0.00536,-0.008,00026.90,nan,nan
  0.199091,0.01612,-0.008,00000.00,nan,nan
  0.201582,0.01612,-0.008,00158.71,nan,nan
  0.204081,-0.02223,-0.008,00150.64,nan,nan
  0.206578,-0.02223,-0.007,-0193.68,nan,nan
  0.209106,0.02379,-0.005,-0207.13,nan,nan
  0.211583,0.02379,-0.005,00199.06,nan,nan
  0.214088,-0.01917,-0.005,00236.72,nan,nan
  0.217168,-0.01917,-0.004,-0212.51,nan,nan
  0.219171,0.01305,-0.004,-0207.13,nan,nan
  0.221582,0.01305,-0.004,00112.98,nan,nan
  0.224091,-0.02377,-0.004,00145.26,nan,nan
