time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,0.056,-12.834225
0.0,0.00872,0.00028,,0.017818183,-7.222946
0.0025,0.00872,0.00028,,0.0048235296,-1.8368543
0.005,0.00872,0.00021,,0.0036,4.317604
0.0075,0.00132,0.00017,,0.0308,6.750118
0.01,0.00132,0.00038,,0.0588,3.504
0.0125,-0.00232,0.00058,,0.0616,-3.952
0.015,-0.00232,0.00074,,0.032,-13.008
0.0175,-0.01381,0.00076,,-0.0052,-16.384
0.02,-0.01381,0.00069,,-0.0704,-17.584
0.0225,-0.00207,0.00054,,-0.092,-16.688
0.025,-0.0062,-3e-05,,-0.1444,-13.504
0.0275,-0.0062,-3e-05,,-0.1768,-12.592
0.03,-0.0062,-0.00083,,-0.1968,-4.928
0.0325,-0.00243,-0.00127,,-0.2232,0.784
0.035,-0.00243,-0.00187,,-0.1828,7.472
0.0375,-0.01111,-0.0023,,-0.174,4.688
0.04,-0.01111,-0.0026,,-0.128,-8.304
0.0425,-0.01592,-0.00308,,-0.192,-14.144
0.045,-0.01592,-0.00308,,-0.2776,-16.8
0.0475,-0.00326,-0.00446,,-0.276,-1.248
0.05,-0.00326,-0.00538,,-0.296,18.752
0.0525,0.01713,-0.00538,,-0.1984,30.64
0.055,0.01713,-0.00632,,-0.082,37.211678
0.0575,-0.01203,-0.00647,,3.606967e-16,29.769838
0.06,-0.01203,-0.00586,,0.06994595,12.042934
0.0625,0.00156,-0.00561,,0.09775,7.7632484
0.0675,0.00156,-0.00563,,0.071777776,13.992136
0.0675,0.01235,-0.00507,,0.12372727,20.9803
0.07,0.01235,-0.00507,,0.27364707,27.521442
0.0725,-0.00674,-0.00428,,0.276,10.339936
0.075,-0.00674,-0.00321,,0.298,-11.269494
0.0775,0.00419,-0.00255,,0.2408,-17.964865
0.08,0.00419,-0.00221,,0.15037838,-16.250814
0.0825,-0.00183,-0.00177,,0.12525,-10.31507
0.0875,-0.00183,-0.00128,,0.097555555,3.4381752
0.0875,0.00793,-0.00128,,0.12754546,10.796756
0.09,0.00793,-0.00128,,0.21882352,9.846711
0.0925,-0.00826,-0.00032,,0.2128,-11.468577
0.095,-0.00826,0.00036,,0.1728,-39.457882
0.0975,-0.01972,0.00056,,0.0072,-57.52
0.1,-0.01951,0.00044,,-0.1716,-64.848
0.1025,-0.01951,-0.00027,,-0.334,-52.944
0.105,-0.00292,-0.00137,,-0.4672,-29.824
0.1075,-0.00292,-0.00271,,-0.5068,0.816
0.11,-0.00292,-0.00418,,-0.458,32.224
0.1125,0.00554,-0.0052,,-0.3284,54.512
0.115,0.00554,-0.00585,,-0.1536,66.0
0.1175,0.01194,-0.00598,,0.0224,62.672
0.12,-0.00796,-0.00571,,0.1916,45.152
0.1225,-0.00796,-0.00499,,0.2824,20.848
0.125,-0.00796,-0.00395,,0.2808,-0.256
0.1275,0.00831,-0.00333,,0.2384,-6.208
0.13,0.00831,-0.00303,,0.2104,-4.416
0.1325,0.00679,-0.00247,,0.24,7.04
0.135,0.02378,-0.00175,,0.2248,21.856
0.1375,0.02378,-0.00097,,0.3192,40.256
0.14,0.02378,-0.00097,,0.444,46.048
0.1425,0.00752,0.00113,,0.6336,23.264
0.145,0.00752,0.00275,,0.6432,-4.64
0.1475,0.02203,0.00509,,0.5104,-27.952
0.15,0.02203,0.00509,,0.4476,-24.624
0.1525,0.00292,0.00634,,0.382,-25.664
0.155,0.00292,0.00772,,0.3996,-47.12
0.1575,-0.02015,0.00855,,0.2136,-67.488
0.16,0.02077,0.00898,,-0.0572,-70.512
0.1625,0.02077,0.00838,,-0.2332,-38.896
0.165,0.02077,0.00709,,-0.2584,-0.944
0.1675,-0.0015,0.00658,,-0.172,13.424
0.17,-0.00647,0.00665,,-0.0996,2.144
0.1725,-0.00647,0.00645,,-0.1448,-21.28
0.175,-0.00647,0.00591,,-0.2452,-41.296
0.1775,-0.0243,0.00514,,-0.3652,-47.984
0.18,-0.0243,0.00424,,-0.5056,-42.704
0.1825,-0.00722,0.00272,,-0.6144,-27.584
0.185,-0.00722,0.0008,,-0.6544,-9.616
0.1875,-0.02215,-0.00082,,-0.6356,7.968
0.19,-0.02215,-0.00217,,-0.6152,28.912
0.1925,0.01984,-0.00374,,-0.5344,53.424
0.195,-0.00523,-0.00543,,-0.3436,72.976
0.1975,-0.00523,-0.00587,,-0.1036,73.584
0.2,0.01641,-0.0054,,0.0816,58.608
