time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.004,2.1176472
0.0025,0.00132,-2e-05,,-0.004,3.028877
0.005,0.00132,-2e-05,,0.0012941177,4.144775
0.0075,0.00132,-3e-05,,0.0116,5.452235
0.01,0.00132,1e-05,,0.0288,6.6324706
0.0125,-0.00232,0.00011,,0.0504,5.6
0.015,-0.00232,0.00027,,0.0648,0.88
0.0175,-0.01381,0.00047,,0.0636,-7.408
0.02,-0.01381,0.00064,,0.0332,-18.064
0.0225,-0.00207,0.00072,,-0.0264,-26.736
0.025,-0.00207,0.00056,,-0.116,-29.088
0.0275,-0.0062,0.00018,,-0.196,-24.032
0.03,-0.00243,-0.00054,,-0.2456,-8.611892
0.0325,-0.00243,-0.00118,,-0.262,1.6213099
0.035,-0.01111,-0.00183,,-0.19064865,4.0656147
0.0375,-0.01111,-0.00245,,-0.2032093,3.7632625
0.0425,-0.01111,-0.00288,,-0.20709091,0.53876305
0.045,-0.00326,-0.00404,,-0.18608695,5.5868425
0.045,-0.00326,-0.00404,,-0.18892308,6.7556195
0.0475,-0.00326,-0.00404,,-0.13564706,-1.961091
0.05,-0.00326,-0.00456,,-0.1692,-1.1082715
0.0525,0.01713,-0.00509,,-0.2084,4.691765
0.055,-0.01203,-0.00563,,-0.1664,21.456
0.0575,-0.01203,-0.00611,,-0.0784,35.312
0.06,-0.01203,-0.00613,,0.034,36.288
0.0625,0.00156,-0.00582,,0.1328,28.24
0.065,0.00156,-0.00535,,0.1816,15.968
0.0675,0.01235,-0.00484,,0.2008,4.88
0.07,-0.00674,-0.00435,,0.1996,-1.12
0.0725,-0.00674,-0.00381,,0.1848,-3.008
0.075,-0.00674,-0.00337,,0.1756,-1.856
0.0775,0.00419,-0.00302,,0.1752,-0.192
0.08,0.00419,-0.00255,,0.1812,-2.224
0.0825,-0.00183,-0.00203,,0.1796,-7.952
0.085,-0.00183,-0.0016,,0.1456,-13.232
0.0875,0.00793,-0.00125,,0.0936,-13.936
0.09,-0.00826,-0.00112,,0.0588,-9.312
0.0925,-0.00826,-0.0011,,0.0488,-5.28
0.095,-0.00826,-0.00094,,0.0516,-8.416
0.0975,-0.01972,-0.00073,,0.0312,-18.896
0.1,-0.01951,-0.00066,,-0.0376,-33.04
0.1025,-0.01951,-0.00085,,-0.1428,-44.672
0.105,-0.01951,-0.00135,,-0.2744,-48.368
0.1075,-0.00292,-0.00217,,-0.4088,-40.624
0.11,-0.00292,-0.00343,,-0.5092,-19.76
0.1125,0.00554,-0.00492,,-0.5332,10.192
0.115,0.01194,-0.00634,,-0.4592,41.264
0.1175,0.01194,-0.00738,,-0.3064,64.464
0.12,-0.00796,-0.00794,,-0.1068,73.584
0.1225,-0.00796,-0.00795,,0.0964,67.696
0.125,-0.00796,-0.00739,,0.2592,50.032
0.1275,0.00831,-0.00645,,0.3568,27.984
0.13,0.00831,-0.00545,,0.3884,9.056
0.1325,0.00679,-0.00446,,0.3816,-2.384
0.135,0.00679,-0.00353,,0.36,-3.984
0.1375,0.02378,-0.00264,,0.3412,11.696
0.14,0.00752,-0.00186,,0.3588,22.304
0.1425,0.00752,-0.00103,,0.5284,23.136
0.145,0.00752,0.00015,,0.5452,10.56
0.1475,0.02203,0.00296,,0.5372,-12.144
0.15,0.00292,0.00296,,0.4864,-11.712
0.1525,0.00292,0.00428,,0.406,-14.704
0.155,0.00292,0.00557,,0.4644,-23.616
0.1575,-0.02015,0.00673,,0.3644,-39.312
0.16,-0.02015,0.00754,,0.212,-58.32
0.1625,0.02077,0.00785,,0.0408,-57.648
0.165,-0.0015,0.00766,,-0.1028,-45.68
0.1675,-0.0015,0.00718,,-0.1988,-28.624
0.17,-0.0015,0.00659,,-0.2392,-12.24
0.1725,-0.00647,0.0059,,-0.2488,-0.176
0.175,-0.00647,0.00531,,-0.2308,-7.248
0.1775,-0.0243,0.00471,,-0.2052,-15.872
0.18,-0.0243,0.0043,,-0.3516,-25.888
0.1825,-0.00722,0.00384,,-0.3868,-29.536
0.185,-0.00722,0.00135,,-0.4636,-17.936
0.1875,-0.02215,0.00135,,-0.5184,-20.256
0.19,0.01984,-0.00025,,-0.51,-9.632
0.1925,0.01984,-0.00184,,-0.6168,9.824
0.195,-0.00523,-0.00343,,-0.5348,34.784
0.1975,-0.00523,-0.00477,,-0.3832,62.096
0.2,-0.00523,-0.00547,,-0.192,68.32
0.2025,0.01641,-0.00561,,-0.012,63.776
0.205,-0.02286,-0.00541,,0.1336,50.08
0.2075,-0.02286,-0.00495,,0.2512,29.728
0.21,0.02362,-0.00413,,0.3024,7.136
0.2125,0.02362,-0.00311,,0.2752,-11.184
0.215,-0.01886,-0.00255,,0.2108,-18.832
0.2175,-0.01886,-0.0023,,0.1572,-19.04
0.22,0.01304,-0.0019,,0.126,-17.248
0.2225,0.01304,-0.00147,,0.0796,-14.656
0.225,0.01304,-0.00139,,0.034,-12.08
0.2275,-0.02371,-0.00156,,0.02,-11.376
0.23,0.01914,-0.00143,,0.0048,-14.528
0.2325,0.01914,-0.0012,,-0.048,-17.152
0.235,-0.02325,-0.00151,,-0.1136,-13.312
0.2375,-0.02325,-0.00212,,-0.1352,-5.84
0.24,0.00958,-0.00239,,-0.118,-1.264
0.2425,0.00958,-0.00245,,-0.1188,-0.464
0.245,0.00958,-0.00282,,-0.1376,0.272
0.2475,-0.01397,-0.00339,,-0.1312,2.256
0.25,-0.01397,-0.00364,,-0.1084,3.76
0.2525,0.0162,-0.00368,,-0.1052,6.304
0.255,0.00119,-0.00403,,-0.1036,14.048
0.2575,0.00119,-0.00451,,-0.0548,24.928
0.26,0.00811,-0.00452,,0.042,31.408
0.2625,0.00811,-0.00412,,0.1336,29.632
0.265,-0.01062,-0.0037,,0.1948,21.312
0.2675,-0.01062,-0.00325,,0.2392,9.184
0.27,0.00256,-0.00252,,0.2556,-5.84
0.2725,0.00256,-0.00172,,0.218,-20.544
0.275,0.00256,-0.00127,,0.1324,-28.88
0.2775,-0.00261,-0.00115,,0.044,-28.432
0.28,0.00421,-0.00115,,-0.0184,-21.424
0.2825,0.00421,-0.00123,,-0.062,-12.192
0.285,-0.01066,-0.00146,,-0.0824,-4.064
0.2875,-0.01066,-0.00177,,-0.0764,1.264
0.29,0.01096,-0.00191,,-0.062,2.464
0.2925,0.01096,-0.00196,,-0.0564,1.456
0.295,0.01096,-0.00214,,-0.0616,1.04
0.2975,-0.0111,-0.00236,,-0.0584,0.192
0.3,-0.02075,-0.00248,,-0.048,-3.904
0.3025,-0.02075,-0.00252,,-0.0608,-12.848
0.305,-0.02437,-0.00266,,-0.1092,-25.456
0.3075,-0.02437,-0.00303,,-0.1884,-37.872
0.31,-0.02452,-0.00359,,-0.3024,-46.768
0.3125,-0.02452,-0.00441,,-0.4376,-47.792
0.315,0.01276,-0.00575,,-0.5692,-35.408
0.3175,0.01276,-0.00742,,-0.6524,-9.04
0.32,0.0184,-0.0092,,-0.6376,27.264
0.3225,0.0184,-0.01084,,-0.5164,63.728
0.325,-0.01584,-0.01201,,-0.2964,88.72
0.3275,-0.01584,-0.01247,,-0.0264,95.12
