time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,-0.248,43.657753
0.0025,0.00872,-0.00124,,-0.12981819,41.515995
0.005,0.00872,-0.00124,,-0.07976471,31.909103
0.0075,0.00132,-0.00121,,0.0176,19.400043
0.01,0.00132,-0.00118,,0.0328,14.237177
0.0125,0.00132,-0.00105,,0.0564,7.44
0.015,-0.00232,-0.00091,,0.0788,5.184
0.0175,-0.00232,-0.00064,,0.0876,-0.224
0.02,-0.01381,-0.0004,,0.082,-6.608
0.0225,-0.00207,-0.00021,,0.052,-11.712
0.025,-0.00207,-1e-04,,0.014,-14.496
0.0275,-0.00207,-0.00014,,-0.0248,-14.48
0.03,-0.0062,-0.00026,,-0.0608,-13.264
0.0325,-0.0062,-0.00044,,-0.0916,-11.328
0.035,-0.00243,-0.00071,,-0.1184,-9.264
0.0375,-0.00243,-0.00106,,-0.1376,-7.808
0.04,-0.01111,-0.00143,,-0.1536,-7.856
0.0425,-0.01592,-0.0018,,-0.1716,-9.808
0.045,-0.01592,-0.00226,,-0.1996,-11.488
0.0475,-0.01592,-0.00279,,-0.2372,-10.752
0.05,-0.00326,-0.00343,,-0.2644,-4.656
0.0525,0.01713,-0.00418,,-0.2736,7.232
0.055,0.01713,-0.00487,,-0.2396,19.872
0.0575,-0.01203,-0.00549,,-0.1592,28.032
0.06,-0.01203,-0.00577,,-0.0732,27.52
0.0625,-0.01203,-0.00572,,-0.0064,20.56
0.065,0.00156,-0.00567,,0.028,14.88
0.0675,0.00156,-0.00562,,0.0472,14.224
0.07,0.01235,-0.00547,,0.086,16.704
0.0725,-0.00674,-0.00523,,0.1424,17.312
0.075,-0.00674,-0.00479,,0.1892,12.736
0.0775,0.00419,-0.00418,,0.212,5.328
0.08,0.00419,-0.00363,,0.2104,-0.576
0.0825,0.00419,-0.00316,,0.1984,-3.84
0.085,-0.00183,-0.00267,,0.1888,-5.072
0.0875,0.00793,-0.00218,,0.1748,-5.104
0.09,0.00793,-0.00176,,0.1588,-5.008
0.0925,-0.00826,-0.00143,,0.1496,-5.664
0.095,-0.00826,-0.00106,,0.1388,-9.552
0.0975,-0.01972,-0.00066,,0.114,-17.472
0.1,-0.01972,-0.00041,,0.0572,-26.864
0.1025,-0.01951,-0.00033,,-0.028,-34.688
0.105,-0.01951,-0.00051,,-0.126,-37.152
0.1075,-0.01951,-0.00096,,-0.228,-33.104
0.11,-0.00292,-0.00167,,-0.3072,-22.752
0.1125,-0.00292,-0.0026,,-0.3512,-7.712
0.115,0.00554,-0.00353,,-0.3488,8.368
0.1175,0.00554,-0.00442,,-0.3036,23.04
0.12,0.01194,-0.00512,,-0.2264,32.544
0.1225,0.01194,-0.0056,,-0.1244,34.768
0.125,-0.00796,-0.00577,,-0.0316,30.608
0.1275,0.00831,-0.00565,,0.0336,23.392
0.13,0.00831,-0.00549,,0.0772,18.56
0.1325,0.00831,-0.00532,,0.1136,17.504
0.135,0.00679,-0.00497,,0.1604,18.928
0.1375,0.00679,-0.00449,,0.2108,21.76
0.14,0.02378,-0.0039,,0.2652,24.416
0.1425,0.02378,-0.00322,,0.3332,24.8
0.145,0.00752,-0.00229,,0.4044,21.552
0.1475,0.02203,-0.00113,,0.4512,15.52
0.15,0.02203,0.00011,,0.4756,8.912
0.1525,0.00292,0.00122,,0.4916,3.296
0.155,0.00292,0.00248,,0.4956,-5.712
0.1575,0.00292,0.00383,,0.4824,-20.496
0.16,-0.02015,0.005,,0.4088,-35.728
0.1625,-0.02015,0.00599,,0.2788,-44.144
0.165,0.02077,0.00651,,0.1508,-40.608
0.1675,-0.0015,0.00656,,0.0596,-29.44
0.17,-0.0015,0.0066,,0.0108,-20.784
0.1725,-0.00647,0.00669,,-0.0192,-15.12
0.175,-0.00647,0.00658,,-0.0696,-18.896
0.1775,-0.00647,0.00633,,-0.0892,-28.192
0.18,-0.0243,0.00591,,-0.1904,-37.808
0.1825,-0.0243,0.00591,,-0.3112,-44.896
0.185,-0.00722,0.00441,,-0.4312,-36.4
0.1875,-0.00722,0.00319,,-0.53,-25.344
0.19,-0.02215,0.00188,,-0.536,-13.632
0.1925,0.01984,0.00055,,-0.5756,-1.04
0.195,0.01984,-0.00097,,-0.5788,12.272
0.1975,0.01984,-0.00258,,-0.5216,30.064
0.2,-0.00523,-0.00379,,-0.4096,41.008
0.2025,0.01641,-0.00456,,-0.2844,43.296
0.205,0.01641,-0.0051,,-0.1848,38.672
0.2075,-0.02286,-0.00548,,-0.0928,30.064
0.21,-0.02286,-0.00564,,-0.022,21.424
0.2125,-0.02286,-0.00545,,0.01,15.2
0.215,0.02362,-0.00539,,0.0316,14.128
0.2175,0.02362,-0.00548,,0.0704,15.264
0.22,-0.01886,-0.00523,,0.1244,12.704
0.2225,0.01304,-0.00465,,0.1544,6.624
0.225,0.01304,-0.00425,,0.1484,0.56
0.2275,0.01304,-0.00404,,0.1412,-4.064
0.23,-0.02371,-0.00368,,0.138,-7.888
0.2325,0.01914,-0.00317,,0.1088,-10.464
0.235,0.01914,-0.00296,,0.066,-9.6
0.2375,0.01914,-0.00304,,0.0464,-6.56
0.24,-0.02325,-0.00292,,0.0492,-6.08
0.2425,-0.02325,-0.00261,,0.0352,-8.64
0.245,0.00958,-0.00256,,-0.0044,-9.936
0.2475,0.00958,-0.00278,,-0.0348,-7.824
0.25,-0.01397,-0.00289,,-0.04,-4.08
0.2525,-0.01397,-0.00288,,-0.0448,-0.288
0.255,0.0162,-0.00301,,-0.0504,4.816
0.2575,0.0162,-0.00328,,-0.0332,11.808
0.26,0.00119,-0.00332,,0.0144,17.04
0.2625,0.00119,-0.00314,,0.0704,18.032
0.265,0.00811,-0.0029,,0.1108,14.784
0.2675,0.00811,-0.00261,,0.144,8.752
0.27,-0.01062,-0.0022,,0.1624,1.488
0.2725,-0.01062,-0.00169,,0.154,-5.872
0.275,0.00256,-0.00133,,0.1244,-10.352
0.2775,0.00256,-0.00112,,0.0896,-11.104
0.28,-0.00261,-0.00093,,0.0652,-9.6
0.2825,-0.00261,-0.00077,,0.0448,-7.456
0.285,0.00421,-0.00069,,0.0268,-6.064
0.2875,0.00421,-0.00068,,0.0156,-6.032
0.29,-0.01066,-0.00064,,0.004,-6.8
0.2925,-0.01066,-0.0006,,-0.0192,-6.432
0.295,0.01096,-0.00068,,-0.0408,-3.904
0.2975,0.01096,-0.0009,,-0.0424,-0.72
0.3,-0.0111,-0.001,,-0.0332,-1.696
0.3025,-0.0111,-0.00097,,-0.032,-8.752
0.305,-0.02075,-0.00106,,-0.0672,-18.768
0.3075,-0.02075,-0.00127,,-0.1348,-27.984
0.31,-0.02437,-0.00169,,-0.2164,-33.2
0.3125,-0.02437,-0.00234,,-0.3072,-34.512
0.315,-0.02452,-0.00323,,-0.396,-30.192
0.3175,-0.02452,-0.00434,,-0.4764,-17.84
0.32,0.01276,-0.00564,,-0.5092,2.608
0.3225,0.0184,-0.00709,,-0.4736,27.76
0.325,0.0184,-0.00822,,-0.3648,47.136
0.3275,-0.01584,-0.00897,,-0.2016,53.824
0.33,-0.01584,-0.00926,,-0.056,47.488
0.3325,0.0043,-0.00909,,0.0448,34.24
0.335,0.0043,-0.00886,,0.1056,23.616
0.3375,-0.0017,-0.00861,,0.1456,17.792
0.34,-0.0017,-0.00818,,0.1888,13.6
0.3425,-0.00904,-0.00761,,0.2256,7.792
0.345,-0.00904,-0.007,,0.2356,1.104
0.3475,-0.00904,-0.00638,,0.2196,-2.576
0.35,0.01247,-0.00585,,0.2056,-0.896
0.3525,0.00534,-0.00544,,0.2084,4.112
0.355,0.00534,-0.0049,,0.23,8.864
0.3575,0.02371,-0.00425,,0.2588,12.912
0.36,0.02371,-0.00357,,0.2912,15.504
0.3625,0.02371,-0.00287,,0.3392,15.024
0.365,-0.00317,-0.00195,,0.3836,9.488
0.3675,0.00656,-0.00082,,0.4004,-0.464
0.37,0.00656,0.0002,,0.3792,-10.848
0.3725,-0.01056,0.00106,,0.3356,-19.376
0.375,-0.01056,0.00185,,0.2804,-25.056
0.3775,0.01068,0.00255,,0.2076,-27.36
0.38,0.01068,0.00296,,0.13,-25.2
0.3825,0.00278,0.0031,,0.0688,-19.072
0.385,0.00278,0.0032,,0.0348,-13.664
0.3875,0.00278,0.00329,,0.0168,-12.704
0.39,-0.01303,0.0033,,-0.0148,-15.952
0.3925,-0.00467,0.00326,,-0.0652,-19.872
0.395,-0.00467,0.00303,,-0.1236,-19.904
0.3975,0.00034,0.00261,,-0.1772,-15.36
0.4,0.00034,0.00208,,-0.2076,-8.88
0.4025,-0.0073,0.00152,,-0.2152,-3.584
0.405,-0.0073,0.00098,,-0.2156,0.688
0.4075,0.02336,0.00047,,-0.218,6.96
0.41,0.02336,-9e-05,,-0.1976,15.104
0.4125,-0.01596,-0.00067,,-0.1372,20.768
0.415,-0.01596,-0.00092,,-0.0672,17.376
0.4175,-0.01532,-0.00083,,-0.0236,4.912
0.42,-0.01532,-0.00085,,-0.0372,-8.32
