time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000468,-0.00076,-0.016,00000.00,nan,nan
  0.001979,-0.03757,-0.016,00069.94,nan,nan
  0.004550,-0.03757,-0.016,-0166.78,nan,nan
  0.007431,-0.03757,-0.016,-0174.85,nan,nan
  0.009717,-0.03757,-0.018,-0126.43,nan,nan
  0.012043,-0.03757,-0.018,-0080.70,nan,nan
  0.014813,-0.03757,-0.019,-0051.11,nan,nan
  0.017303,-0.03757,-0.021,-0029.59,nan,nan
  0.019607,-0.03757,-0.022,-0018.83,nan,nan
  0.022291,-0.03757,-0.025,00000.00,nan,nan
  0.024682,-0.03757,-0.025,00010.76,nan,nan
  0.027038,-0.03757,-0.027,00010.76,nan,nan
  0.029548,-0.03757,-0.028,00018.83,nan,nan
  0.032044,-0.03757,-0.030,00024.21,nan,nan
  0.034541,-0.03757,-0.031,00013.45,nan,nan
  0.037039,-0.03757,-0.031,00037.66,nan,nan
  0.039542,-0.03757,-0.033,00034.97,nan,nan
  0.042043,-0.03757,-0.035,00032.28,nan,nan
  0.044544,-0.03757,-0.036,00043.04,nan,nan
  0.047042,-0.03757,-0.036,00045.73,nan,nan
  0.049543,-0.03757,-0.036,00045.73,nan,nan
  0.052163,-0.03757,-0.036,00032.28,nan,nan
  0.054545,-0.03757,-0.036,00021.52,nan,nan
  0.057043,-0.03757,-0.036,00013.45,nan,nan
  0.059547,-0.03757,-0.036,00005.38,nan,nan
  0.062041,-0.03757,-0.036,00000.00,nan,nan
  0.064545,-0.03757,-0.036,00000.00,nan,nan
  0.067038,-0.03757,-0.036,00000.00,nan,nan
  0.069577,-0.03757,-0.036,00000.00,nan,nan
  0.072075,-0.03757,-0.036,00000.00,nan,nan
  0.074573,-0.03757,-0.036,00000.00,nan,nan
  0.077055,-0.03757,-0.036,00000.00,nan,nan
  0.079552,-0.03757,-0.036,00000.00,nan,nan
  0.082041,-0.03757,-0.036,00000.00,nan,nan
  0.084527,-0.03757,-0.036,00000.00,nan,nan
  0.087015,-0.03757,-0.036,00000.00,nan,nan
  0.089541,-0.03757,-0.038,00000.00,nan,nan
  0.092040,-0.03757,-0.036,00000.00,nan,nan
  0.094540,-0.03757,-0.038,00000.00,nan,nan
  0.097040,-0.03757,-0.036,00000.00,nan,nan
  0.099540,-0.03757,-0.036,00000.00,nan,nan
  0.102039,-0.03757,-0.036,00000.00,nan,nan
  0.104541,-0.03757,-0.036,00000.00,nan,nan
  0.107041,-0.03757,-0.036,00000.00,nan,nan
  0.109541,-0.03757,-0.038,00000.00,nan,nan
  0.112040,-0.03757,-0.036,00000.00,nan,nan
  0.114541,-0.03757,-0.036,00000.00,nan,nan
  0.117041,-0.03757,-0.036,00000.00,nan,nan
  0.119541,-0.03757,-0.036,00000.00,nan,nan
  0.122040,-0.03757,-0.036,00000.00,nan,nan
  0.124543,-0.03757,-0.036,00000.00,nan,nan
  0.127041,-0.03757,-0.036,00000.00,nan,nan
  0.129540,-0.03757,-0.036,00000.00,nan,nan
  0.132042,-0.03757,-0.038,00000.00,nan,nan
  0.134543,-0.03757,-0.036,00000.00,nan,nan
  0.137040,-0.03757,-0.036,00000.00,nan,nan
  0.139542,-0.03757,-0.036,00000.00,nan,nan
  0.142026,-0.03757,-0.036,00000.00,nan,nan
  0.144544,-0.03757,-0.038,00000.00,nan,nan
  0.147041,-0.03757,-0.038,00000.00,nan,nan
  0.149543,-0.03757,-0.038,00000.00,nan,nan
  0.152040,-0.03757,-0.038,00000.00,nan,nan
  0.154543,-0.03757,-0.036,00000.00,nan,nan
  0.157042,-0.03757,-0.036,00000.00,nan,nan
  0.159545,-0.03757,-0.038,00000.00,nan,nan
  0.162041,-0.03757,-0.036,00000.00,nan,nan
  0.164542,-0.03757,-0.036,00000.00,nan,nan
  0.167041,-0.03757,-0.036,00000.00,nan,nan
  0.169544,-0.03757,-0.036,00000.00,nan,nan
  0.172213,-0.03757,-0.036,00000.00,nan,nan
  0.174545,-0.03757,-0.036,00000.00,nan,nan
  0.177045,-0.03757,-0.036,00000.00,nan,nan
  0.179546,-0.03757,-0.038,00000.00,nan,nan
  0.182041,-0.03757,-0.036,00000.00,nan,nan
  0.184546,-0.03757,-0.036,00000.00,nan,nan
  0.187044,-0.03757,-0.038,00000.00,nan,nan
  0.189546,-0.03757,-0.038,00000.00,nan,nan
  0.192044,-0.03757,-0.036,00000.00,nan,nan
  0.194583,-0.03757,-0.038,00000.00,nan,nan
  0.197071,-0.03757,-0.036,00000.00,nan,nan
