time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,0.0,-28.24091
0.0,-0.03777,0.0,,0.0,-30.453781
0.0025,-0.03777,0.0,,-0.0035,-26.394728
0.005,-0.03777,0.0,,-0.154625,-31.155655
0.0075,-0.03777,0.0,,-0.21928571,-35.196533
0.01,-0.03777,-5e-05,,-0.23067214,-41.254032
0.0125,-0.03777,-0.00306,,-0.41652173,-48.353416
0.015,-0.03777,-0.00306,,-0.52055556,-62.215588
0.02,-0.03777,-0.00306,,-0.7511089,-73.156845
0.02,-0.03777,-0.00817,,-0.9305319,-61.13948
0.0225,-0.03777,-0.00817,,-1.1936092,-44.183823
0.025,-0.03777,-0.01386,,-1.341225,-9.778223
0.0275,-0.03777,-0.01663,,-1.1395714,14.133212
0.03,-0.03777,-0.01926,,-1.1228571,35.373352
0.0325,-0.03777,-0.0217,,-0.92957145,42.793316
0.035,-0.03777,-0.02394,,-0.8495714,37.91633
0.0375,-0.03777,-0.02596,,-0.766,36.993877
0.04,-0.03777,-0.02777,,-0.68285716,31.07551
0.0425,-0.03777,-0.02936,,-0.6027143,29.353062
0.045,-0.03777,-0.03075,,-0.53314286,27.140816
0.0475,-0.03777,-0.03196,,-0.46985716,24.916327
0.05,-0.03777,-0.03301,,-0.412,23.034695
0.0525,-0.03777,-0.03404,,-0.35757142,21.714285
0.055,-0.03777,-0.03486,,-0.30528572,20.410204
0.0575,-0.03777,-0.03554,,-0.25457144,18.928572
0.06,-0.03777,-0.03609,,-0.20557143,17.132652
0.0625,-0.03777,-0.03653,,-0.16557142,15.034694
0.065,-0.03777,-0.03688,,-0.13157143,12.767347
0.0675,-0.03777,-0.03716,,-0.103285715,10.577551
0.07,-0.03777,-0.03738,,-0.08,8.746939
0.0725,-0.03777,-0.03754,,-0.061142858,7.144898
0.075,-0.03777,-0.03766,,-0.045571428,5.789796
0.0775,-0.03777,-0.03775,,-0.032857142,4.6551023
0.08,-0.03777,-0.03782,,-0.023285715,3.7163265
0.0825,-0.03777,-0.03786,,-0.015428571,2.9163265
0.085,-0.03777,-0.03788,,-0.0092857145,2.2469387
0.0875,-0.03777,-0.0379,,-0.0044285716,1.7285714
0.09,-0.03777,-0.0379,,-0.0011428571,1.2836735
0.0925,-0.03777,-0.0379,,0.0011428571,0.9183673
0.095,-0.03777,-0.03789,,0.0032857142,0.59591836
0.0975,-0.03777,-0.03788,,0.004285714,0.59387755
0.1,-0.03777,-0.03787,,0.004857143,0.8734694
0.1025,-0.03777,-0.03785,,0.0044285716,1.2816327
0.105,-0.03777,-0.03784,,0.01,1.6714286
0.1075,-0.03777,-0.03783,,0.017,1.7918367
0.11,-0.03777,-0.03783,,0.023,1.444898
0.1125,-0.03777,-0.03768,,0.027,0.4122449
0.115,-0.03777,-0.03759,,0.027285714,-0.71428573
0.1175,-0.03777,-0.03753,,0.023285715,-1.6265306
0.12,-0.03777,-0.03749,,0.014,-2.1591837
0.1225,-0.03777,-0.03747,,0.0075714285,-2.2163265
0.125,-0.03777,-0.03746,,0.0024285715,-1.8877552
0.1275,-0.03777,-0.03746,,-0.0015714286,-1.3591837
0.13,-0.03777,-0.03747,,-0.004,-0.9510204
0.1325,-0.03777,-0.03749,,-0.0057142857,-0.59591836
0.135,-0.03777,-0.03751,,-0.006714286,-0.32857144
0.1375,-0.03777,-0.03752,,-0.007142857,-0.15102041
0.14,-0.03777,-0.03754,,-0.006857143,-0.026530612
0.1425,-0.03777,-0.03756,,-0.006857143,0.053061225
0.145,-0.03777,-0.03758,,-0.006714286,0.09795918
0.1475,-0.03777,-0.03759,,-0.0064285714,0.114285715
0.15,-0.03777,-0.03761,,-0.006,0.14489795
0.1525,-0.03777,-0.03762,,-0.0055714287,0.15714286
0.155,-0.03777,-0.03764,,-0.0052857143,0.17959183
0.1575,-0.03777,-0.03765,,-0.0047142855,0.20408164
0.16,-0.03777,-0.03766,,-0.0044285716,0.22040816
