time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0025,0.0,0.0,,0.036727272,-27.045488
0.0025,-0.03777,0.00032,,-0.00023529412,-30.81019
0.005,-0.03777,0.00032,,-0.0529,-36.773636
0.0075,-0.03777,0.00033,,-0.116275,-42.951546
0.01,-0.03777,1e-04,,-0.22085714,-49.241905
0.0125,-0.03777,-0.00054,,-0.37157142,-58.222958
0.015,-0.03777,-0.00162,,-0.5508571,-62.418827
0.0175,-0.03777,-0.00325,,-0.73214287,-59.19388
0.02,-0.03777,-0.00539,,-0.89085716,-48.691837
0.0225,-0.03777,-0.00796,,-1.0058571,-33.114285
0.025,-0.03777,-0.01078,,-1.0658572,-15.618367
0.0275,-0.03777,-0.01365,,-1.0731429,0.777551
0.03,-0.03777,-0.01636,,-1.0378572,13.828571
0.0325,-0.03777,-0.01891,,-0.9761429,22.708164
0.035,-0.03777,-0.02127,,-0.90185714,27.722448
0.0375,-0.03777,-0.02343,,-0.8248571,29.810204
0.04,-0.03777,-0.0254,,-0.74685717,30.046938
0.0425,-0.03777,-0.02716,,-0.67071426,29.244898
0.045,-0.03777,-0.02873,,-0.59757143,27.865307
0.0475,-0.03777,-0.03012,,-0.5292857,26.05306
0.05,-0.03777,-0.03135,,-0.4662857,24.020409
0.0525,-0.03777,-0.03242,,-0.40885714,21.887754
0.055,-0.03777,-0.03337,,-0.3572857,19.781633
0.0575,-0.03777,-0.03418,,-0.31057143,17.732653
0.06,-0.03777,-0.03489,,-0.269,15.802041
0.0625,-0.03777,-0.03551,,-0.232,14.022449
0.065,-0.03777,-0.03603,,-0.19985715,12.359183
0.0675,-0.03777,-0.03648,,-0.17128572,10.846939
0.07,-0.03777,-0.03687,,-0.146,9.485714
0.0725,-0.03777,-0.0372,,-0.12442857,8.520409
0.075,-0.03777,-0.03748,,-0.10557143,7.997959
0.0775,-0.03777,-0.03771,,-0.08914286,7.857143
0.08,-0.03777,-0.03791,,-0.06928571,7.9612246
0.0825,-0.03777,-0.03808,,-0.047571428,8.008163
0.085,-0.03777,-0.03822,,-0.026,7.6612244
0.0875,-0.03777,-0.0382,,-0.0055714287,6.571429
0.09,-0.03777,-0.03816,,0.011142857,5.0612245
0.0925,-0.03777,-0.03811,,0.022,3.432653
0.095,-0.03777,-0.03804,,0.025285713,1.9326531
0.0975,-0.03777,-0.03797,,0.027142856,0.78979594
0.1,-0.03777,-0.0379,,0.027571429,0.071428575
0.1025,-0.03777,-0.03783,,0.026857143,-0.30204082
0.105,-0.03777,-0.03776,,0.025571428,-0.5877551
0.1075,-0.03777,-0.0377,,0.023571428,-0.7714286
0.11,-0.03777,-0.03764,,0.021285715,-0.8816326
0.1125,-0.03777,-0.03759,,0.018714286,-0.9244898
0.115,-0.03777,-0.03755,,0.016428571,-0.89591837
0.1175,-0.03777,-0.03751,,0.014,-0.8658749
0.12,-0.03777,-0.03748,,0.012,-0.7620946
0.1225,-0.03777,-0.03745,,0.010428571,-0.64995
0.125,-0.03777,-0.03743,,0.008081967,-0.47928983
