time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,-0.034909092,-34.038475
0.0,-0.03777,-0.00032,,-0.022588234,-40.31582
0.0025,-0.03777,-0.00032,,-0.0958,-58.043205
0.005,-0.03777,-0.00032,,-0.20255,-65.01933
0.0075,-0.03777,-0.00032,,-0.3397143,-69.88285
0.01,-0.03777,-0.00146,,-0.67457145,-70.84796
0.0125,-0.03777,-0.00339,,-0.85157144,-61.22949
0.015,-0.03777,-0.00582,,-0.992,-42.112244
0.0175,-0.03777,-0.01137,,-1.052,-16.05306
0.02,-0.03777,-0.01137,,-1.0505714,-3.4265306
0.0225,-0.03777,-0.0142,,-1.0048572,6.687755
0.025,-0.03777,-0.01695,,-0.92742854,13.15102
0.0275,-0.03777,-0.01954,,-0.9902857,17.534695
0.03,-0.03777,-0.02196,,-0.91814286,21.310204
0.0325,-0.03777,-0.02417,,-0.8382857,25.7
0.035,-0.03777,-0.02616,,-0.7555714,31.84694
0.0375,-0.03777,-0.02794,,-0.67285717,31.538776
0.04,-0.03777,-0.02951,,-0.5935714,30.57551
0.0425,-0.03777,-0.03088,,-0.5187143,29.27347
0.045,-0.03777,-0.03207,,-0.44928572,27.734694
0.0475,-0.03777,-0.0331,,-0.38042858,25.944899
0.05,-0.03777,-0.03397,,-0.31557143,23.740816
0.0525,-0.03777,-0.03471,,-0.25714287,20.99796
0.055,-0.03777,-0.0352,,-0.20714286,17.634693
0.0575,-0.03777,-0.03562,,-0.16728571,14.214286
0.06,-0.03777,-0.03598,,-0.13757142,11.157143
0.0625,-0.03777,-0.03629,,-0.11757143,8.722449
0.065,-0.03777,-0.03656,,-0.10014286,6.9959183
0.0675,-0.03777,-0.03679,,-0.084714286,5.8693876
0.07,-0.03777,-0.03697,,-0.07114286,5.0346937
0.0725,-0.03777,-0.03713,,-0.059285715,4.3408165
0.075,-0.03777,-0.03726,,-0.049142856,3.7469387
0.0775,-0.03777,-0.03737,,-0.04257143,3.2653062
0.08,-0.03777,-0.03746,,-0.034285713,2.9655738
0.0825,-0.03777,-0.03753,,-0.027428571,2.6447687
0.085,-0.03777,-0.03763,,-0.021142857,2.3442152
0.0875,-0.03777,-0.03763,,-0.013803279,1.6100782
0.09,-0.03777,-0.03767,,-0.010991304,1.2886081
0.0925,-0.03777,-0.03769,,-0.007944444,0.9751724
0.0975,-0.03777,-0.03771,,-0.0073069306,0.72114336
0.0975,-0.03777,-0.03774,,-0.0053617023,0.6514184
0.1,-0.03777,-0.03774,,-0.0038390805,0.5561778
0.1025,-0.03777,-0.03774,,-0.0021,0.49960533
0.105,-0.03777,-0.03775,,-0.00085714285,0.34702626
0.1075,-0.03777,-0.03775,,-0.0007142857,0.24902181
0.11,-0.03777,-0.03775,,-0.00042857142,0.16755103
0.1125,-0.03777,-0.03775,,-2.3058606e-15,0.12653062
0.115,-0.03777,-0.03775,,0.00042857142,0.114285715
0.1175,-0.03777,-0.03775,,0.0007142857,0.09795918
0.12,-0.03777,-0.03775,,0.00085714285,0.071428575
0.1225,-0.03777,-0.03774,,0.00085714285,0.03469388
0.125,-0.03777,-0.03774,,0.0011428571,0.010204081
0.1275,-0.03777,-0.03774,,0.0011428571,0.008163265
0.13,-0.03777,-0.03774,,0.00085714285,0.008163265
0.1325,-0.03777,-0.03773,,0.00085714285,-0.008163265
0.135,-0.03777,-0.03773,,0.0011428571,-0.008163265
0.1375,-0.03777,-0.03773,,0.0011428571,-0.010204081
0.14,-0.03777,-0.03773,,0.00085714285,-0.03469388
0.1425,-0.03777,-0.03772,,0.00085714285,-0.08979592
0.145,-0.03777,-0.03772,,0.0007142857,-0.15918367
0.1475,-0.03777,-0.03772,,0.00042857142,-0.25714287
0.15,-0.03777,-0.03772,,-0.00042857142,-0.3653061
0.1525,-0.03777,-0.03772,,-0.0015714286,-0.41632652
0.155,-0.03777,-0.03772,,-0.0031428572,-0.37551022
0.1575,-0.03777,-0.03773,,-0.0044285716,-0.22244897
0.16,-0.03777,-0.03775,,-0.004857143,1.9622789e-14
0.1625,-0.03777,-0.03777,,-0.0044285716,0.22244897
0.165,-0.03777,-0.03778,,-0.0031428572,0.37551022
0.1675,-0.03777,-0.03778,,-0.0015714286,0.43469387
0.17,-0.03777,-0.03778,,-0.00042857142,0.40816328
0.1725,-0.03777,-0.03778,,0.00042857142,0.32040817
0.175,-0.03777,-0.03778,,0.0011428571,0.23061225
0.1775,-0.03777,-0.03778,,0.0015714286,0.16938776
0.18,-0.03777,-0.03777,,0.0017142857,0.10612245
0.1825,-0.03777,-0.03776,,0.002,0.04489796
0.185,-0.03777,-0.03776,,0.0022857143,0.018367346
0.1875,-0.03777,-0.03776,,0.002,-0.0020408162
0.19,-0.03777,-0.03775,,0.0017142857,-0.042857144
0.1925,-0.03777,-0.03774,,0.002,3.9795918
0.195,-0.03777,-0.03774,,0.0018571429,16.232653
0.1975,-0.03777,-0.03774,,0.0012857143,38.47551
0.2,-0.03777,-0.03773,,0.09557143,68.9551
0.2025,0.03452,-0.03773,,0.31842858,102.165306
0.205,0.03452,-0.03773,,0.6572857,129.09592
0.2075,0.03452,-0.03552,,1.0682857,138.05305
0.21,0.03452,-0.03179,,1.4871428,126.66939
0.2125,0.03452,-0.0271,,1.8358572,98.9
0.215,0.03452,-0.02187,,2.0285714,62.085712
0.2175,0.03452,-0.01641,,2.104,24.404081
0.22,0.03452,-0.01094,,2.094,-7.3489795
0.2225,0.03452,-0.00565,,2.023,-29.810204
0.225,0.03452,-0.00064,,1.91,-44.967346
0.2275,0.03452,0.00402,,1.7704285,-54.471428
0.23,0.03452,0.00828,,1.6167142,-59.595917
0.2325,0.03452,0.01212,,1.4571428,-61.39592
0.235,0.03452,0.01555,,1.298,-60.791836
0.2375,0.03452,0.01858,,1.1448572,-58.493877
0.24,0.03452,0.02123,,1.0007143,-55.05102
0.2425,0.03452,0.02352,,0.8667143,-50.885715
0.245,0.03452,0.0255,,0.74457145,-46.310204
0.2475,0.03452,0.02719,,0.6342857,-41.52449
0.25,0.03452,0.02861,,0.5364286,-36.62449
0.2525,0.03452,0.02981,,0.45128572,-31.867348
0.255,0.03452,0.0308,,0.37814286,-27.434694
0.2575,0.03452,0.03163,,0.31742856,-23.55102
0.26,0.03452,0.03234,,0.265,-20.334694
0.2625,0.03452,0.03292,,0.21971428,-17.722448
0.265,0.03452,0.03343,,0.179,-15.591837
0.2675,0.03452,0.03381,,0.14214286,-13.653061
0.27,0.03452,0.03411,,0.11014286,-11.802041
0.2725,0.03452,0.03433,,0.08271429,-9.961225
0.275,0.03452,0.03449,,0.060714286,-8.208163
0.2775,0.03452,0.03461,,0.043,-6.6387753
0.28,0.03452,0.0347,,0.029142857,-5.302041
0.2825,0.03452,0.03474,,0.017857144,-4.1816325
0.285,0.03452,0.03477,,0.009,-3.2571428
0.2875,0.03452,0.03478,,0.0018571429,-2.489796
0.29,0.03452,0.03477,,-0.0027142856,-1.8163265
0.2925,0.03452,0.03476,,-0.0064285714,-1.2612245
0.295,0.03452,0.03473,,-0.008857143,-0.79387754
0.2975,0.03452,0.03471,,-0.009857143,-0.46530613
0.3,0.03452,0.03468,,-0.010571429,-0.20408164
0.3025,0.03452,0.03465,,-0.010285715,-0.03265306
0.305,0.03452,0.03463,,-0.010428571,0.075510204
0.3075,0.03452,0.0346,,-0.01,0.1632653
0.31,0.03452,0.03458,,-0.009571428,0.22040816
0.3125,0.03452,0.03455,,-0.008857143,0.29387754
0.315,0.03452,0.03453,,-0.008,0.32857144
0.3175,0.03452,0.03451,,-0.007142857,0.33877552
0.32,0.03452,0.0345,,-0.006,0.3102041
0.3225,0.03452,0.03448,,-0.0052857143,0.2857143
0.325,0.03452,0.03447,,-0.0047142855,0.26530612
