time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,0.03,-5.884492
0.0,-0.03777,0.00015,,0.016363636,-9.258921
0.0025,-0.03777,0.00015,,0.008470588,-14.365322
0.005,-0.03777,0.00015,,-0.0248,-23.375914
0.0075,-0.03777,0.00013,,-0.0928,-43.061646
0.01,-0.03777,-0.00015,,-0.2252,-64.448
0.0125,-0.03777,-0.00086,,-0.4296,-81.248
0.015,-0.03777,-0.00217,,-0.662,-86.704
0.0175,-0.03777,-0.00423,,-0.89,-77.536
0.02,-0.03777,-0.00674,,-1.0788,-57.424
0.0225,-0.03777,-0.0097,,-1.1904,-30.736
0.025,-0.03777,-0.01292,,-1.2296,-4.048
0.0275,-0.03777,-0.01602,,-1.1988,16.176
0.03,-0.03777,-0.01895,,-1.1252,28.768
0.0325,-0.03777,-0.02167,,-1.0404,34.528
0.035,-0.03777,-0.02416,,-0.9492,36.368
0.0375,-0.03777,-0.02642,,-0.8552,36.72
0.04,-0.03777,-0.02844,,-0.7632,35.776
0.0425,-0.03777,-0.03022,,-0.6744,33.872
0.045,-0.03777,-0.0318,,-0.5924,31.472
0.0475,-0.03777,-0.03317,,-0.5172,28.736
0.05,-0.03777,-0.03437,,-0.4484,26.064
0.0525,-0.03777,-0.0354,,-0.3872,23.392
0.055,-0.03777,-0.03629,,-0.3316,20.736
0.0575,-0.03777,-0.03705,,-0.2832,18.272
0.06,-0.03777,-0.03769,,-0.2412,15.904
0.0625,-0.03777,-0.03824,,-0.204,13.92
0.065,-0.03777,-0.03871,,-0.1724,12.144
0.0675,-0.03777,-0.03909,,-0.1436,11.296
0.07,-0.03777,-0.03942,,-0.1196,11.552
0.0725,-0.03777,-0.03968,,-0.0892,12.08
0.075,-0.03777,-0.03991,,-0.0552,12.016
0.0775,-0.03777,-0.03996,,-0.0248,9.92
0.08,-0.03777,-0.03997,,-0.0016,6.944
0.0825,-0.03777,-0.03996,,0.008,4.288
0.085,-0.03777,-0.03993,,0.0152,2.416
0.0875,-0.03777,-0.03988,,0.0204,1.472
0.09,-0.03777,-0.03982,,0.0224,0.64
0.0925,-0.03777,-0.03976,,0.0228,0.048
0.095,-0.03777,-0.03971,,0.022,-0.256
0.0975,-0.03777,-0.03965,,0.0212,-0.464
0.1,-0.03777,-0.0396,,0.02,-0.544
0.1025,-0.03777,-0.03955,,0.018,-0.608
0.105,-0.03777,-0.03951,,0.0168,-0.592
0.1075,-0.03777,-0.03947,,0.0152,-0.528
0.11,-0.03777,-0.03943,,0.014,-0.544
0.1125,-0.03777,-0.0394,,0.0128,-0.528
0.115,-0.03777,-0.03937,,0.0112,-0.528
0.1175,-0.03777,-0.03934,,0.01,-0.544
0.12,-0.03777,-0.03932,,0.0088,-0.464
0.1225,-0.03777,-0.0393,,0.0072,-0.4
0.125,-0.03777,-0.03928,,0.0068,-0.336
0.1275,-0.03777,-0.03927,,0.006,-0.256
0.13,-0.03777,-0.03925,,0.0052,-0.272
0.1325,-0.03777,-0.03924,,0.0048,-0.208
0.135,-0.03777,-0.03923,,0.004,-0.128
0.1375,-0.03777,-0.03922,,0.004,-0.064
0.14,-0.03777,-0.03921,,0.004,1.4757335e-13
0.1425,-0.03777,-0.0392,,0.004,-0.064
0.145,-0.03777,-0.03919,,0.004,-0.128
0.1475,-0.03777,-0.03918,,0.0032,-0.144
0.15,-0.03777,-0.03917,,0.0028,-0.144
0.1525,-0.03777,-0.03917,,0.0028,-0.048
0.155,-0.03777,-0.03916,,0.0024,-0.064
0.1575,-0.03777,-0.03915,,0.0028,-0.08
0.16,-0.03777,-0.03915,,0.002,-1.8794429e-13
0.1625,-0.03777,-0.03914,,0.002,2.4436357e-14
0.165,-0.03777,-0.03914,,0.0028,0.08
0.1675,-0.03777,-0.03913,,0.0024,3.7099735e-14
0.17,-0.03777,-0.03912,,0.0028,-0.144
0.1725,-0.03777,-0.03912,,0.002,-0.384
0.175,-0.03777,-0.03911,,0.0012,-0.784
0.1775,-0.03777,-0.03911,,-0.0016,-1.024
0.18,-0.03777,-0.03911,,-0.0052,-1.104
0.1825,-0.03777,-0.03914,,-0.0076,-0.72
0.185,-0.03777,-0.03916,,-0.0096,-0.256
0.1875,-0.03777,-0.03918,,-0.0084,0.064
0.19,-0.03777,-0.03921,,-0.008,0.288
0.1925,-0.03777,-0.03922,,-0.0076,0.256
0.195,-0.03777,-0.03924,,-0.0064,0.32
0.1975,-0.03777,-0.03926,,-0.006,0.416
0.2,-0.03777,-0.03927,,-0.0048,3.344
0.2025,0.03452,-0.03928,,-0.0032,14.544
0.205,0.03452,-0.03929,,0.034,38.64
0.2075,0.03452,-0.03929,,0.1564,75.056
0.21,0.03452,-0.03884,,0.3984,113.68
0.2125,0.03452,-0.03755,,0.7528,141.792
0.215,0.03452,-0.03518,,1.1568,150.624
0.2175,0.03452,-0.03171,,1.5496,136.176
0.22,0.03452,-0.0273,,1.8828,102.304
0.2225,0.03452,-0.02212,,2.092,56.544
0.225,0.03452,-0.01644,,2.1644,9.68
0.2275,0.03452,-0.01099,,2.1156,-26.32
0.23,0.03452,-0.00581,,1.992,-48.32
0.2325,0.03452,-0.00099,,1.8492,-58.496
0.235,0.03452,0.00346,,1.6936,-62.032
0.2375,0.03452,0.00749,,1.5336,-62.944
0.24,0.03452,0.01112,,1.3744,-61.648
0.2425,0.03452,0.01435,,1.222,-58.832
0.245,0.03452,0.01721,,1.0788,-55.008
0.2475,0.03452,0.01972,,0.946,-50.736
0.25,0.03452,0.02192,,0.8248,-46.336
0.2525,0.03452,0.02382,,0.7148,-41.856
0.255,0.03452,0.02547,,0.6152,-37.536
0.2575,0.03452,0.02688,,0.5276,-33.392
0.26,0.03452,0.02808,,0.4492,-29.44
0.2625,0.03452,0.02911,,0.3804,-25.872
0.265,0.03452,0.02997,,0.3208,-22.528
0.2675,0.03452,0.03069,,0.2684,-19.376
0.27,0.03452,0.0313,,0.2236,-16.288
0.2725,0.03452,0.0318,,0.1868,-13.216
0.275,0.03452,0.03221,,0.158,-10.544
0.2775,0.03452,0.03257,,0.136,-8.096
0.28,0.03452,0.03289,,0.1172,-6.064
0.2825,0.03452,0.03316,,0.106,-4.448
0.285,0.03452,0.03338,,0.0972,-3.472
0.2875,0.03452,0.03365,,0.0904,-3.664
0.29,0.03452,0.03386,,0.0816,-4.128
0.2925,0.03452,0.03405,,0.068,-4.544
0.295,0.03452,0.0342,,0.0568,-4.528
0.2975,0.03452,0.03433,,0.046,-4.192
0.3,0.03452,0.03443,,0.036,-3.936
0.3025,0.03452,0.03451,,0.026,-3.552
0.305,0.03452,0.03456,,0.0176,-3.2555473
0.3075,0.03452,0.03459,,0.0108,-2.888151
0.31,0.03452,0.03461,,0.0029056603,-1.5643761
0.3125,0.03452,0.03462,,-0.002754717,-1.2700449
0.32,0.03452,0.03461,,-0.0063157897,-1.1180243
0.32,0.03452,0.03453,,-0.008782608,-0.8718942
0.32,0.03452,0.03453,,-0.013,-1.0532084
0.3225,0.03452,0.03453,,-0.011411765,-1.0575598
0.325,0.03452,0.03449,,-0.0148,-0.9355294
