time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2] 
0.0,0.0,0.0,,-0.072,11.242781
0.0,-0.03777,-0.00036,,-0.039272726,10.265046
0.0025,-0.03777,-0.00036,,-0.027529411,3.4207737
0.005,-0.03777,-0.00036,,-0.0048,-7.9330053
0.0075,-0.03777,-0.00038,,-0.0428,-24.149647
0.01,-0.03777,-0.00041,,-0.1308,-42.96
0.0125,-0.03777,-0.00087,,-0.2664,-55.232
0.015,-0.03777,-0.00175,,-0.43,-59.856
0.0175,-0.03777,-0.00304,,-0.5836,-58.048
0.02,-0.03777,-0.0047,,-0.7204,-52.032
0.0225,-0.03777,-0.00669,,-0.8468,-43.92
0.025,-0.03777,-0.00893,,-0.9488,-33.456
0.0275,-0.03777,-0.01151,,-1.0184,-20.352
0.03,-0.03777,-0.01415,,-1.0528,-7.28
0.0325,-0.03777,-0.01681,,-1.0492,-8.624
0.035,-0.03777,-0.01944,,-1.0244,0.768
0.0375,-0.03777,-0.02198,,-1.1404,17.648
0.04,-0.03777,-0.02437,,-0.9976,39.584
0.0425,-0.03777,-0.0286,,-0.842,63.024
0.045,-0.03777,-0.0286,,-0.6788,46.128
0.0475,-0.03777,-0.03039,,-0.512,30.944
0.05,-0.03777,-0.03196,,-0.586,20.96
0.0525,-0.03777,-0.03332,,-0.5016,19.712
0.055,-0.03777,-0.03446,,-0.422,30.544
0.0575,-0.03777,-0.03541,,-0.3476,28.0
0.06,-0.03777,-0.03619,,-0.2812,25.216
0.0625,-0.03777,-0.0368,,-0.222,22.256
0.065,-0.03777,-0.03728,,-0.1696,19.328
0.0675,-0.03777,-0.03764,,-0.1252,16.352
0.07,-0.03777,-0.03789,,-0.088,13.392
0.0725,-0.03777,-0.03806,,-0.0584,10.704
0.075,-0.03777,-0.03817,,-0.0356,8.384
0.0775,-0.03777,-0.03823,,-0.0176,7.296
0.08,-0.03777,-0.03825,,-0.0036,7.296
0.0825,-0.03777,-0.03824,,0.0168,7.632
0.085,-0.03777,-0.03821,,0.0384,7.328
0.0875,-0.03777,-0.03804,,0.0568,5.088
0.09,-0.03777,-0.03787,,0.068,2.048
0.0925,-0.03777,-0.0377,,0.0656,-0.88
0.095,-0.03777,-0.03753,,0.0596,-3.024
0.0975,-0.03777,-0.03739,,0.05,-4.032
0.1,-0.03777,-0.03728,,0.038,-4.608
0.1025,-0.03777,-0.0372,,0.026,-4.736
0.105,-0.03777,-0.03715,,0.014,-4.48
0.1075,-0.03777,-0.03713,,0.0028,-4.016
0.11,-0.03777,-0.03714,,-0.0064,-3.392
0.1125,-0.03777,-0.03717,,-0.014,-2.784
0.115,-0.03777,-0.03721,,-0.02,-2.272
0.1175,-0.03777,-0.03727,,-0.0252,-1.744
0.12,-0.03777,-0.03734,,-0.0292,-1.2
0.1225,-0.03777,-0.03742,,-0.0312,-0.592
0.125,-0.03777,-0.0375,,-0.032,-0.064
0.1275,-0.03777,-0.03758,,-0.0312,0.336
0.13,-0.03777,-0.03766,,-0.03,0.672
0.1325,-0.03777,-0.03773,,-0.028,0.864
0.135,-0.03777,-0.0378,,-0.0252,1.008
0.1375,-0.03777,-0.03786,,-0.0228,1.072
0.14,-0.03777,-0.03791,,-0.02,1.12
0.1425,-0.03777,-0.03796,,-0.0172,1.2
0.145,-0.03777,-0.038,,-0.014,1.152
0.1475,-0.03777,-0.03803,,-0.0108,1.008
0.15,-0.03777,-0.03805,,-0.0088,0.784
0.1525,-0.03777,-0.03807,,-0.0072,0.656
0.155,-0.03777,-0.03809,,-0.006,0.608
0.1575,-0.03777,-0.0381,,-0.004,0.608
0.16,-0.03777,-0.03811,,-0.0028,0.592
0.1625,-0.03777,-0.03811,,-0.0012,0.464
0.165,-0.03777,-0.03812,,1.9586733e-16,0.352
0.1675,-0.03777,-0.03811,,0.0004,0.128
0.17,-0.03777,-0.03811,,0.0008,0.048
0.1725,-0.03777,-0.03811,,-1.5342523e-17,0.064
0.175,-0.03777,-0.03811,,0.0008,0.08
0.1775,-0.03777,-0.03811,,0.0012,0.144
0.18,-0.03777,-0.0381,,0.0012,0.048
0.1825,-0.03777,-0.0381,,0.0016,-0.064
0.185,-0.03777,-0.0381,,0.0012,-0.368
0.1875,-0.03777,-0.03809,,0.0004,-0.864
0.19,-0.03777,-0.03809,,-0.0028,-1.232
0.1925,-0.03777,-0.0381,,-0.0072,-1.232
0.195,-0.03777,-0.03813,,-0.0104,-0.736
0.1975,-0.03777,-0.03816,,-0.0112,4.88
0.2,-0.03777,-0.03819,,-0.01,20.256
0.2025,0.03452,-0.03821,,0.0536,46.32
0.205,0.03452,-0.03823,,0.2104,77.856
0.2075,0.03452,-0.03747,,0.4576,101.584
0.21,0.03452,-0.03593,,0.7612,111.296
0.2125,0.03452,-0.03364,,1.048,107.184
0.215,0.03452,-0.03063,,1.3064,93.6
0.2175,0.03452,-0.02702,,1.5248,76.352
0.22,0.03452,-0.02291,,1.6928,56.624
0.2225,0.03452,-0.01844,,1.8092,36.224
0.225,0.03452,-0.01376,,1.872,16.4
0.2275,0.03452,-0.00898,,1.888,-1.984
0.23,0.03452,-0.00424,,1.8584,-18.08
0.2325,0.03452,0.0004,,1.7912,-31.68
0.235,0.03452,0.00478,,1.6944,-42.16
0.2375,0.03452,0.0089,,1.574,-49.92
0.24,0.03452,0.01269,,1.44,-55.088
0.2425,0.03452,0.01612,,1.2944,-57.888
0.245,0.03452,0.01917,,1.1456,-58.72
0.2475,0.03452,0.02184,,0.9976,-57.696
0.25,0.03452,0.02415,,0.8544,-55.376
0.2525,0.03452,0.0261,,0.7188,-51.84
0.255,0.03452,0.02772,,0.5928,-47.488
0.2575,0.03452,0.02904,,0.4804,-42.592
0.26,0.03452,0.03009,,0.38,-37.392
0.2625,0.03452,0.03092,,0.2928,-32.288
0.265,0.03452,0.03153,,0.2192,-27.184
0.2675,0.03452,0.03198,,0.1572,-22.368
0.27,0.03452,0.0323,,0.108,-18.0
0.2725,0.03452,0.0325,,0.0688,-14.048
0.275,0.03452,0.03262,,0.0384,-10.704
0.2775,0.03452,0.03268,,0.0164,-7.792
0.28,0.03452,0.03269,,0.0004,-4.624
0.2825,0.03452,0.03267,,-0.0096,-1.136
0.285,0.03452,0.03263,,-0.0064,2.112
0.2875,0.03452,0.03259,,0.0056,4.0
0.29,0.03452,0.03265,,0.0192,3.536
0.2925,0.03452,0.03273,,0.0276,1.84
0.295,0.03452,0.0328,,0.0268,0.08
0.2975,0.03452,0.03286,,0.0248,-0.784
0.3,0.03452,0.03292,,0.0216,-1.072
0.3025,0.03452,0.03298,,0.0204,-1.392
0.305,0.03452,0.03301,,0.0156,-1.648
0.3075,0.03452,0.03307,,0.0104,-1.92
0.31,0.03452,0.03307,,0.006,-1.552
0.3125,0.03452,0.03308,,0.0012,-1.232
0.315,0.03452,0.03308,,0.0008,-1.04
0.3175,0.03452,0.03308,,-0.0024,-0.944
0.32,0.03452,0.03308,,-0.0052,-0.976
0.3225,0.03452,0.03305,,-0.0076,-0.528
0.325,0.03452,0.03303,,-0.0088,-0.176
0.3275,0.03452,0.03301,,-0.0072,0.08
0.33,0.03452,0.03299,,-0.0076,0.128
0.3325,0.03452,0.03298,,-0.0072,0.048
0.335,0.03452,0.03295,,-0.0072,0.144
0.3375,0.03452,0.03294,,-0.0068,0.144
0.34,0.03452,0.03292,,-0.006,0.192
0.3425,0.03452,0.03291,,-0.006,0.256
0.345,0.03452,0.03289,,-0.0052,0.336
0.3475,0.03452,0.03288,,-0.004,0.416
0.35,0.03452,0.03287,,-0.0028,0.336
