time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
288.504,0.0,0.316,0.0,0.0,5.197655e-14,-527.9665
290.016,0.00614,0.316,0.0,-938.81,-0.7982853,-447.60168
292.591,0.00614,0.31293,0.0,-1509.09,-1.8487366,-513.7341
295.08,0.00614,0.30373,0.0,-1162.08,-3.4617486,-581.9637
297.592,0.00614,0.28992,-0.048,-823.14,-5.156026,-581.80054
300.085,0.00614,0.27458,-0.168,-562.21,-6.1308875,-388.85217
302.589,0.00614,0.25771,-0.288,-390.05,-6.3790603,-194.32307
305.093,0.00614,0.24237,-0.528,-279.76,-6.693716,-140.16928
307.576,-0.00307,0.22396,-0.719,-212.51,-7.1933956,-146.95222
310.078,-0.00307,0.20402,-1.031,-137.19,-7.4348836,-103.03149
312.58,-0.00307,0.18715,-1.295,10.76,-7.4711494,-3.5655236
315.092,-0.00307,0.1672,-1.727,137.19,-7.211425,26.841358
317.608,-0.00307,0.15033,-2.014,234.03,-7.2968726,73.010605
320.081,-0.00307,0.13192,-2.518,309.35,-6.8326817,123.596245
322.574,-0.00307,0.11658,-2.854,347.01,-6.3381824,256.85995
325.084,-0.00307,0.10278,-3.357,363.15,-5.329275,305.32983
327.59,-0.00307,0.09204,-3.693,347.01,-4.6212106,298.8189
330.146,-0.00307,0.0813,-4.125,336.25,-4.0606275,195.25206
332.669,-0.00307,0.0721,-4.365,317.42,-3.868437,140.5667
335.079,-0.00307,0.06289,-4.652,279.76,-3.5156,108.459496
337.631,-0.01381,0.05522,-4.796,269.0,-3.2783341,128.20013
340.083,-0.01381,0.04755,-4.94,147.95,-2.8871098,119.269966
342.584,-0.01534,0.04142,-4.988,145.26,-2.6527393,109.44139
345.082,-0.01534,0.03528,-4.988,115.67,-2.4490862,81.96083
347.599,-0.01841,0.02915,-4.94,115.67,-2.2706704,82.371025
350.08,-0.01841,0.02454,-4.82,107.6,-2.0255291,82.44165
352.588,-0.02148,0.01994,-4.7,96.84,-1.8436975,81.63291
355.085,-0.02148,0.01534,-4.484,75.32,-1.651835,59.088116
357.603,-0.02608,0.01227,-4.317,83.39,-1.5956358,46.9433
360.078,-0.02608,0.00767,-4.077,43.04,-1.4713453,33.424725
362.599,-0.02761,0.0046,-3.909,43.04,-1.4143723,46.809402
365.078,-0.02761,0.00153,-3.645,45.73,-1.2251688,36.643883
367.596,-0.03068,-0.00153,-3.477,53.8,-1.2283031,22.629927
370.08,-0.03068,-0.0046,-3.213,32.28,-1.2247814,-0.4347636
372.597,-0.03375,-0.00767,-3.046,32.28,-1.229958,22.480545
375.077,-0.03375,-0.01074,-2.83,18.83,-1.0392967,36.714985
377.614,-0.03682,-0.01227,-2.686,26.9,-0.98104244,47.102222
380.084,-0.03682,-0.01534,-2.47,24.21,-0.85659486,33.541832
382.599,-0.03988,-0.01687,-2.35,26.9,-0.8006573,24.275625
385.078,-0.03988,-0.01841,-2.182,2.69,-0.7980519,-0.46234313
387.597,-0.04295,-0.02148,-2.062,5.38,-0.8612746,-24.135782
390.08,-0.04295,-0.02301,-1.918,2.69,-0.98036814,-12.174637
392.597,-0.04602,-0.02608,-1.823,8.07,-0.86022305,12.284218
395.077,-0.04602,-0.02761,-1.679,0.0,-0.7993768,24.231783
397.576,-0.04909,-0.02915,-1.607,13.45,-0.7991187,22.628939
400.08,-0.04909,-0.03221,-1.487,0.0,-0.6721968,34.752205
402.599,-0.05216,-0.03221,-1.415,8.07,-0.5514131,49.175682
405.077,-0.05216,-0.03375,-1.343,0.0,-0.42922026,11.655297
407.599,-0.05522,-0.03528,-1.271,0.0,-0.6152515,-36.884537
410.08,-0.05522,-0.03682,-1.199,0.0,-0.79593056,-36.78163
412.598,-0.06136,-0.03988,-1.151,0.0,-0.67627484,12.452347
415.077,-0.06136,-0.03988,-1.079,-24.21,-0.5518247,48.953957
417.598,-0.06443,-0.04142,-1.031,-13.45,-0.42891532,12.482625
420.125,-0.06443,-0.04295,-0.983,-16.14,-0.6119618,-36.826824
422.601,-0.06443,-0.04449,-0.935,0.0,-0.79962116,-59.80009
425.075,-0.06443,-0.04755,-0.887,2.69,-0.8625144,-24.554379
427.599,-0.0675,-0.04909,-0.863,8.07,-0.79559225,47.238495
430.104,-0.0675,-0.05062,-0.815,0.0,-0.42847976,73.6244
432.601,-0.06596,-0.05062,-0.791,0.0,-0.36923277,24.21863
435.08,-0.06596,-0.05216,-0.767,16.14,-0.6150672,-61.92039
437.598,-0.06903,-0.05522,-0.743,29.59,-0.8615408,-39.208298
440.076,-0.06903,-0.05676,-0.719,13.45,-0.6125122,17.243732
442.6,-0.07056,-0.05676,-0.719,13.45,-0.55349594,25.0644
445.074,-0.07056,-0.05983,-0.695,13.45,-0.67282426,-4.9522014
447.6,-0.07363,-0.06136,-0.695,13.45,-0.6145641,24.762943
450.073,-0.07363,-0.06136,-0.671,0.0,-0.36696747,38.79216
452.6,-0.07517,-0.06289,-0.671,0.0,-0.43070215,-2.4972012
455.075,-0.07517,-0.06443,-0.647,0.0,-0.61376023,-37.20591
457.579,-0.0767,-0.06596,-0.647,8.07,-0.61614513,-22.075724
460.075,-0.0767,-0.0675,-0.647,0.0,-0.6136976,0.1207991
462.575,-0.07977,-0.06903,-0.624,5.38,-0.61356777,22.773079
465.074,-0.07977,-0.07056,-0.624,0.0,-0.42655092,37.015842
467.603,-0.08744,-0.07056,-0.6,2.69,-0.36653063,46.345055
470.101,-0.08744,-0.0721,-0.6,-34.97,-0.24556264,11.970087
472.598,-0.0905,-0.0721,-0.6,-29.59,-0.3671078,9.624004
475.138,-0.0905,-0.07363,-0.576,-29.59,-0.24577159,-10.094771
477.578,-0.09511,-0.07363,-0.552,-21.52,-0.37098673,-12.81646
480.077,-0.09511,-0.07517,-0.552,-34.97,-0.432817,-46.686726
482.606,-0.09817,-0.0767,-0.528,-24.21,-0.6124793,-36.160145
485.078,-0.09817,-0.07823,-0.528,-24.21,-0.6123325,-43.880997
487.598,-0.10124,-0.07977,-0.504,-16.14,-0.79855156,-36.937756
490.085,-0.10124,-0.08283,-0.504,-16.14,-0.85729676,-24.687428
492.598,-0.10124,-0.08437,-0.504,0.0,-0.79874533,24.517271
495.077,-0.10124,-0.0859,-0.504,8.07,-0.6140282,36.443016
497.597,-0.10738,-0.08744,-0.504,18.83,-0.61465335,22.362066
500.077,-0.10738,-0.08897,-0.504,-8.07,-0.6122891,0.064081036
502.596,-0.10738,-0.0905,-0.504,-2.69,-0.6142739,0.120775804
505.076,-0.10738,-0.09204,-0.528,2.69,-0.61297905,-0.31347257
507.592,-0.10891,-0.09357,-0.528,10.76,-0.6153287,0.78253347
510.078,-0.10891,-0.09511,-0.552,2.69,-0.6069696,0.4422122
512.671,-0.11045,-0.09664,-0.552,8.07,-0.61198306,-21.839972
515.076,-0.11045,-0.09817,-0.576,13.45,-0.79772305,-16.327147
517.597,-0.11045,-0.10124,-0.576,18.83,-0.6823121,11.892849
520.075,-0.11045,-0.10124,-0.6,24.21,-0.5545575,49.12552
522.574,-0.11045,-0.10278,-0.6,26.9,-0.431357,13.215873
525.078,-0.11045,-0.10431,-0.6,29.59,-0.6130281,7.854336
527.576,-0.11045,-0.10584,-0.6,37.66,-0.4284268,15.18774
530.075,-0.11045,-0.10584,-0.6,13.45,-0.36619425,24.328396
532.635,-0.11045,-0.10738,-0.6,45.73,-0.4286337,-2.6297941
535.077,-0.11045,-0.10891,-0.6,53.8,-0.42938057,21.792292
537.598,-0.11198,-0.10891,-0.576,48.42,-0.18393373,39.417824
540.078,-0.11198,-0.10891,-0.576,34.97,-0.18471944,21.899355
542.591,-0.11198,-0.11045,-0.552,29.59,-0.24680795,-2.5538352
545.088,-0.11198,-0.11045,-0.528,29.59,-0.18445536,24.597319
547.599,-0.11351,-0.11045,-0.528,21.52,-3.3466077e-15,37.02461
550.086,-0.11351,-0.11045,-0.504,8.07,-3.3419285e-15,0.083649695
552.589,-0.11505,-0.11045,-0.48,13.45,-0.18395539,-14.685403
555.083,-0.11505,-0.11198,-0.432,-10.76,-0.06073338,-9.696654
557.599,-0.11658,-0.11045,-0.408,2.69,-0.121889725,34.349766
560.081,-0.11658,-0.11198,-0.384,-18.83,0.12305203,2.3430028
562.576,-0.11658,-0.11045,-0.36,-24.21,-0.122644626,-2.611503
565.084,-0.11658,-0.11198,-0.336,-10.76,-0.061390925,-34.393513
567.577,-0.11505,-0.11198,-0.312,-10.76,-0.1840999,-12.292102
570.067,-0.11505,-0.11198,-0.264,29.59,-0.18415959,0.036094356
572.568,-0.11812,-0.11351,-0.264,34.97,-0.06120233,12.337756
575.069,-0.11812,-0.11198,-0.216,-10.76,-0.12236572,12.31225
577.567,-0.11965,-0.11351,-0.216,-13.45,-0.061165698,-34.410667
580.066,-0.11965,-0.11351,-0.192,0.0,-0.36827278,-27.147251
582.573,-0.12118,-0.11505,-0.168,0.0,-0.24643424,-9.976686
585.067,-0.12118,-0.11505,-0.168,0.0,-0.18495509,46.659508
587.567,-0.12272,-0.11505,-0.168,2.69,-3.3467045e-15,-7.262724
590.065,-0.12272,-0.11505,-0.144,0.0,-0.36850804,-51.50994
592.567,-0.12272,-0.11812,-0.144,5.38,-0.49135718,-49.142788
595.065,-0.12272,-0.11812,-0.144,5.38,-0.36850804,27.088123
597.565,-0.12272,-0.11812,-0.144,0.0,-0.1836857,37.032352
600.062,-0.12272,-0.11965,-0.144,0.0,-0.24457961,-2.2352257
602.571,-0.11965,-0.11965,-0.168,32.28,-0.36670098,-11.386716
605.071,-0.11965,-0.12118,-0.168,45.73,-0.23792103,12.387496
607.766,-0.12272,-0.12118,-0.168,32.28,-0.18299617,45.540394
610.07,-0.12272,-0.12118,-0.192,13.45,-3.4130354e-15,12.926964
612.568,-0.12425,-0.12118,-0.192,10.76,-0.1912948,-16.179487
615.066,-0.12425,-0.12272,-0.192,0.0,-0.24635553,-24.356102
617.571,-0.12579,-0.12272,-0.192,5.38,-0.18473835,25.412899
620.068,-0.12579,-0.12272,-0.192,2.69,-6.6878846e-15,36.950214
622.567,-0.12732,-0.12272,-0.216,8.07,-6.6609697e-15,22.171555
625.068,-0.12732,-0.12272,-0.216,-18.83,-6.6522097e-15,-22.02436
627.568,-0.12732,-0.12272,-0.192,-29.59,-0.18353878,-36.865818
630.072,-0.12732,-0.12425,-0.192,16.14,-0.24622765,-24.778093
632.527,-0.12732,-0.12425,-0.192,16.14,-0.18386504,24.636896
635.066,-0.12732,-0.12425,-0.192,29.59,-3.879502e-18,36.70142
637.604,-0.12272,-0.12425,-0.168,13.45,3.3366712e-17,22.028004
640.063,-0.12272,-0.12425,-0.168,29.59,1.3559863e-17,-2.5978763e-15
642.561,-0.12425,-0.12425,-0.168,29.59,-1.9135027e-17,-22.207964
645.095,-0.12425,-0.12425,-0.144,8.07,-0.1839466,-36.897156
647.56,-0.12425,-0.12579,-0.144,0.0,-0.24618563,-24.773773
650.062,-0.12425,-0.12579,-0.12,0.0,-0.18492167,24.687103
652.564,-0.12425,-0.12579,-0.12,0.0,-1.9986753e-17,36.925842
655.063,-0.12425,-0.12579,-0.12,0.0,1.01074175e-17,22.196812
657.562,-0.12272,-0.12579,-0.12,0.0,1.0068917e-17,7.188746e-15
660.062,-0.12272,-0.12579,-0.12,24.21,3.9914734e-17,1.1243312e-16
662.566,-0.12272,-0.12579,-0.096,24.21,1.1129478e-18,-3.3399225e-15
665.062,-0.12272,-0.12579,-0.096,13.45,-4.8276072e-18,-2.07085e-15
667.564,-0.11351,-0.12579,-0.096,0.0,2.4645075e-17,3.993905e-15
670.063,-0.11351,-0.12579,-0.072,75.32,2.4552982e-17,-1.7722698e-15
672.563,-0.11198,-0.12579,-0.072,72.63,-1.9576048e-17,22.178068
675.063,-0.11198,-0.12579,-0.072,45.73,0.1847852,58.97549
677.565,-0.11045,-0.12425,-0.048,26.9,0.42995596,83.535225
680.063,-0.11045,-0.12272,-0.048,29.59,0.6144493,58.87148
682.563,-0.11045,-0.12118,-0.024,2.69,0.613821,21.99032
685.062,-0.11045,-0.11965,0.0,0.0,0.61337185,-0.1561364
687.561,-0.10891,-0.11812,0.0,-10.76,0.6132983,-22.079113
690.062,-0.10891,-0.11658,0.024,-8.07,0.42991167,-36.745842
692.563,-0.10891,-0.11658,0.048,-5.38,0.3682527,-24.630836
695.064,-0.10891,-0.11505,0.096,-10.76,0.42851222,2.43533
697.587,-0.10584,-0.11351,0.12,-16.14,0.43014163,0.201264
700.062,-0.10584,-0.11351,0.144,0.0,0.36917445,-2.247167
702.563,-0.10431,-0.11198,0.192,0.0,0.43003374,2.2304988
705.062,-0.10431,-0.11045,0.216,0.0,0.4282238,-22.359879
707.565,-0.10278,-0.11045,0.24,-2.69,0.18344098,-39.23904
710.067,-0.10278,-0.11045,0.264,5.38,0.18447177,-21.644533
712.589,-0.10124,-0.10891,0.288,0.0,0.24657372,2.7711759
715.063,-0.10124,-0.10891,0.312,0.0,0.18556595,-2.4120827
717.562,-0.09971,-0.10891,0.312,0.0,0.18446422,-0.25720084
720.062,-0.09971,-0.10738,0.312,5.38,0.2445944,24.27807
722.569,-0.09971,-0.10738,0.312,0.0,0.36791912,12.214168
725.069,-0.09971,-0.10584,0.312,0.0,0.24519707,9.862261
727.597,-0.09971,-0.10584,0.312,-5.38,0.36780554,-9.7829275
730.063,-0.09971,-0.10431,0.312,-2.69,0.24490164,9.98328
732.561,-0.10124,-0.10431,0.312,-5.38,0.36855173,-9.885069
735.064,-0.10124,-0.10278,0.288,-18.83,0.24436952,9.768374
737.576,-0.09971,-0.10278,0.288,-32.28,0.36780953,-9.707512
740.067,-0.09971,-0.10124,0.288,-5.38,0.24621709,-11.948406
742.568,-0.09971,-0.10124,0.288,-13.45,0.18505648,-46.661366
745.061,-0.09971,-0.10124,0.264,-24.21,-6.6490566e-15,-14.878255
747.575,-0.09971,-0.10124,0.264,-16.14,0.18343039,14.514511
750.063,-0.09971,-0.09971,0.264,-8.07,0.24463746,24.518793
752.564,-0.10124,-0.09971,0.264,-2.69,0.18368532,-24.505575
755.063,-0.10124,-0.09971,0.24,0.0,8.3717254e-19,-36.66136
757.571,-0.10124,-0.09971,0.24,0.0,2.2983703e-17,-22.036922
760.064,-0.10124,-0.09971,0.24,0.0,1.520878e-17,-2.4961282e-15
762.564,-0.10124,-0.09971,0.24,0.0,-1.7399653e-17,-1.3323383e-15
765.062,-0.10124,-0.09971,0.216,0.0,2.2758078e-17,-2.2948829e-15
767.565,-0.11198,-0.09971,0.216,0.0,-1.7286159e-17,-22.019075
770.064,-0.11198,-0.09971,0.192,-83.39,-0.18352413,-36.710407
772.566,-0.11198,-0.10124,0.168,-78.01,-0.24491261,-46.684814
775.062,-0.11198,-0.10124,0.144,-37.66,-0.36847857,-12.490418
777.565,-0.11045,-0.10278,0.144,-16.14,-0.24648373,-9.93008
780.064,-0.11045,-0.10278,0.096,0.0,-0.36839044,9.972145
782.563,-0.11045,-0.10431,0.072,26.9,-0.2447608,-9.541977
785.066,-0.11045,-0.10431,0.048,26.9,-0.3671901,9.932728
787.562,-0.11198,-0.10584,0.024,10.76,-0.24474607,-9.9754715
790.064,-0.11198,-0.10584,0.0,10.76,-0.36861607,9.52755
792.559,-0.11198,-0.10738,0.0,2.69,-0.2464788,-9.660449
795.059,-0.11198,-0.10738,-0.048,0.0,-0.36583853,10.036575
797.629,-0.11045,-0.10891,-0.072,34.97,-0.24494281,-9.786089
800.064,-0.11045,-0.10891,-0.096,48.42,-0.3699624,9.373344
802.567,-0.11505,-0.11045,-0.12,37.66,-0.24750492,-9.753167
805.097,-0.11505,-0.11045,-0.144,-24.21,-0.36704555,10.159523
807.576,-0.11351,-0.11198,-0.168,-18.83,-0.24472645,12.417828
810.066,-0.11351,-0.11198,-0.192,24.21,-0.18416145,46.68
812.564,-0.11351,-0.11198,-0.192,26.9,-3.3234953e-15,14.699818
815.066,-0.11351,-0.11198,-0.216,21.52,-0.18360244,-14.574768
817.565,-0.11198,-0.11351,-0.216,16.14,-0.24435008,-24.27354
820.077,-0.11198,-0.11351,-0.216,13.45,-0.18250133,24.442184
822.599,-0.11198,-0.11351,-0.216,5.38,-9.12586e-18,36.61696
825.07,-0.11198,-0.11351,-0.216,0.0,4.1122788e-18,21.904123
827.595,-0.11198,-0.11351,-0.216,0.0,1.2497025e-17,3.510464e-16
830.065,-0.11198,-0.11351,-0.192,0.0,-9.043219e-18,22.009016
832.604,-0.11198,-0.11351,-0.192,0.0,0.18346825,14.50164
835.069,-0.11198,-0.11198,-0.168,0.0,0.05852535,-12.432893
837.66,-0.10738,-0.11351,-0.168,0.0,-0.06278245,-27.209124
840.076,-0.10738,-0.11351,-0.144,43.04,-0.0016138658,2.7012048
842.601,-0.10584,-0.11198,-0.144,51.11,0.062155105,2.81622
845.078,-0.10584,-0.11351,-0.12,45.73,-0.060421254,-4.597479
847.574,-0.09971,-0.11351,-0.12,18.83,0.0006403639,24.434078
850.077,-0.09971,-0.11198,-0.096,48.42,0.244164,60.826565
852.597,-0.09971,-0.11198,-0.072,48.42,0.36645386,56.271584
