time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
283.64,0.0,0.07056,0.0,0.0,1.3525842e-14,-1.2978611e-11
285.09,0.02301,0.07056,0.0,-139.88,-5.293144e-15,-57.26644
287.674,0.02301,0.07056,0.0,-336.25,-0.21678448,-69.24008
290.145,0.02301,0.06903,0.0,-242.1,-0.42460302,-125.49715
292.647,0.02301,0.0675,0.0,-169.47,-0.9837405,-151.04922
295.164,0.02301,0.06289,0.0,-102.22,-1.2873373,-152.61275
297.647,0.02301,0.05983,-0.024,-21.52,-1.596209,-136.25233
300.153,0.02301,0.05522,-0.072,5.38,-2.0162766,-93.33462
302.71,0.02301,0.04755,-0.144,48.42,-1.9317763,11.189105
305.265,0.02301,0.04602,-0.192,59.18,-1.5323638,152.70328
307.661,0.02301,0.04295,-0.288,67.25,-0.86643255,163.31111
310.154,0.02301,0.04142,-0.336,56.49,-0.8058549,113.49428
312.668,0.02301,0.03988,-0.384,53.8,-0.6134032,38.01811
315.159,0.02301,0.03835,-0.48,45.73,-0.6138618,1.0119689
317.648,0.02301,0.03682,-0.528,43.04,-0.79790884,-36.73047
320.164,0.02301,0.03375,-0.6,37.66,-0.85788155,-24.422102
322.672,0.02301,0.03221,-0.671,45.73,-0.79814726,24.68808
325.152,0.02301,0.03068,-0.719,43.04,-0.6113256,58.917465
327.696,0.02301,0.02915,-0.767,43.04,-0.427809,58.845695
330.175,0.02301,0.02915,-0.791,51.11,-0.36810133,45.920933
332.675,0.02301,0.02761,-0.815,29.59,-0.2482054,11.867966
335.144,0.02301,0.02761,-0.791,18.83,-0.36982337,9.917151
337.662,0.02301,0.02608,-0.767,37.66,-0.24567574,12.8646965
340.152,0.02301,0.02608,-0.743,48.42,-0.18317397,46.75803
342.672,0.02301,0.02608,-0.719,43.04,-2.2645633e-18,36.850716
345.154,0.02301,0.02608,-0.695,37.66,-5.202721e-18,-0.20604995
347.678,0.02301,0.02608,-0.647,32.28,-0.18479557,-36.998623
350.144,0.02301,0.02454,-0.6,29.59,-0.24564135,-24.566391
352.671,0.02301,0.02454,-0.576,21.52,-0.18462767,24.692122
355.155,0.02301,0.02454,-0.528,13.45,8.4115046e-16,14.770229
357.644,0.02301,0.02454,-0.504,10.76,-0.18448234,7.528497
360.145,0.02301,0.02301,-0.456,8.07,-0.060613632,-9.597537
362.668,0.02301,0.02454,-0.408,0.0,-0.12161156,12.4160185
365.144,0.02301,0.02301,-0.384,0.0,-0.060408484,-12.30747
367.667,0.02301,0.02301,-0.336,0.0,-0.18336733,9.628423
370.155,0.02301,0.02301,-0.312,0.0,8.3156083e-16,14.479891
372.676,0.02301,0.02301,-0.288,0.0,8.380456e-16,22.080755
375.136,0.02301,0.02301,-0.24,0.0,8.3243576e-16,1.3405893e-15
377.679,0.02301,0.02301,-0.24,0.0,8.4455167e-16,-1.4023669e-15
380.153,0.02301,0.02301,-0.216,0.0,8.2224204e-16,-7.05092e-17
382.669,0.02301,0.02301,-0.192,0.0,8.391829e-16,6.520949e-16
385.147,0.02301,0.02301,-0.168,0.0,8.442595e-16,22.05499
387.668,0.02301,0.02301,-0.144,0.0,0.18370326,14.692768
390.151,0.02301,0.02454,-0.12,0.0,0.060555615,-12.279093
392.67,0.02301,0.02301,-0.12,0.0,-0.061833903,-49.120712
395.137,0.02301,0.02301,-0.096,0.0,-0.18363255,-12.048154
397.667,0.02301,0.02301,-0.072,0.0,8.244073e-16,14.894341
400.144,0.02301,0.02301,-0.072,0.0,8.3246774e-16,22.015816
402.667,0.02301,0.02301,-0.048,0.0,8.3845383e-16,2.2485144e-15
405.145,0.02301,0.02301,-0.048,0.0,8.411164e-16,3.976213e-16
407.668,0.02301,0.02301,-0.048,0.0,8.3490704e-16,-3.590564e-16
410.144,0.02301,0.02301,-0.024,0.0,8.375588e-16,-2.1642436e-16
412.668,0.02301,0.02301,-0.024,0.0,8.384387e-16,3.3652836e-16
415.133,0.02301,0.02301,-0.024,0.0,8.374062e-16,-1.4274326e-16
417.641,0.02301,0.02301,-0.024,0.0,8.3671074e-16,22.017347
420.156,0.02301,0.02301,0.0,0.0,0.18275441,14.657645
422.667,0.02301,0.02454,0.0,0.0,0.061753653,-12.043846
425.147,0.02301,0.02301,0.0,0.0,-0.060752086,-26.77851
427.669,0.02301,0.02301,0.0,0.0,-4.9108596e-05,2.2908106
430.147,0.02301,0.02454,0.0,0.0,0.060394358,2.2332554
432.671,0.02301,0.02301,0.0,0.0,-0.06200895,-27.108583
435.132,0.02301,0.02301,0.0,0.0,-0.18431257,-12.127164
437.646,0.02301,0.02301,0.0,0.0,8.364707e-16,14.939131
440.147,0.02301,0.02301,0.0,0.0,8.2611896e-16,22.028475
442.666,0.02301,0.02301,0.0,0.0,8.2960895e-16,-6.183486e-16
445.166,0.02301,0.02301,0.0,0.0,8.3013067e-16,2.0356993e-15
447.667,0.02301,0.02301,0.0,0.0,8.4295713e-16,1.3266148e-15
450.145,0.02301,0.02301,0.0,0.0,8.3634053e-16,5.7907513e-16
452.671,0.02301,0.02301,0.0,0.0,8.371551e-16,-4.9009776e-16
455.141,0.02301,0.02301,0.0,0.0,8.386047e-16,-8.6745724e-16
457.667,0.02301,0.02301,0.0,0.0,8.286359e-16,22.026937
460.146,0.02301,0.02301,0.0,0.0,0.18334334,14.630126
462.666,0.02301,0.02454,0.0,0.0,0.061591428,-12.209723
465.157,0.02301,0.02301,0.0,0.0,-0.060594954,-26.831097
467.667,0.3927,0.02301,0.0,0.0,-1.659973e-15,112.74438
470.158,0.3927,0.02454,0.0,1444.53,0.9807794,341.52603
472.669,0.3927,0.03068,0.0,1385.35,2.461733,599.07544
475.133,0.3927,0.04142,0.024,1008.75,4.4824514,663.5531
477.669,0.3927,0.05829,0.096,694.02,5.838425,515.1998
480.146,0.3927,0.07363,0.24,465.37,6.2984805,217.81157
482.669,0.3927,0.08897,0.384,306.66,6.148702,50.497105
485.144,0.3927,0.10431,0.624,215.2,6.3094068,62.059963
487.668,0.3927,0.12118,0.839,174.85,6.7629175,184.66243
490.144,0.3927,0.13959,1.175,153.33,7.53326,241.10081
492.668,0.3927,0.16107,1.439,112.98,8.066395,166.19028
495.132,0.3927,0.18101,1.894,75.32,7.9642234,20.302246
497.669,0.3927,0.19942,2.206,-32.28,7.736527,-67.9404
500.149,0.3927,0.21936,2.734,-153.33,7.576957,-98.5009
502.673,0.3927,0.23777,3.094,-269.0,7.1934333,-164.41122
505.145,0.3927,0.25311,3.621,-320.11,6.4964824,-220.78471
507.669,0.3927,0.26845,3.981,-341.63,5.9663496,-201.47409
510.144,0.3927,0.28225,4.436,-341.63,5.695436,-169.26608
512.669,0.3927,0.29606,4.7,-322.8,5.174233,-200.63034
515.13,0.3927,0.3068,5.036,-320.11,4.473986,-246.6443
517.667,0.3927,0.316,5.204,-317.42,3.870501,-227.51724
520.143,0.3927,0.3252,5.396,-258.24,3.4823709,-183.01186
522.671,0.3927,0.33287,5.468,-247.48,3.072664,-120.86823
525.145,0.3927,0.33901,5.516,-223.27,3.0019002,-88.288925
527.667,0.3927,0.34821,5.516,-215.2,2.7696018,-91.61539
530.144,0.3927,0.35282,5.42,-172.16,2.3885045,-153.42955
532.672,0.3927,0.35742,5.324,-156.02,1.847505,-156.1856
535.129,0.3927,0.36202,5.132,-142.57,1.6539094,-102.75316
537.668,0.3927,0.36509,4.964,-118.36,1.5958118,-48.010963
540.152,0.3927,0.36969,4.7,-110.29,1.4666075,-55.816322
