time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
267.089,0.0,-0.08744,0.0,0.0,2.898744e-17,5.2911417e-12
268.096,0.04295,-0.08744,0.0,177.54,5.357167e-15,70.459305
270.679,-0.45252,-0.08744,0.0,968.4,0.23483434,74.55002
273.168,-0.45252,-0.0859,0.0,-1681.25,0.4254592,-50.441
275.662,-0.45252,-0.08437,0.0,-1724.29,-0.49245483,-346.0874
278.152,-0.45252,-0.09204,0.0,-1232.02,-2.3330615,-639.4132
280.679,-0.45252,-0.10278,0.0,-1065.24,-4.292561,-746.483
283.156,-0.45252,-0.11658,-0.048,-893.08,-6.061883,-689.623
285.677,-0.45252,-0.13806,-0.144,-610.63,-7.5021486,-467.19485
288.155,-0.45252,-0.158,-0.36,-368.53,-7.696908,-111.28639
290.762,-0.45252,-0.17487,-0.552,-204.44,-6.9471545,163.99191
293.341,-0.45252,-0.19175,-0.887,-115.67,-6.3599668,183.40768
295.661,-0.45252,-0.20555,-1.127,-80.7,-6.373059,54.701202
298.176,-0.45252,-0.22243,-1.535,-83.39,-6.500862,-119.42634
300.687,-0.45252,-0.2393,-1.823,-139.88,-7.2866006,-211.17606
303.174,-0.45252,-0.26078,-2.278,-48.42,-7.8751087,-226.34435
305.657,-0.45252,-0.28072,-2.614,118.36,-8.184758,-49.319164
308.168,-0.45252,-0.30066,-3.165,250.17,-7.595319,138.944
310.683,-0.45252,-0.31753,-3.525,336.25,-6.9143195,251.10399
313.175,-0.45252,-0.33287,-4.077,416.95,-6.313488,262.88123
315.679,-0.45252,-0.34821,-4.412,465.37,-5.602789,277.00537
318.155,-0.45252,-0.35895,-4.82,449.23,-4.850091,293.23874
320.679,-0.45252,-0.36969,-5.036,371.22,-4.12183,238.90103
323.15,-0.45252,-0.37889,-5.252,322.8,-3.8604462,149.39447
325.677,-0.45252,-0.3881,-5.372,298.59,-3.6908314,104.84948
328.149,-0.45252,-0.3973,-5.468,258.24,-3.3063605,117.686935
330.677,-0.45252,-0.40344,-5.516,269.0,-3.0053484,154.51587
333.169,-0.45252,-0.41111,-5.516,242.1,-2.5031168,172.64601
335.693,-0.45252,-0.41571,-5.468,225.96,-2.0276554,188.3023
338.16,-0.45252,-0.41878,-5.348,188.3,-1.596456,118.38639
340.676,-0.45252,-0.42338,-5.228,150.64,-1.6604023,42.229115
343.17,-0.45252,-0.42798,-4.988,121.05,-1.6538693,21.94527
345.675,-0.45252,-0.43105,-4.796,126.43,-1.4153202,83.842445
348.153,-0.45252,-0.43412,-4.484,112.98,-1.0426754,95.326584
350.678,-0.45252,-0.43565,-4.293,104.91,-0.9829435,69.19813
353.151,-0.45252,-0.43872,-3.981,91.46,-0.85923934,34.075993
355.65,-0.45252,-0.44025,-3.765,69.94,-0.80021536,46.83628
358.151,-0.45252,-0.44179,-3.453,64.56,-0.6136492,36.980537
360.65,-0.45252,-0.44332,-3.237,61.87,-0.6132983,22.794876
363.149,-0.45252,-0.44485,-2.95,56.49,-0.61043495,0.14170828
365.689,-0.45252,-0.44639,-2.758,64.56,-0.6134038,21.943289
368.139,-0.45252,-0.44792,-2.47,56.49,-0.42845523,58.568157
370.679,-0.45252,-0.44792,-2.302,40.35,-0.18290526,61.440727
373.169,-0.45252,-0.44792,-2.062,24.21,-0.18371242,21.644884
375.69,-0.45252,-0.44946,-1.918,29.59,-0.24736449,-24.913467
378.154,-0.45252,-0.44946,-1.703,53.8,-0.36905974,-12.288286
380.679,-0.45252,-0.45099,-1.583,48.42,-0.24605367,12.602929
383.157,-0.45252,-0.45099,-1.415,34.97,-0.18426444,46.804985
385.654,-0.45252,-0.45099,-1.295,21.52,-9.5113316e-17,14.8950815
388.15,-0.45252,-0.45099,-1.151,16.14,-0.18363158,7.3602414
390.677,-0.45252,-0.45252,-1.055,10.76,-0.061742846,-9.807686
393.162,-0.45252,-0.45099,-0.935,8.07,-0.12291276,12.262732
395.65,-0.45252,-0.45252,-0.839,2.69,-0.06145266,-11.850928
398.187,-0.45252,-0.45252,-0.743,0.0,-0.18067385,9.910629
400.743,-0.45252,-0.45252,-0.671,0.0,-1.333958e-14,14.549872
403.164,-0.45252,-0.45252,-0.6,0.0,-1.3186798e-14,43.771965
405.743,-0.45252,-0.45252,-0.528,0.0,0.18401776,14.925346
408.155,-0.45252,-0.45099,-0.456,0.0,0.059915982,-12.343152
410.679,-0.45252,-0.45252,-0.432,0.0,-0.06361067,-49.217518
413.212,-0.45252,-0.45252,-0.36,0.0,-0.18390296,-12.204769
415.661,-0.45252,-0.45252,-0.336,0.0,-1.3381101e-14,14.87063
418.188,-0.45252,-0.45252,-0.288,0.0,-1.3416113e-14,22.027777
420.681,-0.45252,-0.45252,-0.24,0.0,-1.326979e-14,1.575026e-14
423.235,-0.45252,-0.45252,-0.216,0.0,-1.32970595e-14,-8.465804e-15
425.678,-0.45252,-0.45252,-0.192,0.0,-1.3478692e-14,-1.7146202e-14
428.178,-0.45252,-0.45252,-0.168,0.0,-1.3352248e-14,-2.6668487e-14
430.678,-0.45252,-0.45252,-0.144,0.0,-1.3560322e-14,1.0461567e-15
433.17,-0.45252,-0.45252,-0.12,0.0,-1.3400531e-14,5.3197095e-15
435.651,-0.45252,-0.45252,-0.096,0.0,-1.33610435e-14,5.4414518e-14
438.152,-0.45252,-0.45252,-0.072,0.0,-1.312197e-14,9.743469e-15
440.679,-0.45252,-0.45252,-0.072,0.0,-1.33979115e-14,2.4681461e-14
443.153,-0.45252,-0.45252,-0.048,0.0,-1.3061749e-14,21.743193
445.746,-0.45252,-0.45252,-0.048,0.0,0.18185854,36.663536
448.158,-0.45252,-0.45099,-0.024,0.0,0.24438472,2.1527145
450.651,-0.45252,-0.45099,-0.024,0.0,-0.0051779007,-39.580112
453.276,-0.45252,-0.45252,-0.024,0.0,-0.06461811,-24.946518
455.67,-0.45252,-0.45099,0.0,0.0,0.057305936,4.9390893
458.153,-0.45252,-0.45099,0.0,0.0,-0.0032634088,-24.832863
460.677,-0.45252,-0.45252,0.0,0.0,-0.24560122,-38.6986
