time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
199.744,0.0,0.0721,0.0,0.0,0.43567213,350.18784
201.187,0.28839,0.0721,0.0,-344.32,1.2307496,377.8015
203.764,0.28839,0.0721,0.0,1460.67,1.9983455,408.40802
206.252,0.28839,0.07517,0.0,1579.03,2.7971668,410.64825
208.764,0.28532,0.08437,0.024,1073.31,4.0344443,380.35205
211.327,0.28532,0.09664,0.048,642.91,5.3830204,315.219
213.74,0.28379,0.11351,0.168,328.18,6.194878,194.07755
216.246,0.28379,0.13192,0.288,69.94,6.4690776,37.33342
218.805,0.28072,0.15033,0.528,-115.67,6.1961527,-100.74695
221.273,0.28072,0.16414,0.743,-252.86,5.5261645,-174.25726
223.762,0.27765,0.17794,1.079,-306.66,4.810174,-191.95425
226.245,0.27765,0.18715,1.319,-328.18,4.2801266,-166.06395
228.75,0.27458,0.19635,1.679,-295.9,4.0470667,-129.65425
231.244,0.27151,0.20555,1.918,-287.83,3.846115,-115.90822
233.784,0.27151,0.21629,2.278,-306.66,3.6992118,-134.74374
236.297,0.27151,0.22703,2.542,-285.14,3.3787456,-170.04713
238.783,0.26691,0.2347,2.902,-287.83,2.8137264,-196.55533
241.237,0.26691,0.24083,3.118,-290.52,2.1062193,-200.94536
243.74,0.26384,0.24544,3.381,-263.62,1.5325431,-175.58237
246.236,0.26384,0.24697,3.525,-252.86,1.1364783,-130.67267
248.79,0.25924,0.2485,3.621,-182.92,0.93922526,-88.00334
251.279,0.25924,0.25157,3.621,-161.4,0.85261005,-66.90986
253.78,0.25311,0.25311,3.549,-131.81,0.78963166,-65.77178
256.268,0.25311,0.25617,3.477,-164.09,0.636998,-76.67931
258.771,0.2485,0.25771,3.309,-153.33,0.3513196,-83.747215
261.243,0.2485,0.25771,3.189,-169.47,0.065658234,-83.25543
263.77,0.24237,0.25771,2.974,-129.12,-0.17552185,-69.711365
266.245,0.24237,0.25617,2.83,-134.5,-0.2634742,-50.81629
268.746,0.23623,0.25464,2.566,-88.77,-0.37289357,-36.333767
271.249,0.23623,0.25464,2.374,-94.15,-0.39474285,-30.03165
273.742,0.22856,0.25464,2.11,-83.39,-0.460075,-29.04643
276.245,0.22856,0.25157,1.918,-107.6,-0.5479043,-26.56416
278.759,0.22243,0.25157,1.655,-94.15,-0.65719616,-29.401949
281.247,0.22243,0.2485,1.463,-107.6,-0.7008531,-29.404535
283.743,0.21322,0.24697,1.223,-67.25,-0.7228931,-31.299353
286.249,0.21322,0.24544,1.079,-99.53,-0.85453933,-34.498314
288.752,0.20555,0.2439,0.839,-88.77,-0.9199773,-40.76235
291.255,0.20555,0.24083,0.695,-118.36,-1.0518818,-42.32373
293.746,0.19635,0.23777,0.48,-91.46,-1.162191,-39.81846
296.245,0.19635,0.2347,0.36,-115.67,-1.2934362,-36.62161
298.745,0.18715,0.23163,0.168,-69.94,-1.3370038,-31.234362
301.244,0.18715,0.22856,0.072,-91.46,-1.4246017,-24.651823
303.75,0.17794,0.22396,-0.072,-59.18,-1.4674461,-17.516073
306.251,0.17794,0.22089,-0.168,-80.7,-1.53349,-15.393483
308.742,0.1672,0.21629,-0.312,-48.42,-1.5338954,-13.215766
311.26,0.1672,0.21322,-0.408,-80.7,-1.5348965,-15.438719
313.744,0.15647,0.20862,-0.528,-48.42,-1.6006362,-17.590141
316.246,0.15647,0.20555,-0.624,-75.32,-1.6437571,-21.8459
318.738,0.14419,0.20095,-0.719,-32.28,-1.7317879,-24.61258
321.242,0.14419,0.19635,-0.815,-104.91,-1.7755054,-24.050991
323.749,0.13192,0.19175,-0.911,-78.01,-1.839421,-24.881746
326.244,0.11965,0.18715,-0.959,-99.53,-1.9057534,-23.749964
328.733,0.11965,0.18254,-1.055,-156.02,-1.9510785,-24.385754
331.265,0.11965,0.17794,-1.127,-102.22,-2.0351024,-21.790806
333.735,0.10738,0.17181,-1.199,-32.28,-2.0757844,-17.605919
336.237,0.09357,0.1672,-1.271,-86.08,-2.1435769,-15.777192
338.789,0.09357,0.16107,-1.343,-156.02,-2.1486847,-14.100831
341.283,0.09357,0.15647,-1.391,-80.7,-2.1500213,-16.304226
343.742,0.07977,0.15033,-1.463,-37.66,-2.219026,-17.995869
346.231,0.07977,0.14573,-1.511,-80.7,-2.2665298,-21.879847
348.729,0.06443,0.13959,-1.583,-43.04,-2.3507268,-21.520369
351.233,0.06443,0.13346,-1.631,-110.29,-2.3891494,-19.712637
353.733,0.04909,0.12732,-1.703,-48.42,-2.4538,-21.282862
356.234,0.04909,0.12118,-1.751,-112.98,-2.4537246,-22.570396
358.735,0.03375,0.11505,-1.823,-61.87,-2.5197883,-23.502638
361.234,0.03375,0.10891,-1.871,-107.6,-2.629068,-23.232704
363.733,0.01841,0.10278,-1.942,-64.56,-2.6955726,-23.209248
366.235,0.01841,0.09511,-1.966,-91.46,-2.7179756,-19.098825
368.735,0.00153,0.08744,-2.038,-56.49,-2.7611947,-16.250751
371.23,0.00153,0.0813,-2.086,-91.46,-2.804611,-16.210064
373.73,-0.01381,0.07517,-2.134,-61.87,-2.8263874,-16.581148
376.235,-0.01381,0.0675,-2.182,-91.46,-2.8921149,-16.389656
378.737,-0.03068,0.05983,-2.254,-56.49,-2.9360096,-16.453304
381.235,-0.03068,0.05216,-2.278,-88.77,-2.9591963,-16.768887
383.732,-0.04755,0.04449,-2.35,-64.56,-3.0040536,-18.872171
386.232,-0.06443,0.03835,-2.398,-91.46,-3.0477595,-20.289589
388.73,-0.06443,0.03068,-2.446,-185.61,-3.0911417,-19.485489
391.228,-0.06443,0.02148,-2.494,-83.39,-3.19929,-14.076527
393.73,-0.0813,0.01381,-2.542,-13.45,-3.2200894,-8.169204
396.228,-0.0813,0.00614,-2.59,-45.73,-3.2191427,-4.21447
398.737,-0.09817,-0.00307,-2.638,-16.14,-3.1753955,-0.32672337
401.236,-0.09817,-0.0092,-2.686,-53.8,-3.1757605,-2.6340928
