time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
000285.943,0.00000,-0.01841,00.000,00000.00,nan,nan
000287.087,0.04295,-0.01841,00.000,00040.35,nan,nan
000289.669,0.04295,-0.01841,00.000,00454.61,nan,nan
000292.145,0.04295,-0.01841,00.000,00403.50,nan,nan
000294.651,0.09050,-0.01687,00.000,00274.38,nan,nan
000297.155,0.09050,-0.01381,00.000,00508.41,nan,nan
000299.645,0.09664,-0.00767,00.024,00406.19,nan,nan
000302.277,0.09664,0.00000,00.072,00252.86,nan,nan
000304.743,-0.01994,0.01074,00.168,00107.60,nan,nan
000307.151,-0.01994,0.01687,00.240,-0683.26,nan,nan
000309.637,-0.01227,0.02454,00.336,-0946.88,nan,nan
000312.147,-0.01227,0.02761,00.504,-0664.43,nan,nan
000314.654,0.03835,0.02761,00.600,-0446.54,nan,nan
000317.144,0.03835,0.02608,00.743,00075.32,nan,nan
000319.644,-0.09664,0.02301,00.815,00169.47,nan,nan
000322.137,-0.09664,0.01994,00.887,-0833.90,nan,nan
000324.633,0.05829,0.01994,00.935,-0823.14,nan,nan
000327.131,0.05829,0.01687,00.959,00548.76,nan,nan
000329.633,-0.02915,0.01381,00.983,00691.33,nan,nan
000332.138,-0.02915,0.01381,00.959,-0174.85,nan,nan
000334.636,-0.05522,0.00920,00.911,-0295.90,nan,nan
000337.133,-0.05522,0.00614,00.815,-0363.15,nan,nan
000339.631,-0.01994,0.00614,00.719,-0282.45,nan,nan
000342.131,-0.01994,0.00307,00.528,00053.80,nan,nan
000344.814,0.08897,-0.00307,00.312,00115.67,nan,nan
000347.130,0.08897,-0.00307,00.192,00755.89,nan,nan
000349.633,-0.07517,-0.00767,00.048,00876.94,nan,nan
000352.134,-0.07517,-0.00614,-0.096,-0538.00,nan,nan
000354.637,-0.08897,-0.00614,-0.192,-0707.47,nan,nan
000357.134,-0.08897,-0.00460,-0.288,-0597.18,nan,nan
000359.634,-0.00307,-0.00614,-0.336,-0438.47,nan,nan
000362.140,-0.00307,-0.01074,-0.408,00312.04,nan,nan
000364.631,0.09511,-0.01534,-0.456,00408.88,nan,nan
000367.164,0.09511,-0.02148,-0.528,01008.75,nan,nan
000369.628,-0.05676,-0.01841,-0.552,00928.05,nan,nan
000372.159,-0.05676,-0.01534,-0.600,-0443.85,nan,nan
000374.663,0.02608,-0.00767,-0.600,-0669.81,nan,nan
000377.159,0.02608,-0.00460,-0.552,00078.01,nan,nan
000379.633,0.07823,-0.00307,-0.504,00169.47,nan,nan
000382.164,0.07823,-0.00460,-0.408,00449.23,nan,nan
