time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s]
280.309,0.0,0.07363,0.0,0.0,-0.42466024,-214.89912,0.0
281.02,-0.2393,0.07363,0.0,-142.57,-0.66652954,-276.0178,-0.02533487
282.355,-0.2393,0.07363,0.0,-702.09,-0.81886756,-366.09457,-0.30716285
283.636,-0.2393,0.0721,0.0,-1525.23,-1.1928005,-432.08847,-1.0202665
284.901,-0.2393,0.07056,0.0,-1565.58,-1.785237,-533.8101,-1.9974673
286.074,-0.2393,0.06903,0.0,-1441.84,-2.724914,-637.4827,-2.8791513
287.346,-0.2393,0.06443,0.0,-1191.67,-3.5739684,-682.19006,-3.716378
288.573,-0.2393,0.05983,0.0,-1100.21,-4.5834165,-691.73486,-4.4192195
289.905,-0.2393,0.05216,-0.048,-1008.75,-5.396133,-628.1115,-5.1213107
291.071,-0.2393,0.04602,-0.072,-928.05,-6.0829387,-534.63776,-5.685733
292.325,-0.2393,0.03682,-0.12,-817.76,-6.970138,-424.90002,-6.2328944
293.571,-0.2393,0.02915,-0.168,-694.02,-7.2754908,-291.5253,-6.703685
294.988,-0.2393,0.01841,-0.264,-564.9,-7.570961,-143.32779,-7.1495347
296.084,-0.2393,0.00614,-0.336,-427.71,-7.726742,-0.17829591,-7.4214354
297.34,-0.2393,0.0,-0.432,-360.46,-7.502066,69.61328,-7.668853
298.635,-0.2393,-0.01074,-0.6,-274.38,-7.252646,104.59725,-7.874326
299.94,-0.2393,-0.02148,-0.719,-196.37,-7.0093164,94.48737,-8.027866
301.078,-0.2393,-0.02608,-0.815,-188.3,-6.99593,32.815586,-8.137275
302.353,-0.2393,-0.03682,-0.935,-99.53,-7.02167,7.84523,-8.228995
303.608,-0.2393,-0.04602,-1.199,0.0,-7.0343275,-3.8058052,-8.260215
304.991,-0.2393,-0.05369,-1.319,48.42,-7.2527475,18.24849,-8.243478
306.072,-0.2393,-0.06443,-1.463,137.19,-6.978638,61.12507,-8.193331
307.358,-0.2393,-0.0721,-1.607,169.47,-6.9800587,115.96697,-8.094767
308.614,-0.2393,-0.0813,-1.918,231.34,-6.8195744,159.99898,-7.9689465
309.936,-0.2393,-0.08897,-2.062,252.86,-6.535337,160.80415,-7.8089623
311.097,-0.2393,-0.09817,-2.23,293.21,-6.210601,192.54482,-7.650509
312.316,-0.2393,-0.10431,-2.398,314.73,-6.065129,193.62718,-7.46529
313.594,-0.2393,-0.11351,-2.71,338.94,-5.914321,182.34639,-7.2565
314.926,-0.2393,-0.11812,-2.878,352.39,-5.492011,154.51277,-7.02635
316.079,-0.2393,-0.12732,-3.07,365.84,-5.3644757,146.49586,-6.819377
317.32,-0.2393,-0.13346,-3.237,371.22,-5.180986,142.54503,-6.590767
318.568,-0.2393,-0.13806,-3.405,395.43,-5.18878,134.59126,-6.3516374
319.92,-0.2393,-0.14573,-3.717,376.6,-4.9379478,168.27478,-6.0907626
321.071,-0.2393,-0.15186,-3.885,384.67,-4.6846466,198.14839,-5.8717675
322.349,-0.2393,-0.158,-4.029,379.29,-4.4628057,234.4609,-5.627749
323.593,-0.2393,-0.16414,-4.293,365.84,-4.040252,240.40955,-5.396077
324.938,-0.2393,-0.1672,-4.412,371.22,-3.771079,226.23103,-5.1483088
326.067,-0.2393,-0.17181,-4.508,347.01,-3.4405322,210.90027,-4.945644
327.361,-0.2393,-0.17641,-4.604,322.8,-3.2004921,177.62152,-4.7290196
328.567,-0.2393,-0.18101,-4.772,317.42,-3.0886526,157.11845,-4.5360465
329.953,-0.2393,-0.18408,-4.82,298.59,-2.8122075,126.73052,-4.3226576
331.07,-0.2393,-0.18715,-4.892,271.69,-2.726938,105.082794,-4.1634502
332.32,-0.2393,-0.19021,-4.916,250.17,-2.5562203,98.71609,-4.000414
333.565,-0.2393,-0.19328,-4.94,244.79,-2.5189257,99.522934,-3.8463998
334.863,-0.2393,-0.19788,-4.988,242.1,-2.4455402,114.062225,-3.6884472
336.064,-0.2393,-0.19942,-4.988,231.34,-2.2583547,115.25474,-3.546336
337.348,-0.2393,-0.20249,-4.964,201.75,-2.0104175,125.38032,-3.4073522
338.598,-0.2393,-0.20555,-4.964,193.68,-1.8413031,123.66379,-3.2838142
339.912,-0.2393,-0.20709,-4.892,188.3,-1.7949314,104.38271,-3.158368
341.065,-0.2393,-0.20862,-4.868,188.3,-1.6225357,86.54194,-3.0498428
342.344,-0.2393,-0.21169,-4.82,180.23,-1.4975864,83.00719,-2.9320378
343.593,-0.2393,-0.21322,-4.772,158.71,-1.4539399,75.58041,-2.8262327
344.866,-0.2393,-0.21476,-4.652,139.88,-1.3576878,55.69686,-2.7312326
346.063,-0.2393,-0.21629,-4.58,131.81,-1.2239254,39.799343,-2.6499517
347.346,-0.2393,-0.21783,-4.508,121.05,-1.2283719,38.74135,-2.5688689
348.591,-0.2393,-0.21936,-4.412,115.67,-1.2276939,37.8633,-2.4952102
349.882,-0.2393,-0.22089,-4.245,107.6,-1.2247132,49.746166,-2.4231694
351.063,-0.2393,-0.22243,-4.173,110.29,-1.0881971,69.75039,-2.358855
352.345,-0.2393,-0.22396,-4.077,110.29,-1.0064567,87.25498,-2.2881784
353.598,-0.2393,-0.2255,-3.885,102.22,-0.8353655,87.28583,-2.221628
354.92,-0.2393,-0.2255,-3.789,96.84,-0.74457616,69.342995,-2.1558568
356.066,-0.2393,-0.22703,-3.693,83.39,-0.61231905,61.357006,-2.104235
357.316,-0.2393,-0.22703,-3.597,78.01,-0.6144723,41.839737,-2.0538113
358.593,-0.2393,-0.22856,-3.501,69.94,-0.61531276,35.17285,-2.0065913
359.875,-0.2393,-0.22856,-3.309,67.25,-0.48093268,19.933922,-1.9626338
361.063,-0.2393,-0.2301,-3.213,61.87,-0.5241623,17.52581,-1.9242958
362.342,-0.2393,-0.2301,-3.118,61.87,-0.43910432,0.0663172,-1.8847407
363.59,-0.2393,-0.2301,-3.022,59.18,-0.527113,-17.887428,-1.8469836
364.872,-0.2393,-0.23163,-2.83,59.18,-0.48254418,-20.314245,-1.8090595
366.063,-0.2393,-0.23163,-2.758,51.11,-0.6138706,-12.290068,-1.7762296
367.343,-0.2393,-0.23317,-2.662,51.11,-0.61595076,11.620449,-1.7435282
368.568,-0.2393,-0.23317,-2.494,56.49,-0.6155119,27.917831,-1.7105848
369.883,-0.2393,-0.2347,-2.398,53.8,-0.4816321,55.153275,-1.6743369
371.063,-0.2393,-0.2347,-2.326,48.42,-0.39301702,63.9826,-1.6441902
372.344,-0.2393,-0.23623,-2.23,40.35,-0.3507931,67.78027,-1.6157695
373.593,-0.2393,-0.2347,-2.158,53.8,-0.21951084,41.325756,-1.5863792
374.875,-0.2393,-0.23623,-2.014,45.73,-0.17494558,23.653847,-1.5544885
376.063,-0.2393,-0.23623,-1.942,61.87,-0.08714854,4.959135,-1.5225401
377.343,-0.2393,-0.23623,-1.871,67.25,-0.26252288,-12.538208,0.041307073
378.598,-0.2393,-0.23623,-1.727,61.87,-0.21938586,-13.955946,0.08180737
379.887,-0.2393,-0.23623,-1.655,53.8,-0.2623325,-2.6531637,0.119071804
381.063,-0.2393,-0.23777,-1.607,45.73,-0.2623325,28.810545,0.1483256
382.341,-0.2393,-0.23777,-1.535,40.35,-0.2196439,37.719418,0.17582062
383.591,-0.2393,-0.23777,-1.487,37.66,-0.13124172,43.96497,0.20019206
384.878,-0.2393,-0.23777,-1.367,34.97,-2.5286266e-14,27.525393,0.22355436
386.063,-0.2393,-0.23777,-1.295,29.59,-2.5126983e-14,0.039845716,0.019120656
387.342,-0.2393,-0.23777,-1.247,21.52,-2.5170368e-14,-16.248594,0.016337942
388.592,-0.2393,-0.23777,-1.199,18.83,-0.13168003,-28.778307,0.012605919
389.874,-0.2393,-0.23777,-1.103,16.14,-0.21810511,-13.659773,0.023810731
391.062,-0.2393,-0.23777,-1.055,13.45,-0.13021639,2.6193628,0.03259655
392.343,-0.2393,-0.2393,-1.007,10.76,-0.17420977,23.837187,0.040347677
393.593,-0.2393,-0.2393,-0.983,10.76,-0.04274535,22.493769,0.047070835
394.878,-0.2393,-0.23777,-0.887,5.38,-0.04305927,2.456029,0.005183554
396.063,-0.2393,-0.2393,-0.863,2.69,0.0008163831,-1.307677,0.002390082
397.342,-0.2393,-0.23777,-0.815,2.69,-0.0866042,-3.8699858,0.0017197834
398.594,-0.2393,-0.2393,-0.791,0.0,-0.17438067,11.255014,0.0008417392
399.875,-0.2393,-0.2393,-0.719,0.0,-0.086931325,18.6743,0.0008417392
401.067,-0.2393,-0.2393,-0.695,0.0,0.0008834049,36.1998,0.0
402.344,-0.2393,-0.2393,-0.647,0.0,0.08888605,32.78442,0.0
403.601,-0.2393,-0.2393,-0.624,0.0,0.045193363,7.8694916,0.0
404.886,-0.2393,-0.23777,-0.576,0.0,0.13249801,-18.29896,0.0
406.067,-0.2393,-0.2393,-0.528,0.0,0.046077877,-25.87085,0.0
407.343,-0.2393,-0.2393,-0.504,0.0,-0.04040719,-26.141294,0.0
408.681,-0.2393,-0.23777,-0.456,0.0,-0.12830257,-30.225744,0.0
409.886,-0.2393,-0.2393,-0.432,0.0,-0.04111498,-8.057587,0.0
411.071,-0.2393,-0.2393,-0.408,0.0,-0.08508456,8.225067,0.0
412.348,-0.2393,-0.2393,-0.408,0.0,-0.13054535,15.927631,0.0
413.595,-0.2393,-0.2393,-0.36,0.0,-1.2444382e-14,12.209238,0.0
414.931,-0.2393,-0.2393,-0.336,0.0,-1.2666083e-14,14.786467,0.0
416.071,-0.2393,-0.2393,-0.336,0.0,-1.2591955e-14,11.158707,0.0
417.345,-0.2393,-0.2393,-0.312,0.0,-1.2609857e-14,-1.1248293e-14,0.0
418.592,-0.2393,-0.2393,-0.288,0.0,-1.2507385e-14,-9.32547e-15,0.0
419.919,-0.2393,-0.2393,-0.264,0.0,-1.2584058e-14,-2.2654574e-15,0.0
421.079,-0.2393,-0.2393,-0.24,0.0,-1.265643e-14,-1.1960707e-14,0.0
422.35,-0.2393,-0.2393,-0.24,0.0,-1.2739023e-14,11.286165,0.0
423.592,-0.2393,-0.2393,-0.216,0.0,-1.2482803e-14,15.286395,0.0
424.902,-0.2393,-0.2393,-0.192,0.0,-1.2713846e-14,24.059433,0.0
426.067,-0.2393,-0.2393,-0.192,0.0,0.13239828,20.122257,0.0
427.342,-0.2393,-0.2393,-0.168,0.0,0.08983117,6.496635,0.0
428.576,-0.2393,-0.2393,-0.168,0.0,0.17775567,-14.964838,0.0
429.916,-0.2393,-0.23777,-0.144,0.0,0.089537784,-29.89177,0.0
431.068,-0.2393,-0.2393,-0.144,0.0,0.0020278287,-25.156305,0.0
432.345,-0.2393,-0.23777,-0.144,0.0,-0.08560056,-29.108053,0.0
433.595,-0.2393,-0.2393,-0.12,0.0,-0.04230052,-10.231736,0.0
434.868,-0.2393,-0.2393,-0.12,0.0,0.0003139222,10.888023,0.0
436.067,-0.2393,-0.2393,-0.096,0.0,-0.08716522,14.619057,0.0
437.344,-0.2393,-0.23777,-0.096,0.0,-0.00020932966,1.1537046,0.0
438.593,-0.2393,-0.2393,-0.096,0.0,0.08699036,0.011929691,0.0
439.915,-0.2393,-0.2393,-0.072,0.0,-0.00017435332,-1.2354817,0.0
441.068,-0.2393,-0.2393,-0.072,0.0,-0.08794525,-14.910645,0.0
442.343,-0.2393,-0.23777,-0.072,0.0,-0.00038646223,-22.365988,0.0
443.592,-0.2393,-0.2393,-0.072,0.0,-0.04449669,6.366278,0.0
444.9,-0.2393,-0.2393,-0.048,0.0,-0.08720032,31.106667,0.0
446.067,-0.2393,-0.2393,-0.048,0.0,-0.13015656,32.089306,0.0
447.344,-0.2393,-0.2393,-0.048,-2.69,0.12966003,29.814312,-0.00085854705
448.592,-0.2393,-0.2393,-0.048,-2.69,0.21772319,13.5607,-0.0025366468
449.931,-0.2393,-0.2393,-0.024,-2.69,0.12977666,-15.0674,-0.004337108
451.068,-0.2393,-0.23777,-0.024,-2.69,0.041689448,-54.86627,-0.005865954
452.343,-0.2393,-0.23777,-0.024,-2.69,-0.04570147,-43.772198,-0.0017144049
453.584,-0.2393,-0.2393,-0.024,-2.69,-0.13439113,0.47295028,-0.0016686874
454.893,-0.2393,-0.2393,-0.024,-2.69,-0.21859719,26.48796,-0.0034288098
456.068,-0.2393,-0.2393,-0.024,0.0,0.0015870163,35.02939,-0.0042187804
457.345,-0.2393,-0.2393,-0.024,0.0,0.21929568,37.686287,0.0
458.592,-0.2393,-0.2393,-0.024,0.0,0.13261147,14.983135,0.0
459.914,-0.2393,-0.23777,0.0,0.0,0.044971198,-31.105185,0.0
461.067,-0.2393,-0.23777,0.0,0.0,0.08896014,-49.824432,0.0
462.343,-0.2393,-0.2393,0.0,-2.69,-0.04150733,-21.496117,-0.00085787475
463.592,-0.2393,-0.2393,0.0,-2.69,-0.17397642,-6.374283,-0.0016794445
464.897,-0.2393,-0.23777,0.0,0.0,-0.12965581,-5.1720033,-0.0025568164
466.067,-0.2393,-0.2393,0.0,0.0,0.089311056,12.12046,-0.0025568164
467.346,-0.2393,-0.2393,0.0,0.0,0.002237941,13.471461,0.0
468.601,-0.2393,-0.2393,0.0,0.0,-0.08547516,-4.2573304,0.0
469.865,-0.2393,-0.23777,0.0,0.0,-0.0009402032,-11.179389,0.0
471.076,-0.2393,-0.2393,0.0,0.0,-0.04317268,9.298957,0.0
472.414,-0.2393,-0.2393,0.0,0.0,-0.08719039,28.26349,0.0
473.886,-0.2393,-0.2393,0.0,0.0,-0.0030126018,48.290318,0.0
474.884,-0.2393,-0.2393,0.0,0.0,0.08805063,95.26692,0.0
476.073,-0.2393,-0.2393,0.0,0.0,0.17966294,156.56549,0.0
477.348,0.17181,-0.23777,0.0,0.0,0.36226273,239.9915,0.0
478.569,0.17181,-0.2393,0.0,392.74,0.7017196,350.2199,0.11985102
479.926,0.17181,-0.23777,0.0,1468.74,1.136409,484.67773,0.751185
481.069,0.17181,-0.23623,0.0,1570.96,1.8384962,579.682,1.6195412
482.346,0.17181,-0.23317,0.0,1409.56,2.806347,645.96124,2.5708113
483.576,0.17181,-0.2301,0.0,1266.99,3.8378856,664.5457,3.3936248
484.908,0.17181,-0.22396,0.024,1086.76,4.5039706,622.27374,4.177209
486.067,0.17181,-0.21783,0.048,1016.82,5.3247137,531.9706,4.786554
487.344,0.17181,-0.20862,0.072,866.18,5.9594936,441.02167,5.387537
488.592,0.17181,-0.20402,0.12,780.1,6.5119286,370.21317,5.9010353
489.913,0.17181,-0.19328,0.216,618.7,6.7828217,285.11905,6.3628626
491.067,0.17181,-0.18561,0.264,532.62,7.07107,211.67935,6.694927
492.343,0.17181,-0.17487,0.336,398.12,7.373322,151.63112,6.9917517
493.594,0.17181,-0.1672,0.408,349.7,7.5240693,110.18113,7.2255683
494.916,0.17181,-0.15647,0.6,260.93,7.5716653,75.98589,7.427326
496.067,0.17181,-0.1488,0.695,234.03,7.602547,31.84918,7.569712
497.345,0.17181,-0.13652,0.815,177.54,7.6448336,-8.619888,7.701173
498.592,0.17181,-0.12885,0.935,150.64,7.7495313,-32.7126,7.803455
499.905,0.17181,-0.11812,1.175,131.81,7.572995,-48.613586,7.8961434
501.067,0.17181,-0.11045,1.319,99.53,7.373005,-72.478165,7.9633293
502.346,0.17181,-0.09817,1.463,86.08,7.3687744,-80.61021,8.022662
503.592,0.17181,-0.09204,1.607,80.7,7.3419356,-53.74036,8.074599
504.919,0.17181,-0.0813,1.918,64.56,7.1350064,-33.128757,8.122776
506.068,0.17181,-0.07363,2.062,69.94,7.1122537,-5.234272,8.161401
507.347,0.17181,-0.06289,2.23,59.18,7.199349,12.7498,8.202676
508.592,0.17181,-0.05676,2.398,51.11,7.176962,34.99713,8.236994
509.925,0.17181,-0.04449,2.758,53.8,7.39377,24.97317,8.271946
511.067,0.17181,-0.03835,2.926,32.28,7.294552,32.047832,8.2965145
512.345,0.17181,-0.02761,3.118,-18.83,7.3518624,8.122114,8.300811
513.603,0.17181,-0.01687,3.477,-80.7,7.26032,-36.290245,8.269517
514.978,0.17181,-0.0092,3.645,-137.19,7.529597,-45.66081,8.194638
516.068,0.17181,-0.00153,3.837,-172.16,7.182518,-53.774998,8.110363
517.336,0.17181,0.0092,4.005,-231.34,6.9764214,-77.95976,7.982489
518.596,0.17181,0.01994,4.341,-282.45,7.025739,-127.71976,7.8206897
519.966,0.17181,0.02608,4.508,-295.9,7.049685,-117.150566,7.6226587
521.08,0.17181,0.03375,4.676,-336.25,6.7108974,-143.19128,7.4466534
522.325,0.17181,0.04295,4.82,-341.63,6.3292675,-207.97589,7.235721
523.589,0.17181,0.05369,5.084,-373.91,6.341184,-268.74155,7.0096726
524.947,0.17181,0.05983,5.204,-373.91,5.987541,-272.47095,6.755857
526.069,0.17181,0.06443,5.324,-400.81,5.429241,-276.06454,6.5386076
527.374,0.17181,0.07363,5.42,-411.57,4.8940835,-312.7559,6.2736416
528.594,0.17181,0.07977,5.612,-430.4,4.7762475,-294.94537,6.016911
529.864,0.17181,0.08437,5.683,-414.26,4.5061884,-245.60808,5.748805
531.069,0.17181,0.08897,5.731,-395.43,3.9154725,-212.90314,5.504953
532.347,0.17181,0.09511,5.803,-390.05,3.7108655,-200.37341,5.2540607
533.621,0.17181,0.09971,5.875,-344.32,3.6320024,-159.97339,5.020228
534.94,0.17181,0.10278,5.923,-322.8,3.4166045,-112.11595,4.8003054
536.069,0.17181,0.10738,5.923,-314.73,3.248291,-123.42079,4.620412
537.349,0.17181,0.11198,5.947,-298.59,3.1785867,-137.15501,4.4242034
538.592,0.17181,0.11505,5.947,-277.07,3.0897198,-140.1615,4.245366
539.872,0.17181,0.11965,5.947,-263.62,2.7154331,-145.57193,4.0723925
541.069,0.17181,0.12272,5.923,-269.0,2.565206,-137.09326,3.9130497
542.344,0.17181,0.12579,5.899,-255.55,2.40444,-117.758705,3.7458954
543.592,0.17181,0.12732,5.875,-236.72,2.238849,-88.504875,3.5923493
544.952,0.17181,0.13192,5.779,-220.58,2.233698,-85.25773,3.43691
546.069,0.17181,0.13346,5.731,-212.51,2.1403835,-91.72557,3.3160026
547.324,0.17181,0.13652,5.683,-201.75,2.0233536,-91.60452,3.1860642
