time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s]
0.286776,0.0,0.32674,0.0,0.0,-1.2290838,-294.77597,0.0
0.287947,0.1488,0.32674,0.0,-871.56,-1.5959274,-350.43704,-0.2998167
0.289274,0.1488,0.3252,0.0,-1398.8,-2.0055814,-374.8345,-1.1821439
0.290515,0.1488,0.32214,0.0,-1248.16,-2.3253243,-386.60114,-2.137391
0.291747,0.1488,0.31907,0.0,-1051.79,-3.0575895,-390.94046,-2.960946
0.292957,0.1488,0.31447,0.0,-788.17,-3.5552318,-374.24564,-3.5997136
0.294272,0.1488,0.30986,-0.024,-616.01,-4.0813484,-323.487,-4.1294847
0.295498,0.1488,0.30373,-0.072,-414.26,-4.3774242,-253.23018,-4.488625
0.296764,0.1488,0.29913,-0.096,-320.11,-4.659873,-184.4666,-4.7463746
0.297972,0.1488,0.29146,-0.144,-161.4,-4.7505846,-103.09247,-4.897074
0.29925,0.1488,0.28685,-0.192,-99.53,-5.022359,-44.633827,-4.977216
0.300554,0.1488,0.27918,-0.288,2.69,-4.969119,17.818377,-4.9971848
0.301805,0.1488,0.27458,-0.36,43.04,-4.78029,65.90091,-4.9640775
0.302978,0.1488,0.26538,-0.408,94.15,-4.7448635,123.96258,-4.8987427
0.304297,0.1488,0.26231,-0.48,137.19,-4.5348644,129.29442,-4.7897406
0.305557,0.1488,0.25617,-0.647,145.26,-4.373669,129.38376,-4.6659
0.306924,0.1488,0.25004,-0.719,182.92,-4.0380473,144.5845,-4.5142636
0.307996,0.1488,0.24544,-0.815,185.61,-4.0794244,131.4751,-4.384123
0.309268,0.1488,0.24083,-0.887,182.92,-3.8842845,116.98449,-4.2237844
0.310499,0.1488,0.23623,-1.079,217.89,-3.5978267,92.23261,-4.0623116
0.311757,0.1488,0.23163,-1.175,215.2,-3.5912838,91.582855,-3.8903382
0.312953,0.1488,0.22703,-1.247,207.13,-3.4966779,71.7789,-3.725746
0.314289,0.1488,0.22396,-1.343,215.2,-3.4640064,69.62816,-3.543672
0.315499,0.1488,0.21783,-1.559,212.51,-3.3237615,94.94941,-3.3804762
0.316779,0.1488,0.21476,-1.655,196.37,-3.2690954,113.460846,-3.215475
0.317954,0.1488,0.21016,-1.751,185.61,-3.0569196,136.34874,-3.0730286
0.319274,0.1488,0.20709,-1.847,193.68,-2.8391933,150.24945,-2.9137278
0.320532,0.1488,0.20249,-2.038,193.68,-2.6711757,159.9853,-2.7597866
0.321798,0.1488,0.20095,-2.134,182.92,-2.4485242,137.17169,-2.6098568
0.322996,0.1488,0.19635,-2.23,166.78,-2.2407184,121.50976,-2.4786735
0.32425,0.1488,0.19482,-2.302,164.09,-2.0755825,101.8828,-2.3479242
0.325511,0.1488,0.19175,-2.47,166.78,-2.1055686,76.08292,-2.2170963
0.326772,0.1488,0.19021,-2.542,153.33,-1.9259061,68.51296,-2.0905712
0.327949,0.1488,0.18715,-2.614,134.5,-1.8856132,73.90777,-1.9831396
0.329304,0.1488,0.18408,-2.662,131.81,-1.8470056,85.011734,-1.8681209
0.3305,0.1488,0.18254,-2.758,126.43,-1.665064,74.408554,-1.771048
0.331747,0.1488,0.18101,-2.782,123.74,-1.5323161,69.956154,-1.673122
0.332976,0.1488,0.17794,-2.806,121.05,-1.4517629,63.585327,-1.578896
0.334273,0.1488,0.17794,-2.83,121.05,-1.4505721,52.29191,-1.4810022
0.335498,0.1488,0.17487,-2.854,99.53,-1.4020103,62.40925,-1.39802
0.336748,0.1488,0.17334,-2.854,96.84,-1.3090653,72.490265,-1.3207122
0.337946,0.1488,0.17181,-2.83,91.46,-1.2221401,75.708336,-1.2501283
0.339268,0.1488,0.17027,-2.83,88.77,-1.0054338,72.22482,-1.175162
0.340532,0.1488,0.16874,-2.782,83.39,-0.9609277,57.50294,-1.1055351
0.341773,0.1488,0.16874,-2.758,83.39,-0.96128654,31.593908,-1.0402246
0.342985,0.1488,0.1672,-2.734,75.32,-0.87717485,17.11498,-0.9805355
0.344269,0.1488,0.16567,-2.71,78.01,-0.8814037,19.797112,-0.9204007
0.345501,0.1488,0.16414,-2.638,69.94,-0.9653237,28.564354,-0.864629
0.346773,0.1488,0.16414,-2.59,67.25,-0.82974297,26.12468,-0.8095234
0.347961,0.1488,0.1626,-2.542,67.25,-0.7891628,38.918694,-0.7602628
0.34927,0.1488,0.16107,-2.494,64.56,-0.7044892,43.705463,-0.7079035
0.35053,0.1488,0.16107,-2.398,59.18,-0.74810684,30.9344,-0.6597374
0.351748,0.1488,0.15953,-2.35,56.49,-0.61402726,35.311882,-0.6155826
0.35296,0.1488,0.15953,-2.302,53.8,-0.6144916,30.695736,-0.57421136
0.354247,0.1488,0.158,-2.254,48.42,-0.61619675,35.720226,-0.53347766
0.355502,0.1488,0.158,-2.158,43.04,-0.4804024,20.266396,-0.49777386
0.356775,0.1488,0.15647,-2.086,43.04,-0.5240773,17.765112,-0.46364555
0.357946,0.1488,0.15647,-2.038,51.11,-0.43717375,11.666471,-0.4288839
0.35927,0.1488,0.15647,-1.99,48.42,-0.52515376,8.805665,-0.38864574
0.360502,0.1488,0.15493,-1.871,48.42,-0.4807479,29.927074,-0.3522016
0.361784,0.1488,0.15493,-1.823,48.42,-0.4778154,34.56551,-0.31426913
0.362994,0.1488,0.1534,-1.775,45.73,-0.39237136,45.897957,-0.27973145
0.364274,0.1488,0.1534,-1.727,43.04,-0.21827875,36.98826,-0.24536423
0.365533,0.1488,0.1534,-1.631,32.28,-0.26334625,25.588636,-0.21685502
0.366783,0.1488,0.1534,-1.583,26.9,-0.21965767,0.7523831,-0.19430296
0.367994,0.1488,0.1534,-1.535,21.52,-0.2648685,-17.785847,-0.17633091
0.369249,0.1488,0.15186,-1.487,26.9,-0.2654765,-9.445386,-0.15796165
0.370533,0.1488,0.15186,-1.391,51.11,-0.35226303,-5.487986,-0.12787803
0.371754,0.1488,0.15186,-1.343,56.49,-0.3503394,6.9095845,-0.088921644
0.372988,0.1488,0.15186,-1.295,56.49,-0.25622767,21.322582,-0.047740366
0.374265,0.1488,0.15033,-1.247,53.8,-0.2607538,43.095005,-0.00625728
0.375523,0.1488,0.15033,-1.175,48.42,-0.21872926,36.572174,0.03148346
0.37701,0.1488,0.15033,-1.127,40.35,-0.13264611,16.293242,0.0
0.377948,0.1488,0.15033,-1.103,34.97,1.284535e-14,10.832305,0.020732416
0.37926,0.1488,0.15033,-1.055,29.59,-0.13339663,9.069967,0.04550737
0.380518,0.1488,0.15033,-0.983,21.52,-0.22367164,13.006255,0.06420904
0.381787,0.1488,0.15033,-0.935,18.83,-0.13079336,15.51942,0.0
0.383073,0.1488,0.1488,-0.911,16.14,-0.03914332,28.963509,0.0
0.384259,0.1488,0.1488,-0.887,16.14,0.04465475,28.014742,0.0
0.385521,0.1488,0.15033,-0.815,10.76,0.0049359025,-2.0753834,0.0
0.387097,0.1488,0.15033,-0.791,2.69,0.006894169,-24.214777,0.0
0.388069,0.1488,0.15033,-0.743,2.69,0.005789484,-30.756197,0.0015358507
0.389272,0.1488,0.1488,-0.719,2.69,-0.17687026,-17.519787,0.0034306329
0.39052,0.1488,0.1488,-0.671,2.69,-0.17867032,2.452068,0.005386453
0.391761,0.1488,0.15033,-0.647,0.0,-0.1312477,23.844414,0.0
0.392965,0.1488,0.1488,-0.624,0.0,-0.043648932,46.552624,0.0
0.394264,0.1488,0.1488,-0.576,0.0,0.044304743,37.549763,0.0
0.395514,0.1488,0.1488,-0.528,0.0,0.08744909,26.185402,0.0
0.396788,0.1488,0.1488,-0.528,0.0,0.1308548,1.4307628,0.0
0.398054,0.1488,0.15033,-0.504,0.0,0.044420835,-16.169943,0.0
0.399258,0.1488,0.15033,-0.48,0.0,0.0882919,-23.706871,0.0
0.400516,0.1488,0.1488,-0.432,0.0,-0.043352365,-20.051342,0.0
0.401761,0.1488,0.1488,-0.408,0.0,-0.043096974,-16.360588,0.0
0.403028,0.1488,0.15033,-0.384,0.0,-0.043547012,-12.524582,0.0
0.404258,0.1488,0.1488,-0.36,0.0,0.0005262684,2.156029,0.0
0.405515,0.1488,0.15033,-0.336,0.0,-0.087030604,-2.7564447,0.0
0.406784,0.1488,0.1488,-0.312,0.0,-0.043457616,0.90670466,0.0
0.407986,0.1488,0.1488,-0.312,0.0,-0.0031614038,-0.3855189,0.0
0.409283,0.1488,0.1488,-0.288,0.0,-0.08693177,10.636786,0.0
0.410517,0.1488,0.15033,-0.264,0.0,-0.002022537,3.888603,0.0
0.412105,0.1488,0.1488,-0.24,0.0,-0.045209255,8.377743,0.0
0.413094,0.1488,0.1488,-0.24,0.0,0.04470677,10.915432,0.0
0.414267,0.1488,0.1488,-0.216,0.0,-0.041672282,0.11884384,0.0
0.415534,0.1488,0.1488,-0.192,0.0,0.052060805,-6.63381,0.0
0.417038,0.1488,0.15033,-0.192,0.0,0.0076672286,-19.550983,0.0
0.418039,0.1488,0.1488,-0.168,0.0,-0.036339458,-9.157497,0.0
0.41926,0.1488,0.1488,-0.168,0.0,-0.0816885,4.231698,0.0
0.420518,0.1488,0.1488,-0.144,0.0,-0.12874858,20.33703,0.0
0.421775,0.1488,0.1488,-0.144,0.0,1.889151e-14,25.113766,0.0
0.423073,0.1488,0.1488,-0.144,0.0,0.13275896,19.792955,0.0
0.424259,0.1488,0.1488,-0.12,0.0,0.0926529,5.989913,0.0
0.425515,0.1488,0.1488,-0.12,0.0,0.05137797,-18.819548,0.0
0.427052,0.1488,0.15033,-0.096,0.0,0.0083307,-23.329008,0.0
0.428031,0.1488,0.1488,-0.096,0.0,-0.035645094,-5.667626,0.0
0.429261,0.1488,0.1488,-0.096,0.0,-0.08179049,5.234856,0.0
0.430517,0.1488,0.1488,-0.072,0.0,0.0076435762,9.104132,0.0
0.431762,0.1488,0.1488,-0.072,0.0,0.08776253,4.979776,0.0
0.432985,0.1488,0.1488,-0.072,0.0,0.043451726,5.236337,0.0
0.43426,0.1488,0.15033,-0.072,0.0,-0.00025733325,1.7521813,0.0
0.435516,0.1488,0.1488,-0.072,0.0,-0.04359044,7.361382,0.0
0.436786,0.1488,0.1488,-0.048,0.0,0.04310359,11.160974,0.0
0.438046,0.1488,0.1488,-0.048,0.0,0.086680025,15.022569,0.0
0.439257,0.1488,0.1488,-0.048,0.0,0.13087338,1.2575761,0.0
0.440512,0.1488,0.15033,-0.048,0.0,0.04340336,-27.521427,0.0
0.441761,0.1488,0.15033,-0.048,0.0,0.08731573,-38.782963,0.0
0.443024,0.1488,0.1488,-0.048,0.0,-0.043907598,-32.333008,0.0
0.444257,0.1488,0.1488,-0.024,0.0,-0.17465036,-21.121037,0.0
0.445512,0.1488,0.15033,-0.024,0.0,-0.1313696,-17.448454,0.0
0.446785,0.1488,0.1488,-0.024,0.0,-0.043983463,7.5383425,0.0
0.448033,0.1488,0.1488,-0.024,0.0,-0.08769691,20.031918,0.0
0.449257,0.1488,0.1488,-0.024,0.0,-0.13139649,16.30191,0.0
0.450511,0.1488,0.1488,-0.024,0.0,1.8835238e-14,12.584177,0.0
0.451759,0.1488,0.1488,-0.024,0.0,1.8506792e-14,14.795368,0.0
0.453039,0.1488,0.1488,-0.024,0.0,1.7923986e-14,10.671787,0.0
