time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
  0.238317,0.00000,0.15647,00.000,00000.00,nan,nan,nan
  0.239130,-0.06136,0.15647,00.000,-0285.14,nan,nan,nan
  0.240469,-0.06136,0.15647,00.000,-1059.86,nan,nan,nan
  0.242250,-0.06136,0.15340,00.000,-1603.24,nan,nan,nan
  0.243061,-0.07056,0.15033,00.000,-1484.88,nan,nan,nan
  0.244191,-0.07056,0.14573,00.000,-1345.00,nan,nan,nan
  0.245461,-0.07056,0.14113,-0.024,-1229.33,nan,nan,nan
  0.247020,-0.07056,0.13499,-0.048,-1035.65,nan,nan,nan
  0.248091,-0.04449,0.12579,-0.096,-0855.42,nan,nan,nan
  0.249188,-0.04449,0.11965,-0.120,-0626.77,nan,nan,nan
  0.250456,-0.04449,0.11351,-0.168,-0365.84,nan,nan,nan
  0.251705,-0.04449,0.10278,-0.240,-0112.98,nan,nan,nan
  0.253085,-0.02301,0.09204,-0.384,00013.45,nan,nan,nan
  0.254188,-0.02301,0.08590,-0.456,00131.81,nan,nan,nan
  0.255446,-0.02301,0.07977,-0.528,00282.45,nan,nan,nan
  0.257001,-0.02301,0.07056,-0.624,00368.53,nan,nan,nan
  0.258134,-0.06596,0.06289,-0.839,00433.09,nan,nan,nan
  0.261019,-0.06596,0.05369,-1.055,00180.23,nan,nan,nan
  0.262349,-0.06596,0.04602,-1.271,00147.95,nan,nan,nan
  0.263589,0.09664,0.04142,-1.391,00185.61,nan,nan,nan
  0.265037,0.09664,0.03682,-1.631,00885.01,nan,nan,nan
  0.266038,0.09664,0.03375,-1.727,01345.00,nan,nan,nan
  0.267349,0.09664,0.03068,-1.847,01414.94,nan,nan,nan
  0.268591,-0.09971,0.02761,-1.966,01250.85,nan,nan,nan
  0.270045,-0.09971,0.02454,-2.158,00145.26,nan,nan,nan
  0.271042,-0.09971,0.02454,-2.278,-0551.45,nan,nan,nan
  0.272399,-0.09971,0.02148,-2.374,-0753.20,nan,nan,nan
  0.273615,-0.05676,0.01841,-2.470,-0677.88,nan,nan,nan
  0.275031,-0.05676,0.01687,-2.566,-0489.58,nan,nan,nan
  0.276084,-0.05676,0.01381,-2.734,-0094.15,nan,nan,nan
  0.277664,-0.05676,0.01227,-2.806,00029.59,nan,nan,nan
  0.279192,0.09357,0.00920,-2.950,00051.11,nan,nan,nan
  0.280105,0.09357,0.00614,-2.998,00341.63,nan,nan,nan
  0.281367,0.09357,0.00614,-3.046,00992.61,nan,nan,nan
  0.282351,0.09357,0.00460,-3.070,01223.95,nan,nan,nan
  0.283596,-0.05522,0.00153,-3.094,01127.11,nan,nan,nan
  0.285103,-0.05522,0.00000,-3.118,00252.86,nan,nan,nan
  0.286082,-0.05522,0.00000,-3.094,-0309.35,nan,nan,nan
  0.293222,-0.05522,-0.00767,-2.830,-0147.95,nan,nan,nan
  0.294074,0.09357,-0.00767,-2.782,-0099.53,nan,nan,nan
  0.296038,0.09357,-0.00920,-2.662,00871.56,nan,nan,nan
  0.297302,0.09357,-0.01074,-2.542,01102.90,nan,nan,nan
  0.299017,0.04909,-0.01074,-2.542,01043.72,nan,nan,nan
  0.300030,0.04909,-0.00920,-2.398,00656.36,nan,nan,nan
  0.300927,0.04909,-0.00920,-2.398,00513.79,nan,nan,nan
  0.302001,0.04909,-0.00767,-2.326,00330.87,nan,nan,nan
  0.303093,0.07977,-0.00767,-2.206,00236.72,nan,nan,nan
  0.304148,0.07977,-0.00614,-2.134,00266.31,nan,nan,nan
  0.305414,0.07977,-0.00307,-2.062,00381.98,nan,nan,nan
  0.306750,0.07977,0.00000,-1.990,00398.12,nan,nan,nan
  0.308086,0.00614,0.00460,-1.823,00320.11,nan,nan,nan
  0.309139,0.00614,0.00614,-1.751,00107.60,nan,nan,nan
  0.310388,0.00614,0.00920,-1.655,-0263.62,nan,nan,nan
  0.311639,0.00614,0.01381,-1.583,-0457.30,nan,nan,nan
  0.313072,-0.02454,0.01687,-1.391,-0451.92,nan,nan,nan
  0.314138,-0.02454,0.01841,-1.295,-0484.20,nan,nan,nan
  0.315509,-0.02454,0.02148,-1.199,-0594.49,nan,nan,nan
  0.317040,-0.02454,0.02148,-1.007,-0581.04,nan,nan,nan
  0.318771,-0.07210,0.02148,-0.911,-0540.69,nan,nan,nan
  0.320060,-0.07210,0.01994,-0.743,-0718.23,nan,nan,nan
  0.321008,-0.07210,0.01994,-0.743,-0782.79,nan,nan,nan
