time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
  0.261381,0.00000,0.02301,00.000,00000.00,nan,nan,nan
  0.262141,-0.06136,0.02301,00.000,00000.00,nan,nan,nan
  0.263454,-0.06136,0.02301,00.000,-0430.40,nan,nan,nan
  0.264701,-0.06136,0.02301,00.000,-0634.84,nan,nan,nan
  0.266569,-0.06136,0.02148,00.000,-0597.18,nan,nan,nan
  0.268003,-0.06136,0.02148,00.000,-0470.75,nan,nan,nan
  0.269446,-0.06136,0.01687,00.000,-0376.60,nan,nan,nan
  0.270131,-0.06136,0.01687,00.000,-0347.01,nan,nan,nan
  0.271094,-0.06136,0.01534,00.000,-0314.73,nan,nan,nan
  0.272369,-0.06136,0.01227,-0.024,-0271.69,nan,nan,nan
  0.273462,-0.06136,0.00920,-0.048,-0239.41,nan,nan,nan
  0.274706,-0.06136,0.00614,-0.072,-0193.68,nan,nan,nan
  0.276027,-0.06136,0.00307,-0.072,-0104.91,nan,nan,nan
  0.277206,-0.06136,0.00000,-0.096,-0056.49,nan,nan,nan
  0.278467,-0.06136,-0.00460,-0.168,-0013.45,nan,nan,nan
  0.281283,-0.06136,-0.01227,-0.288,00053.80,nan,nan,nan
  0.282626,-0.06136,-0.01534,-0.312,00083.39,nan,nan,nan
  0.284117,-0.06136,-0.01994,-0.360,00107.60,nan,nan,nan
  0.285105,-0.06136,-0.02148,-0.408,00118.36,nan,nan,nan
  0.293099,-0.06136,-0.03682,-0.839,00161.40,nan,nan,nan
  0.294428,-0.06136,-0.03835,-0.959,00150.64,nan,nan,nan
  0.295683,-0.06136,-0.03988,-1.007,00142.57,nan,nan,nan
  0.296989,-0.06136,-0.04142,-1.055,00121.05,nan,nan,nan
  0.298157,-0.06136,-0.04295,-1.103,00112.98,nan,nan,nan
  0.299443,-0.06136,-0.04449,-1.223,00102.22,nan,nan,nan
  0.300667,-0.06136,-0.04449,-1.271,00102.22,nan,nan,nan
  0.302028,-0.06136,-0.04755,-1.295,00091.46,nan,nan,nan
  0.303162,-0.06136,-0.04755,-1.343,00091.46,nan,nan,nan
  0.304415,-0.06136,-0.04909,-1.415,00086.08,nan,nan,nan
  0.305673,-0.06136,-0.05062,-1.439,00078.01,nan,nan,nan
  0.307058,-0.06136,-0.05062,-1.463,00075.32,nan,nan,nan
  0.308161,-0.06136,-0.05062,-1.487,00072.63,nan,nan,nan
  0.309446,0.14880,-0.05216,-1.511,00061.87,nan,nan,nan
  0.310668,0.14880,-0.05216,-1.511,00459.99,nan,nan,nan
