time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
0.251031,0.0,0.07977,0.0,0.0,6.6217885e-15,-128.7463,0.0
0.252035,-0.00614,0.07977,0.0,-153.33,-0.25510338,-153.7056,-0.034209907
0.253367,-0.00614,0.07977,0.0,-500.34,-0.45682338,-192.4725,-0.22728999
0.254597,-0.00614,0.07977,0.0,-642.91,-0.45682338,-192.4725,-0.53846914
0.255971,-0.00614,0.07823,0.0,-559.52,-0.85658723,-235.00111,-0.90420884
0.25738,-0.00614,0.0767,0.0,-486.89,-1.3524766,-242.63257,-1.2295427
0.259303,-0.00614,0.07363,0.0,-384.67,-1.9395946,-237.83699,-1.5972311
0.261456,-0.00614,0.06903,-0.024,-303.97,-2.1874301,-198.87036,-1.9195114
0.263058,0.0,0.06443,-0.048,-217.89,-2.6290245,-173.89856,-2.0950565
0.265299,0.0,0.05983,-0.096,-75.32,-2.9637337,-118.20437,-2.2272902
0.266629,0.0,0.05369,-0.144,-10.76,-3.1644185,-31.079237,-2.2475634
0.267938,0.0,0.05062,-0.168,34.97,-3.2139018,60.481396,-2.2377365
0.269137,0.0,0.04602,-0.216,59.18,-3.0212557,85.93554,-2.2079017
0.270483,0.00153,0.04142,-0.288,99.53,-2.8266962,143.06244,-2.1530087
0.271987,0.00153,0.03835,-0.336,118.36,-2.6510699,156.69202,-2.0737953
0.27291,0.00153,0.03682,-0.384,123.74,-2.3920326,160.19228,-2.0202954
0.27413,0.00153,0.03221,-0.432,134.5,-2.1405592,183.7224,-1.9447244
0.27539,0.00153,0.03068,-0.48,142.57,-2.1231253,191.8151,-1.8619703
0.276704,0.0046,0.02761,-0.576,158.71,-1.803264,184.0076,-1.7687327
0.27796,0.0046,0.02608,-0.647,201.75,-1.3756784,165.58128,-1.6626623
0.280231,0.0046,0.02301,-0.743,207.13,-1.0942817,114.28478,-1.4473721
0.280958,0.0046,0.02301,-0.791,190.99,-1.0489448,78.15596,-1.3804537
0.281915,0.0046,0.02148,-0.839,182.92,-1.0129218,71.82758,-1.2971843
0.28299,0.0046,0.01994,-0.887,158.71,-0.93466103,56.340393,-1.2123802
0.284126,0.0046,0.01994,-0.959,145.26,-0.8765341,48.348755,-1.1320071
0.285391,0.0046,0.01841,-1.007,129.12,-0.81115556,49.729763,-1.0518782
0.286939,0.00614,0.01687,-1.103,110.29,-0.7133324,43.22113,-0.9661663
0.28787,0.00614,0.01687,-1.127,104.91,-0.7560867,36.651134,-0.91967005
0.289116,0.00614,0.01534,-1.175,96.84,-0.62147063,29.726103,-0.860945
0.29037,0.00614,0.01534,-1.223,94.15,-0.6274995,10.7118025,-0.8047768
0.291629,0.00153,0.01381,-1.295,83.39,-0.6095058,2.333886,-0.75316644
0.292961,0.00153,0.01381,-1.319,53.8,-0.58216184,-3.1299894,-0.71096265
0.294112,0.00153,0.01227,-1.343,29.59,-0.71122676,1.1176658,-0.6876951
0.295398,0.00153,0.01227,-1.367,21.52,-0.6856389,6.2476273,-0.6711511
0.297253,0.00153,0.01074,-1.391,29.59,-0.5969063,43.33848,-0.6472647
0.297947,0.00153,0.0092,-1.415,32.28,-0.5944189,36.548805,-0.63674253
0.299125,0.00153,0.0092,-1.415,34.97,-0.56894153,33.13267,-0.6176284
0.300431,0.00153,0.0092,-1.415,32.28,-0.40569258,28.16137,-0.5961526
0.302133,0.00307,0.00767,-1.391,34.97,-0.46547684,33.635113,-0.56733316
0.302993,0.00307,0.00767,-1.391,45.73,-0.44823918,40.46949,-0.5508981
0.304141,0.00307,0.00767,-1.367,43.04,-0.41003987,41.701557,-0.5273806
0.305377,0.00307,0.00614,-1.343,34.97,-0.27401364,46.524326,-0.50419235
0.306632,0.0046,0.00614,-1.295,61.87,-0.20580898,24.520554,-0.47569004
0.307941,0.0046,0.00614,-1.271,69.94,-0.15989974,14.739346,-0.43622607
0.309155,0.0046,0.00614,-1.247,67.25,-0.20636526,-4.126474,-0.3981935
0.310875,0.0046,0.00614,-1.199,56.49,-0.30911666,0.9256124,-0.3492893
0.312057,0.00614,0.0046,-1.151,45.73,-0.27921778,35.5009,-0.32154006
0.31308,0.00614,0.0046,-1.127,40.35,-0.21687253,38.302887,-0.3012272
0.314239,0.00614,0.0046,-1.103,37.66,-0.1323563,50.221542,0.0
0.315696,0.00614,0.0046,-1.031,29.59,3.9561505e-16,42.048897,0.0
0.316965,0.00614,0.0046,-1.007,21.52,4.1154022e-16,27.576466,0.0
0.318054,0.00614,0.0046,-0.959,18.83,4.0078375e-16,11.575937,0.0
0.319077,0.00614,0.0046,-0.935,13.45,3.9895535e-16,-2.2838003e-15,0.0
0.320405,0.00614,0.0046,-0.863,8.07,3.913208e-16,-1.9015231e-15,0.0
0.322043,0.00614,0.0046,-0.839,2.69,3.854379e-16,-3.5763607e-15,0.0
0.322876,0.00614,0.0046,-0.815,2.69,3.9060702e-16,-4.6490432e-15,0.0
0.324118,0.00614,0.0046,-0.791,0.0,4.0163684e-16,-7.26693e-14,0.0
0.325529,0.00614,0.0046,-0.719,0.0,3.587447e-16,-4.4039445e-14,0.0
0.326938,-0.00307,0.0046,-0.695,0.0,3.6093996e-16,-9.486367e-14,0.0
0.327918,-0.00307,0.0046,-0.671,-21.52,-4.5042703e-16,-1.115297e-13,0.0
0.329527,-0.00307,0.0046,-0.624,-69.94,4.0118413e-16,2.654262e-15,0.0
0.330972,-0.00307,0.0046,-0.6,-61.87,-5.538154e-16,1.188465e-13,0.0
0.331924,-0.00307,0.0046,-0.576,-56.49,4.3493855e-16,9.824883e-14,0.0
0.33292,-0.00307,0.0046,-0.552,-45.73,4.090545e-16,4.8325503e-14,0.0
0.334114,-0.00307,0.0046,-0.528,-34.97,3.8012758e-16,7.671418e-14,0.0
0.335536,-0.00307,0.0046,-0.48,-24.21,3.8386117e-16,-2.459173e-15,0.0
0.336984,-0.00307,0.0046,-0.456,-16.14,4.0219178e-16,-7.1681776e-14,0.0
0.337955,-0.00307,0.0046,-0.432,-10.76,4.0431646e-16,-1.0963993e-13,0.0
0.339122,-0.00307,0.0046,-0.408,-5.38,4.0070874e-16,-1.199021e-13,0.0
0.340381,-0.00307,0.0046,-0.384,-2.69,-4.608571e-16,-1.4373692e-13,0.0
0.341859,-0.00307,0.0046,-0.36,-2.69,-3.466272e-16,-27.2539,0.0
0.342982,-0.00307,0.0046,-0.336,0.0,-2.0601899e-16,-34.959957,-0.00067091745
0.345994,-0.00307,0.0046,-0.288,0.0,-0.24768144,-47.20877,-0.00067066663
0.347323,-0.00307,0.0046,-0.264,5.38,-0.2409475,-41.804554,0.00092228147
0.348568,-0.00307,0.00307,-0.24,5.38,-0.27914768,-10.902971,0.003897611
0.349926,-0.00307,0.00307,-0.216,8.07,-0.3493121,-4.968738,0.007955802
0.351003,-0.00307,0.00307,-0.216,16.14,-0.34715855,4.8185935,0.013734991
0.352326,-0.00307,0.00307,-0.192,18.83,-0.2650305,10.931262,0.023973217
0.353576,-0.00307,0.00153,-0.192,18.83,-0.26620242,17.061792,0.034341544
0.355002,-0.00307,0.00153,-0.168,5.38,-0.22216,9.800236,0.04186836
0.356003,-0.01381,0.00153,-0.168,2.69,-0.2650456,-3.8284962,0.04358714
0.357339,-0.01381,0.00153,-0.168,-16.14,-0.22199221,-14.459456,0.03950069
0.35852,-0.01381,0.00153,-0.144,-64.56,-0.2655255,-22.504107,0.018220812
0.360006,-0.01381,0.0,-0.144,-61.87,-0.31057417,-24.2265,-0.023200467
0.361063,-0.01534,0.0,-0.144,-51.11,-0.376912,-29.769258,-0.049162786
0.362422,-0.01534,0.0,-0.144,-43.04,-0.38141674,-28.025286,-0.077533595
0.365461,-0.01534,-0.00153,-0.144,-24.21,-0.46416053,-6.773011,-0.122282974
0.366911,-0.01534,-0.00153,-0.144,-16.14,-0.40916762,-12.72888,-0.13487957
0.368025,-0.01534,-0.00307,-0.144,-10.76,-0.4468973,-8.260085,-0.14119019
0.36931,-0.01841,-0.00307,-0.144,-5.38,-0.43404374,-16.7439,-0.14534713
0.370534,-0.01841,-0.00307,-0.144,-8.07,-0.52826816,-29.671156,-0.148561
0.371951,-0.02148,-0.0046,-0.168,-16.14,-0.47210225,-18.84054,-0.15573291
0.373045,-0.02148,-0.0046,-0.168,-21.52,-0.5966739,-11.924237,-0.16445683
0.374302,-0.02148,-0.00614,-0.168,-32.28,-0.6442118,-3.8833494,-0.17915274
0.37578,-0.02148,-0.00614,-0.192,-24.21,-0.51561624,-8.513855,-0.1971859
0.377035,-0.02608,-0.00767,-0.192,-8.07,-0.53606975,3.9980025,-0.20987749
0.378708,-0.02608,-0.00767,-0.216,-18.83,-0.6197389,-17.82226,-0.22391815
0.385276,-0.02761,-0.01227,-0.264,0.0,-0.68837816,-7.48678,-0.2472592
0.3866,-0.03068,-0.01227,-0.288,5.38,-0.7121057,-4.307814,-0.24512312
0.388083,-0.03068,-0.01381,-0.288,-2.69,-0.71996194,6.6037264,-0.24364494
0.389178,-0.03068,-0.01534,-0.288,-10.76,-0.6692765,9.3023205,-0.24633382
0.390439,-0.03068,-0.01534,-0.312,0.0,-0.73668426,7.7657156,-0.24866845
0.392119,-0.03375,-0.01687,-0.336,2.69,-0.6255429,5.1555147,-0.24684352
0.393056,-0.03375,-0.01687,-0.336,0.0,-0.62841314,-3.2784967,-0.24575546
0.394102,-0.03375,-0.01841,-0.36,-5.38,-0.702922,-3.3098643,-0.24639675
0.395357,-0.03375,-0.01841,-0.36,-2.69,-0.68263817,-22.245481,-0.24781461
0.396612,-0.03682,-0.01994,-0.384,0.0,-0.7254902,24.044611,-0.24795671
0.401204,-0.03988,-0.02301,-0.408,0.0,-0.46632403,9.479891,-0.24558678
0.402532,-0.03988,-0.02148,-0.432,0.0,-0.47634393,-85.00754,-0.2449287
0.403929,-0.03988,-0.02301,-0.456,-5.38,-0.58670044,-61.61671,-0.24576671
0.405031,-0.03988,-0.02454,-0.456,0.0,-0.6870537,-42.178,-0.24614008
0.406271,-0.04295,-0.02454,-0.456,0.0,-0.90302,-38.827774,-0.24551281
0.407542,-0.04295,-0.02608,-0.48,0.0,-0.7351739,17.697905,-0.24481988
0.408958,-0.04295,-0.02761,-0.48,0.0,-0.6955699,38.23687,-0.24405019
0.412305,-0.04295,-0.02915,-0.504,0.0,-0.49798054,24.546497,-0.24224047
0.41298,-0.04602,-0.02915,-0.504,0.0,-0.5579787,19.380322,-0.24187714
0.414312,-0.04602,-0.03068,-0.528,0.0,-0.58817965,-2.605621,-0.24108116
0.415559,-0.04602,-0.03068,-0.528,0.0,-0.5008474,-8.4812155,-0.2402693
0.41699,-0.04909,-0.03221,-0.528,0.0,-0.5244431,-12.456185,-0.23946874
0.418047,-0.04909,-0.03221,-0.552,0.0,-0.56460536,-21.689632,-0.23910259
0.419297,-0.04909,-0.03221,-0.552,-5.38,-0.61594963,-33.862125,-0.24012204
0.420592,-0.04909,-0.03375,-0.552,-2.69,-0.6674355,-21.438522,-0.2417248
0.42208,-0.05216,-0.03528,-0.552,0.0,-0.7047325,-8.207535,-0.2420271
0.423053,-0.05216,-0.03528,-0.552,0.0,-0.74459255,4.6285625,-0.24202566
0.424322,-0.05216,-0.03682,-0.552,-2.69,-0.6223522,24.687393,-0.2421957
0.425558,-0.05216,-0.03682,-0.576,-2.69,-0.62645966,31.046509,-0.24280953
0.426982,-0.05522,-0.03835,-0.576,0.0,-0.6144192,23.966743,-0.24284382
0.428058,-0.05522,-0.03835,-0.576,2.69,-0.4794189,6.6397896,-0.24172387
0.429334,-0.05522,-0.03988,-0.576,0.0,-0.5276466,7.5265074,-0.240593
0.430551,-0.05522,-0.03988,-0.576,0.0,-0.5765133,-3.2183251,-0.23989543
0.43192,-0.06136,-0.03988,-0.576,0.0,-0.60424227,-20.592636,-0.23919727
0.433054,-0.06136,-0.04142,-0.576,-13.45,-0.51029986,-13.233039,-0.24224421
0.434298,-0.06136,-0.04295,-0.576,-24.21,-0.60125417,-7.055143,-0.25217423
0.435713,-0.06136,-0.04295,-0.576,-21.52,-0.6925082,-22.522972,-0.26572987
0.437041,-0.06443,-0.04295,-0.576,-13.45,-0.60756046,-39.781704,-0.27512288
0.43806,-0.06443,-0.04449,-0.576,-10.76,-0.5931799,-38.650703,-0.2801616
0.439389,-0.06443,-0.04602,-0.576,-18.83,-0.80809844,-14.258709,-0.28819513
0.440571,-0.06443,-0.04602,-0.576,-13.45,-0.87117344,-18.848213,-0.29586038
0.443659,-0.06443,-0.04909,-0.6,0.0,-0.69039136,27.511425,-0.3047602
0.445363,-0.06443,-0.04909,-0.6,0.0,-0.6618236,5.646852,-0.30385756
0.446852,-0.0675,-0.05062,-0.6,10.76,-0.7179644,-17.458084,-0.29972276
0.447981,-0.0675,-0.05062,-0.6,2.69,-0.70579535,-13.402785,-0.29589054
0.448906,-0.0675,-0.05216,-0.6,0.0,-0.8561929,2.6095598,-0.2947563
0.449937,-0.0675,-0.05369,-0.6,0.0,-0.73243374,20.878052,-0.29431972
0.451232,-0.06596,-0.05369,-0.6,10.76,-0.75155246,16.637081,-0.29039896
0.452476,-0.06596,-0.05522,-0.6,24.21,-0.6062176,6.2523193,-0.27996317
0.454033,-0.06596,-0.05522,-0.6,37.66,-0.60444075,-20.754084,-0.25767106
0.45507,-0.06596,-0.05676,-0.6,40.35,-0.73356926,-19.823812,-0.23919591
0.456266,-0.06903,-0.05676,-0.6,40.35,-0.83396965,-23.79569,-0.2171128
0.457482,-0.06903,-0.05829,-0.624,29.59,-0.8912295,3.8002722,-0.19761194
0.458987,-0.06903,-0.05983,-0.624,13.45,-0.7333428,41.89949,-0.18268262
0.45997,-0.06903,-0.06136,-0.624,13.45,-0.75269735,62.97623,-0.17643937
0.461324,-0.07056,-0.06136,-0.624,18.83,-0.59553796,80.89868,-0.16610673
0.462681,-0.07056,-0.06136,-0.624,18.83,-0.45094883,27.182638,-0.1543829
0.468086,-0.07363,-0.06443,-0.647,40.35,-0.5069722,3.4508827,-0.08174179
0.46961,-0.07363,-0.06443,-0.647,24.21,-0.37158814,-4.8615,-0.059554834
0.470984,-0.07517,-0.06596,-0.647,2.69,-0.44833463,-6.2614007,-0.05119789
0.471934,-0.07517,-0.06596,-0.647,2.69,-0.42969933,-14.252487,-0.049978573
0.473173,-0.07517,-0.06596,-0.647,0.0,-0.5174491,-31.266678,-0.049117807
0.474748,-0.07517,-0.0675,-0.647,0.0,-0.4864145,-18.663036,-0.048900425
0.475922,-0.07517,-0.0675,-0.624,2.69,-0.5842818,-13.649956,-0.04804245
0.477374,-0.07517,-0.06903,-0.624,8.07,-0.6372006,-6.7655463,-0.044376347
0.478165,-0.07517,-0.06903,-0.624,21.52,-0.49735677,13.781079,-0.0390339
0.480076,-0.0767,-0.07056,-0.624,24.21,-0.55502564,42.798374,-0.019465022
0.48189,-0.07977,-0.07056,-0.624,21.52,-0.40462017,44.818775,-0.000980761
0.48326,-0.07977,-0.0721,-0.624,5.38,-0.26286674,47.156136,0.0072033433
0.484699,-0.07977,-0.0721,-0.6,0.0,-0.18196078,15.240151,0.008908514
0.485908,-0.08744,-0.0721,-0.6,0.0,-0.2665175,-5.3579483,0.008888235
0.486948,-0.08744,-0.0721,-0.6,-10.76,-0.2209584,-31.29341,0.0063779023
0.488218,-0.08744,-0.0721,-0.6,-48.42,-0.28810012,-44.68215,-0.010345081
0.489511,-0.08744,-0.07363,-0.576,-45.73,-0.44653213,-34.42698,-0.037324212
0.490924,-0.0905,-0.07363,-0.576,-34.97,-0.4430866,-33.931416,-0.062457934
0.493113,-0.0905,-0.07517,-0.552,-32.28,-0.45056826,-8.241006,-0.094911434
0.493904,-0.0905,-0.07517,-0.552,-29.59,-0.51438063,-8.740605,-0.105591476
0.494874,-0.0905,-0.07517,-0.552,-24.21,-0.51438063,-8.740605,-0.11694405
0.495989,-0.09511,-0.0767,-0.528,-16.14,-0.48800793,36.82848,-0.12662667
0.496903,-0.09511,-0.0767,-0.528,-10.76,-0.48800793,36.82848,-0.13184454
0.499966,-0.09511,-0.07823,-0.504,-26.9,-0.21457097,15.938638,-0.1566988
0.501281,-0.09817,-0.07823,-0.504,-18.83,-0.29203752,-0.80782413,-0.16958725
0.502541,-0.09817,-0.07823,-0.504,-18.83,-0.2740887,-44.809723,-0.17971064
0.503888,-0.09817,-0.07823,-0.48,-26.9,-0.3882375,-42.792244,-0.1930555
0.505015,-0.09817,-0.07977,-0.48,-26.9,-0.47497267,-28.977236,-0.2061084
0.506324,-0.10124,-0.07977,-0.48,-16.14,-0.47993296,-25.619898,-0.2177841
0.507559,-0.10124,-0.0813,-0.456,-18.83,-0.5267593,-9.832772,-0.2268042
0.508923,-0.10124,-0.0813,-0.456,-21.52,-0.43752727,-12.490236,-0.23652127
0.510033,-0.10124,-0.0813,-0.456,-10.76,-0.52588224,-29.383984,-0.24218555
0.511285,-0.10124,-0.08283,-0.456,-5.38,-0.4854016,-34.4197,-0.245986
0.512532,-0.10124,-0.08283,-0.432,0.0,-0.6196026,-44.795677,-0.24689078
