time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
0.222625,0.0,0.22243,0.0,0.0,1.2970751e-14,-338.43903,0.0
0.22395,0.09511,0.22243,0.0,-392.74,-0.47300124,-338.39453,-0.115527704
0.225279,0.09511,0.22243,0.0,-1137.87,-1.0420718,-350.6192,-0.5618043
0.226507,0.09511,0.22243,0.0,-890.39,-1.2703356,-342.30957,-1.0780042
0.227758,0.09511,0.21936,0.0,-739.75,-1.7681537,-316.96466,-1.5280795
0.229436,0.09511,0.21476,0.0,-570.28,-2.4448738,-315.28964,-2.0104163
0.230254,0.09511,0.21322,0.0,-481.51,-2.5780191,-318.8757,-2.1983504
0.231508,0.09511,0.21016,-0.024,-400.81,-2.7937343,-311.09448,-2.4364603
0.232774,0.09357,0.20709,-0.024,-387.36,-3.342811,-295.92252,-2.6513855
0.233985,0.09357,0.20249,-0.048,-363.15,-3.7571971,-275.93924,-2.8455603
0.23525,0.09357,0.19788,-0.072,-274.38,-4.1592946,-201.691,-3.0155435
0.236504,0.09357,0.19021,-0.144,-161.4,-4.380788,-85.95354,-3.1299217
0.237808,0.09204,0.18561,-0.192,-102.22,-4.482799,8.31795,-3.1990306
0.239122,0.09204,0.17948,-0.24,-24.21,-4.2214723,85.018906,-3.2267709
0.240289,0.09204,0.17487,-0.288,29.59,-3.9414406,137.99709,-3.217554
0.241501,0.09204,0.16874,-0.408,80.7,-3.8480096,154.65932,-3.179281
0.242945,0.09204,0.16567,-0.456,107.6,-3.684023,128.78853,-3.1104734
0.243949,0.09204,0.16107,-0.528,139.88,-3.4212673,117.41192,-3.0481114
0.245252,0.09204,0.15647,-0.6,209.82,-3.3126557,134.92683,-2.9371226
0.246502,0.09204,0.15186,-0.743,234.03,-3.296501,151.7258,-2.8060098
0.247958,0.0905,0.1488,-0.815,242.1,-3.047161,166.12512,-2.643529
0.249007,0.0905,0.14419,-0.911,250.17,-2.7288885,193.97337,-2.521954
0.250275,0.0905,0.14113,-0.983,250.17,-2.4658594,194.98134,-2.3730721
0.251505,0.0905,0.13806,-1.127,215.2,-2.2148407,170.59564,-2.2390554
0.252754,0.08897,0.13652,-1.223,199.06,-1.9691521,138.58975,-2.1174476
0.254058,0.08897,0.13346,-1.295,164.09,-1.9220572,106.55193,-2.0036097
0.255269,0.08897,0.13192,-1.367,156.02,-1.7800742,79.79968,-1.9071925
0.256515,0.08897,0.12885,-1.511,150.64,-1.6634253,52.533463,-1.8165476
0.258078,0.08744,0.12579,-1.583,129.12,-1.6117959,16.312204,-1.7139797
0.258956,0.08744,0.12579,-1.655,126.43,-1.5963734,-3.3267663,-1.6610125
0.260292,0.08744,0.12425,-1.727,107.6,-1.6282291,-29.577717,-1.5869639
0.262366,0.08744,0.11965,-1.871,91.46,-1.810045,-15.732814,-1.4882458
0.26305,0.0859,0.11812,-1.918,99.53,-1.8410748,-4.9164195,-1.4569545
0.264059,0.0859,0.11658,-1.966,104.91,-1.7799696,11.311189,-1.4083492
0.265254,0.0859,0.11505,-2.014,96.84,-1.595497,34.77013,-1.3512924
0.266505,0.0859,0.11198,-2.11,88.77,-1.6456591,39.755577,-1.2956495
0.268026,0.08437,0.11045,-2.134,86.08,-1.6653697,45.834885,-1.2321444
0.269087,0.08437,0.10891,-2.182,80.7,-1.586493,60.43817,-1.1902375
0.270259,0.08437,0.10584,-2.206,75.32,-1.4811007,106.840256,-1.1467615
