time[s],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2],velocity_integrated[rad/s] 
0.239221,0.0,-0.91118,0.0,-2.69,0.915412,117.95632,0.0
0.240901,-0.06136,-0.91118,0.0,914.6,1.3076668,500.1717,0.34005877
0.242555,-0.06136,-0.90812,0.0,1643.59,1.3076668,500.1717,1.2781454
0.244109,-0.06136,-0.90505,0.0,1404.18,3.6663444,530.7736,2.3244598
0.249589,-0.06136,-0.8805,0.096,868.87,5.6541295,491.32724,5.0509424
0.250915,-0.06136,-0.87284,0.12,761.27,7.573543,349.40378,5.5144424
0.252163,-0.06136,-0.8621,0.216,621.39,7.887189,222.17795,5.8788166
0.253463,-0.06136,-0.84983,0.288,465.37,7.8612156,133.75348,6.173299
0.254887,-0.06136,-0.84216,0.36,403.5,7.823821,-64.60659,6.4278593
0.255993,-0.06136,-0.82988,0.552,298.59,7.505587,-129.2667,6.585062
0.257187,-0.06136,-0.82221,0.647,239.41,7.2729263,-135.79596,6.711551
0.25842,-0.06136,-0.81454,0.767,188.3,7.331781,-141.20648,6.8109617
0.259868,-0.06136,-0.80381,0.887,118.36,6.897737,-52.88667,6.8904257
0.26092,-0.06136,-0.79614,1.007,104.91,6.9643908,-35.020245,6.932977
0.264953,-0.06136,-0.76852,1.559,59.18,7.0418262,-22.451515,7.0193624
0.266295,-0.06136,-0.75472,1.871,51.11,7.0354514,-41.645542,7.0312657
0.267801,-0.06136,-0.74858,2.014,37.66,6.7802544,-37.56537,7.0397973
0.268797,-0.06136,-0.74091,2.182,48.42,6.8175187,-17.693531,7.0434675
0.270036,-0.06136,-0.73171,2.518,43.04,6.5464997,11.157434,7.04674
0.271325,-0.06136,-0.72404,2.686,37.66,7.003554,71.42827,7.049765
0.272775,-0.06136,-0.7133,2.854,51.11,6.9309583,101.392715,7.0546994
0.273839,-0.06136,-0.70717,3.046,40.35,7.003766,112.32477,7.0595007
0.275055,-0.06136,-0.69643,3.405,43.04,7.3479857,67.992325,7.066181
0.27634,-0.06136,-0.68876,3.573,56.49,7.477588,65.732956,7.0745893
0.27776,-0.06136,-0.67802,3.765,53.8,7.427555,44.858532,7.085448
0.279149,-0.06136,-0.66575,4.101,56.49,7.34708,38.72118,7.0973024
0.280035,-0.06136,-0.65961,4.269,75.32,7.4579697,42.00205,7.1043797
0.281363,-0.06136,-0.65194,4.436,59.18,7.507855,101.86477,7.1139064
0.282857,-0.06136,-0.63967,4.604,61.87,7.77948,116.32586,7.123129
0.284739,-0.06136,-0.62433,4.916,51.11,8.091537,21.333431,7.1326
0.28601,-0.06136,-0.61206,5.18,51.11,8.062228,-70.96409,7.137707
0.286775,-0.06136,-0.60746,5.18,43.04,7.775408,-48.73804,7.140302
0.287764,-0.06136,-0.60132,5.3,43.04,7.576299,-81.88598,7.1431417
0.28904,-0.06136,-0.58905,5.54,37.66,7.4671726,-49.89348,7.145978
0.291364,-0.06136,-0.57371,5.731,32.28,7.661617,45.66331,7.1488843
0.292837,-0.06136,-0.56144,5.827,29.59,7.548689,81.80231,7.1493163
0.293949,-0.06136,-0.55377,5.923,37.66,7.8630705,96.88292,7.1489677
0.295182,-0.06136,-0.54303,6.091,29.59,7.8630705,96.88292,7.147941
0.296438,-0.06136,-0.53383,6.163,34.97,8.121422,2.5201325,7.1462436
0.303104,0.1488,-0.4786,6.619,26.9,7.7218695,-61.104694,7.1279926
0.304449,0.1488,-0.47247,6.691,26.9,7.4094496,17.432392,7.123421
0.305771,0.1488,-0.46173,6.739,34.97,7.602606,23.679438,7.1191525
0.306919,0.1488,-0.45252,6.787,24.21,7.515601,11.205786,7.1155763
0.308168,0.1488,-0.44179,6.882,21.52,7.785163,11.309571,7.111772
0.309552,0.1488,-0.43105,6.93,29.59,7.729344,-23.139032,7.107599
0.310801,0.1488,-0.42338,6.978,24.21,7.5852084,-23.683533,7.1038113
0.311909,0.1488,-0.41417,7.002,29.59,7.478093,-30.233273,7.10039
0.313208,0.1488,-0.40344,7.098,29.59,7.4215283,15.053184,7.096252
0.314768,0.1488,-0.3927,7.122,26.9,7.548282,84.75158,7.0910206
0.315783,0.1488,-0.38503,7.146,24.21,7.594026,114.40488,7.087417
0.316922,0.1488,-0.37736,7.194,26.9,7.8786273,122.60605,7.0831428
0.318183,0.1488,-0.36662,7.242,21.52,8.255395,67.657265,7.0780797
0.319454,0.1488,-0.35588,7.266,24.21,8.151878,-3.7588632,7.0725703
0.320983,0.1488,-0.34208,7.314,32.28,8.248703,-58.120075,7.0653205
0.321871,0.1488,-0.33441,7.314,21.52,7.791345,-127.253845,7.0607624
0.323225,0.1488,-0.32674,7.338,32.28,7.5940466,-138.86894,7.053793
0.326584,0.1488,-0.30066,7.386,32.28,7.272049,-49.02567,7.0395155
0.327941,0.1488,-0.29299,7.386,21.52,7.414703,40.005177,7.034743
0.332283,0.1488,-0.25924,7.434,26.9,7.9014263,31.196938,7.0219226
0.333846,0.1488,-0.2485,7.434,24.21,7.8094363,-37.14596,7.017804
0.335038,0.1488,-0.23623,7.458,29.59,7.6538444,-54.645565,7.0146947
0.336097,0.1488,-0.22856,7.458,34.97,7.6892285,-50.46357,7.0118985
0.337342,0.1488,-0.22089,7.458,26.9,7.739696,-34.460648,7.0085077
0.338746,0.1488,-0.21016,7.458,34.97,7.465317,-9.98394,7.0044646
0.339813,0.1488,-0.20095,7.458,26.9,7.5267463,-9.052738,7.001175
0.341137,0.1488,-0.19021,7.458,21.52,7.581805,-2.4820032,6.9967575
0.342362,0.1488,-0.18254,7.482,34.97,7.686947,17.014534,6.9926305
0.343769,0.1488,-0.17181,7.482,29.59,7.5835733,17.309784,6.9891686
0.344808,0.1488,-0.16414,7.482,26.9,7.583416,26.713507,6.9869804
0.346109,0.1488,-0.15186,7.482,32.28,7.625638,23.061455,6.9838934
0.347346,0.1488,-0.14419,7.482,24.21,7.7344832,44.427757,6.979826
0.348764,0.1488,-0.13346,7.482,24.21,7.8469715,37.061604,6.973154
0.349852,0.1488,-0.12579,7.482,26.9,7.7267118,-0.9778491,6.9674907
0.351157,0.1488,-0.11351,7.482,26.9,7.9263325,-57.704903,6.960985
0.352468,0.1488,-0.10278,7.482,24.21,7.8220534,-108.5512,6.9556265
0.353873,0.1488,-0.09357,7.482,34.97,7.5347695,-130.15417,6.9522324
0.355129,0.1488,-0.08283,7.482,29.59,7.2217965,-170.56119,6.9521027
0.356115,0.1488,-0.0767,7.506,32.28,7.0312424,-180.99887,6.952493
0.357353,0.1488,-0.06903,7.506,29.59,6.991722,-158.99947,6.9491563
0.36459,0.1488,-0.0092,7.506,-274.38,5.80457,86.08693,6.4418945
0.36684,0.1488,0.00307,7.506,-317.42,5.9866905,290.27246,6.1141734
0.367713,0.1488,0.0092,7.506,-338.94,6.0774083,206.84999,5.974511
0.368713,0.1488,0.01534,7.506,-357.77,6.783819,81.81867,5.8066764
0.369759,0.1488,0.02148,7.506,-376.6,7.3307443,29.997,5.622633
0.370925,0.1488,0.02915,7.506,-373.91,6.6436343,-255.92041,5.410158
0.37221,0.1488,0.04449,7.482,-408.88,5.88391,-435.58005,5.167981
0.374994,0.1488,0.05522,7.458,-446.54,4.663849,-323.47342,4.6112237
0.376331,0.1488,0.05829,7.434,-430.4,3.856633,-259.82858,4.3391976
0.379693,0.1488,0.07363,7.362,-371.22,3.9646778,-106.03758,3.709373
0.381111,0.1488,0.07823,7.29,-352.39,3.7957852,-117.41631,3.4699452
0.382339,0.1488,0.0813,7.242,-330.87,3.1668992,-215.0277,3.2769377
0.383842,0.1488,0.08897,7.146,-282.45,3.1668992,-215.0277,3.0628154
0.384877,0.1488,0.0905,7.146,-277.07,2.9890504,-165.01662,2.9257224
0.386717,0.1488,0.09511,7.002,-279.76,2.3932142,-119.075645,2.683731
0.388311,0.1488,0.09971,6.882,-250.17,2.620488,-103.96263,2.486638
0.389855,0.1488,0.10278,6.811,-244.79,2.425554,-83.143425,2.30771
0.3912,0.1488,0.10738,6.643,-244.79,2.1591947,-124.4854,2.1547134
0.392809,0.1488,0.11045,6.547,-231.34,2.044284,-104.61398,1.9763724
0.39377,0.1488,0.11198,6.451,-209.82,1.945793,-91.66165,1.8781089
0.39494,0.1488,0.11351,6.355,-190.99,1.7757207,-69.78189,1.7692611
0.396173,0.1488,0.11658,6.139,-172.16,1.7628628,-74.9058,1.6649284
0.397444,0.1488,0.11812,6.043,-161.4,1.7191695,-86.04234,1.5660362
0.39884,0.1488,0.12118,5.923,-150.64,1.6281583,-93.16066,1.464118
0.399922,0.1488,0.12272,5.803,-147.95,1.4206456,-105.978546,1.3889315
0.401171,0.1488,0.12425,5.54,-139.88,1.2237604,-105.60513,1.3056784
0.402422,0.1488,0.12579,5.42,-129.12,1.1450518,-85.38485,1.2279408
0.403942,0.1488,0.12732,5.3,-118.36,1.0173683,-45.931522,1.1404686
0.404925,0.1488,0.12732,5.156,-112.98,0.977804,-21.827332,1.0872731
0.406196,0.1488,0.13039,4.892,-110.29,0.99887985,-29.8961,1.0209194
0.407773,0.1488,0.13039,4.772,-107.6,1.0683377,-33.275024,0.94084746
0.408854,0.1488,0.13192,4.628,-102.22,1.0167941,-44.604534,0.8882612
0.409924,0.1488,0.13346,4.508,-96.84,0.7528459,-61.36282,0.8387417
0.411165,0.1488,0.13499,4.245,-86.08,0.7655675,-61.659462,0.7849181
0.412413,0.1488,0.13499,4.101,-83.39,0.70703363,-37.129204,0.7350175
0.413726,0.1488,0.13499,3.981,-72.63,0.61215794,-8.987334,0.68762255
0.414913,0.1488,0.13652,3.861,-64.56,0.65344197,-9.24934,0.64905673
0.416191,0.1488,0.13806,3.621,-61.87,0.70048994,-17.494982,0.6097309
0.417414,0.1488,0.13806,3.501,-61.87,0.71038985,-38.781235,0.5743013
0.41874,0.1488,0.13959,3.381,-53.8,0.62690437,-55.41923,0.53865546
