time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
199.744,0.0,0.0721,0.0,0.0,1.3616168e-14,-1.3056553e-11
201.187,0.28839,0.0721,0.0,-344.32,-5.224438e-15,115.503044
203.764,0.28839,0.0721,0.0,1460.67,0.43567213,241.87903
206.252,0.28839,0.07517,0.0,1579.03,1.5771058,436.1142
208.764,0.28532,0.08437,0.024,1073.31,3.2915301,621.0968
211.327,0.28532,0.09664,0.048,642.91,5.0788293,651.3745
213.74,0.28379,0.11351,0.168,328.18,6.4121757,525.32733
216.246,0.28379,0.13192,0.288,69.94,7.1971264,233.00179
218.805,0.28072,0.15033,0.528,-115.67,6.771347,-57.02196
221.273,0.28072,0.16414,0.743,-252.86,6.073955,-290.01227
223.762,0.27765,0.17794,1.079,-306.66,5.0082917,-348.1463
226.245,0.27765,0.18715,1.319,-328.18,4.247813,-317.7151
228.75,0.27458,0.19635,1.679,-295.9,3.688418,-161.84679
231.244,0.27151,0.20555,1.918,-287.83,3.8482256,-13.282297
233.784,0.27151,0.21629,2.278,-306.66,4.0820107,35.509823
236.297,0.27151,0.22703,2.542,-285.14,3.9085045,-75.0839
238.783,0.26691,0.2347,2.902,-287.83,3.273984,-219.22821
241.237,0.26691,0.24083,3.118,-290.52,2.4754376,-303.85516
243.74,0.26384,0.24544,3.381,-263.62,1.6645427,-310.04263
246.236,0.26384,0.24697,3.525,-252.86,0.97460026,-228.01802
248.79,0.25924,0.2485,3.621,-182.92,0.7909837,-103.76244
251.279,0.25924,0.25157,3.621,-161.4,0.8550537,3.5712996
253.78,0.25311,0.25311,3.549,-131.81,0.9844363,13.542916
256.268,0.25311,0.25617,3.477,-164.09,0.8603013,-33.62153
258.771,0.2485,0.25771,3.309,-153.33,0.61665547,-106.10628
261.243,0.2485,0.25771,3.189,-169.47,0.1848758,-142.81409
263.77,0.24237,0.25771,2.974,-129.12,-0.18494673,-140.653
266.245,0.24237,0.25617,2.83,-134.5,-0.42975652,-83.737
268.746,0.23623,0.25464,2.566,-88.77,-0.43037692,0.2341136
271.249,0.23623,0.25464,2.374,-94.15,-0.18371251,17.228857
273.742,0.22856,0.25464,2.11,-83.39,-0.3686455,-14.607
276.245,0.22856,0.25157,1.918,-107.6,-0.49054095,-71.016396
278.759,0.22243,0.25157,1.655,-94.15,-0.73558074,-46.534595
281.247,0.22243,0.2485,1.463,-107.6,-0.6748114,-34.493122
283.743,0.21322,0.24697,1.223,-67.25,-0.7976656,9.866162
286.249,0.21322,0.24544,1.079,-99.53,-0.61268526,-7.2618976
288.752,0.20555,0.2439,0.839,-88.77,-0.79712677,-36.788494
291.255,0.20555,0.24083,0.695,-118.36,-1.0433326,-83.69311
293.746,0.19635,0.23777,0.48,-91.46,-1.2278731,-59.20012
296.245,0.19635,0.2347,0.36,-115.67,-1.2283231,-22.225641
298.745,0.18715,0.23163,0.168,-69.94,-1.2282947,-21.967056
301.244,0.18715,0.22856,0.072,-91.46,-1.4109023,-36.4576
303.75,0.17794,0.22396,-0.072,-59.18,-1.4714457,-46.436275
306.251,0.17794,0.22089,-0.168,-80.7,-1.5954916,-12.245815
308.742,0.1672,0.21629,-0.312,-48.42,-1.4713764,-9.892752
311.26,0.1672,0.21322,-0.408,-80.7,-1.5950826,9.731162
313.744,0.15647,0.20862,-0.528,-48.42,-1.4727716,-10.483252
316.246,0.15647,0.20555,-0.624,-75.32,-1.5991535,-12.579042
318.738,0.14419,0.20095,-0.719,-32.28,-1.6572974,-46.311516
321.242,0.14419,0.19635,-0.815,-104.91,-1.8390402,-35.929058
323.749,0.13192,0.19175,-0.911,-78.01,-1.83816,-22.301363
326.244,0.11965,0.18715,-0.959,-99.53,-1.8435535,-0.19353662
328.733,0.11965,0.18254,-1.055,-156.02,-1.8388498,-22.131985
331.265,0.11965,0.17794,-1.127,-102.22,-2.023864,-36.64769
333.735,0.10738,0.17181,-1.199,-32.28,-2.0869966,-46.208485
336.237,0.09357,0.1672,-1.271,-86.08,-2.2022493,-10.01044
338.789,0.09357,0.16107,-1.343,-156.02,-2.0702534,-9.026408
341.283,0.09357,0.15647,-1.391,-80.7,-2.2075562,6.316181
343.742,0.07977,0.15033,-1.463,-37.66,-2.104158,-14.592036
346.231,0.07977,0.14573,-1.511,-80.7,-2.224863,-12.806342
348.729,0.06443,0.13959,-1.583,-43.04,-2.2728236,-43.886654
351.233,0.06443,0.13346,-1.631,-110.29,-2.4534178,-34.629883
353.733,0.04909,0.12732,-1.703,-48.42,-2.4533274,-21.743797
356.234,0.04909,0.12118,-1.751,-112.98,-2.4541128,-0.102111205
358.735,0.03375,0.11505,-1.823,-61.87,-2.4540071,-0.07558372
361.234,0.03375,0.10891,-1.871,-107.6,-2.4539924,-22.084988
363.733,0.01841,0.10278,-1.942,-64.56,-2.6381495,-58.81079
366.235,0.01841,0.09511,-1.966,-91.46,-2.882648,-61.553177
368.735,0.00153,0.08744,-2.038,-56.49,-2.8855307,-0.42934057
371.23,0.00153,0.0813,-2.086,-91.46,-2.6405363,39.16657
373.73,-0.01381,0.07517,-2.134,-61.87,-2.6381202,0.6915377
376.235,-0.01381,0.0675,-2.182,-91.46,-2.8802485,-60.674187
378.737,-0.03068,0.05983,-2.254,-56.49,-3.065914,-59.147484
381.235,-0.03068,0.05216,-2.278,-88.77,-3.0693498,-0.89599687
383.732,-0.04755,0.04449,-2.35,-64.56,-2.8864439,36.266666
386.232,-0.06443,0.03835,-2.398,-91.46,-2.8248703,2.4240446
