time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
190.73296,-2.2917674,0.042892896,,1.079324e-20,2.1531494e-06,
195.70804,-2.3209128,0.042892896,,6.151059e-05,-1.4074206e-07,
200.71436,-2.2917674,0.042892896,,7.0276605e-05,-1.3973088e-06,
205.68967,-2.3209128,0.042892896,,3.2878725e-05,-2.166554e-06,
210.73485,-2.2917674,0.044426877,,1.0925473e-05,-4.2766937e-06,
215.6787,-2.3224468,0.044426877,,-1.0968649e-05,-3.7760071e-06,
220.72435,-2.2917674,0.042892896,,-3.2871703e-05,-1.6458017e-06,
225.72946,-2.3224468,0.042892896,,-5.479618e-05,-7.778561e-08,
230.70479,-2.2933013,0.042892896,,-3.2917156e-05,1.0938269e-06,
235.69751,-2.3224468,0.042892896,,7.61282e-19,1.7230133e-06,
240.74077,-2.2933013,0.042892896,,7.9664653e-19,1.6446501e-06,
245.69415,-2.3224468,0.042892896,,7.285424e-19,6.829603e-07,
250.71048,-2.2933013,0.042892896,,8.001571e-19,1.744381e-21,
255.71013,-2.3239808,0.042892896,,7.8188803e-19,-7.008949e-07,
261.67465,-2.2933013,0.042892896,,7.996948e-19,-9.4867926e-07,
265.71298,-2.3285828,0.042892896,,8.241285e-19,-7.9411257e-07,
270.68997,-2.3040392,0.042892896,,-3.3494638e-05,-3.1307113e-07,
275.72607,-2.2902334,0.042892896,,-2.255598e-05,4.240391e-07,
280.67136,-2.3209128,0.042892896,,-1.0972406e-05,1.2655196e-06,
285.70557,-2.2917674,0.041358914,,-1.1039109e-08,2.2132615e-06,
290.69208,-2.3209128,0.042892896,,1.0950898e-05,1.2673844e-06,
295.7077,-2.2917674,0.042892896,,2.1873875e-05,3.9310183e-07,
300.7109,-2.3209128,0.042892896,,3.2899028e-05,-3.1193548e-07,
305.68527,-2.2917674,0.042892896,,7.9154443e-19,-7.818458e-07,
310.69897,-2.3209128,0.042892896,,7.7422746e-19,-9.389304e-07,
315.67432,-2.2917674,0.042892896,,8.069435e-19,-7.0491166e-07,
320.69327,-2.3209128,0.042892896,,7.895943e-19,-2.8968548e-22,
325.68716,-2.2917674,0.042892896,,7.982687e-19,-2.6763922e-22,
330.68155,-2.3209128,0.042892896,,7.637873e-19,-8.533806e-22,
335.68643,-2.2917674,0.042892896,,7.87899e-19,2.776488e-22,
340.76166,-2.3209128,0.042892896,,7.830339e-19,5.9549734e-23,
345.70456,-2.2902334,0.042892896,,7.748576e-19,8.561217e-22,
350.7073,-2.3209128,0.042892896,,8.117633e-19,8.538543e-22,
355.7067,-2.2902334,0.042892896,,7.7340643e-19,4.2652707e-22,
360.69418,-2.3209128,0.042892896,,8.0382744e-19,5.971583e-22,
